Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,27.57,27.85,27.57,27.72,123200,27.72
2014-02-21,27.56,27.75,27.56,27.64,18300,27.64
2014-02-20,27.14,27.46,27.07,27.37,173200,27.37
2014-02-19,27.00,27.24,27.00,27.08,257800,27.08
2014-02-18,26.82,27.20,26.82,27.05,244100,27.05
2014-02-14,27.21,27.30,26.66,27.02,345700,27.02
2014-02-13,27.15,27.33,26.70,27.26,123200,27.26
2014-02-12,27.05,27.34,27.05,27.22,268200,27.22
2014-02-11,27.14,28.70,27.14,27.39,428700,27.39
2014-02-10,27.54,27.80,27.54,27.73,682100,27.73
2014-02-07,27.40,27.55,27.22,27.49,504100,27.49
2014-02-06,26.71,27.25,26.71,27.10,648500,27.10
2014-02-05,26.90,27.20,26.67,26.76,2595200,26.76
2014-02-04,26.70,26.82,26.70,26.80,134300,26.80
2014-02-03,26.70,26.88,26.60,26.66,241600,26.66
2014-01-31,26.58,26.85,26.58,26.65,174600,26.65
2014-01-30,26.62,26.87,26.62,26.77,2141700,26.77
2014-01-29,26.41,26.70,26.41,26.60,10062600,26.60
2014-01-28,26.25,26.50,26.25,26.45,1845000,26.45
2014-01-27,26.30,26.33,26.20,26.28,1123200,26.28
2014-01-24,26.35,26.40,26.26,26.34,278500,26.34
2014-01-23,26.28,26.42,26.28,26.41,758400,26.41
2014-01-22,26.25,26.43,26.25,26.40,1056000,26.40
2014-01-21,26.31,26.45,26.26,26.35,886400,26.35
2014-01-17,26.20,26.29,26.20,26.29,859900,26.29
2014-01-16,26.24,26.27,26.23,26.25,1070100,26.25
2014-01-15,26.20,26.28,26.20,26.24,763200,26.24
2014-01-14,26.08,26.29,26.08,26.24,1070700,26.24
2014-01-13,26.28,26.35,26.21,26.24,931500,26.24
2014-01-10,26.41,26.45,26.29,26.35,163600,26.35
2014-01-09,26.20,26.40,26.20,26.38,1502600,26.38
2014-01-08,25.93,26.20,25.93,26.20,831800,26.20
2014-01-07,26.05,26.19,26.05,26.09,1213000,26.09
2014-01-06,25.99,26.20,25.99,26.11,2379100,26.11
2014-01-03,25.90,26.15,25.90,26.13,3740100,26.13
2014-01-02,25.89,25.96,25.88,25.91,3376500,25.91
2013-12-31,25.86,25.92,25.86,25.92,332200,25.92
2013-12-30,25.75,25.90,25.75,25.87,582000,25.87
2013-12-27,25.81,25.90,25.81,25.88,572700,25.88
2013-12-26,25.14,26.25,20.11,25.89,116200,25.89
2013-12-24,25.85,25.88,25.85,25.87,399100,25.87
2013-12-23,25.82,25.85,25.82,25.85,551000,25.85
2013-12-20,25.84,25.85,25.82,25.83,3306400,25.83
2013-12-19,25.86,25.87,25.84,25.84,3140400,25.84
2013-12-18,25.87,25.91,25.86,25.88,3064600,25.88
2013-12-17,25.91,25.94,25.75,25.90,3649800,25.90
2013-12-16,25.87,25.95,25.87,25.93,5174000,25.93
2013-12-13,25.86,25.92,25.86,25.90,6747700,25.90
2013-12-12,25.90,25.97,25.86,25.90,11108400,25.90
2013-12-11,25.85,25.95,25.84,25.90,26299700,25.90
2013-12-10,25.65,25.85,25.55,25.77,22402100,25.77
