Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.30,29.81,28.75,29.58,99800,29.58
2014-02-21,29.72,29.72,28.94,29.35,135300,29.35
2014-02-20,28.83,29.72,28.44,29.54,122700,29.54
2014-02-19,29.35,29.58,28.57,28.69,94600,28.69
2014-02-18,29.07,29.58,28.75,29.41,117000,29.41
2014-02-14,28.12,29.15,27.85,28.85,115100,28.85
2014-02-13,27.79,28.62,27.48,28.16,85600,28.16
2014-02-12,27.79,28.36,27.39,28.18,96300,28.18
2014-02-11,27.39,28.08,27.13,27.81,108600,27.81
2014-02-10,27.89,27.89,27.31,27.48,130600,27.48
2014-02-07,27.96,28.09,27.36,27.84,129900,27.84
2014-02-06,27.53,28.13,27.53,28.02,114200,28.02
2014-02-05,27.71,27.87,26.91,27.52,122000,27.52
2014-02-04,28.11,28.60,26.81,27.94,180500,27.94
2014-02-03,29.43,29.93,27.50,28.02,236200,28.02
2014-01-31,30.22,30.76,29.57,29.66,224700,29.66
2014-01-30,31.24,32.04,30.63,30.91,191700,30.91
2014-01-29,32.02,32.81,30.63,30.87,112200,30.87
2014-01-28,31.78,32.71,31.50,32.50,188000,32.50
2014-01-27,32.40,32.81,31.27,31.67,85900,31.67
2014-01-24,33.09,33.31,32.00,32.30,153600,32.30
2014-01-23,34.09,34.16,32.83,33.34,134600,33.34
2014-01-22,33.43,34.27,33.06,34.23,99300,34.23
2014-01-21,32.52,33.49,32.32,33.43,117600,33.43
2014-01-17,32.57,32.78,32.16,32.43,64900,32.43
2014-01-16,32.24,32.70,31.83,32.52,62200,32.52
2014-01-15,31.63,32.56,31.45,32.40,68700,32.40
2014-01-14,31.15,31.62,30.76,31.46,135600,31.46
2014-01-13,31.43,31.95,30.64,30.93,147400,30.93
2014-01-10,31.57,32.83,31.14,31.42,100500,31.42
2014-01-09,31.98,31.98,31.08,31.57,215200,31.57
2014-01-08,31.49,32.00,31.09,31.76,164800,31.76
2014-01-07,31.37,31.92,31.09,31.62,127000,31.62
2014-01-06,31.95,31.95,31.07,31.17,114000,31.17
2014-01-03,31.82,32.32,31.41,31.68,67700,31.68
2014-01-02,31.89,32.15,31.54,31.69,101500,31.69
2013-12-31,32.47,32.58,31.84,31.95,152000,31.95
2013-12-30,32.63,33.15,32.11,32.51,158500,32.51
2013-12-27,32.82,33.17,32.21,32.74,92600,32.74
2013-12-26,32.11,33.00,31.87,32.68,122900,32.68
2013-12-24,32.86,32.96,31.92,32.03,93900,32.03
2013-12-23,31.97,32.91,31.84,32.72,118300,32.72
2013-12-20,30.20,31.99,30.05,31.71,438500,31.71
2013-12-19,30.27,30.72,29.80,30.17,77400,30.17
2013-12-18,29.70,30.41,29.34,30.40,79300,30.40
2013-12-17,30.50,31.06,29.54,29.71,105000,29.71
2013-12-16,30.26,31.39,30.08,30.60,91800,30.60
2013-12-13,29.37,30.46,29.33,30.19,134700,30.19
2013-12-12,29.08,29.80,29.08,29.23,76400,29.23
2013-12-11,29.91,30.00,29.00,29.14,102700,29.14
