Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,32.64,34.58,32.64,33.40,554500,33.40
2014-02-21,32.13,32.77,31.57,32.62,479400,32.62
2014-02-20,31.61,32.13,30.96,31.86,396300,31.86
2014-02-19,32.06,32.77,31.59,31.63,670900,31.63
2014-02-18,32.19,32.48,31.58,32.23,345900,32.23
2014-02-14,31.60,32.20,31.13,32.08,356100,32.08
2014-02-13,31.64,32.20,30.89,31.56,535500,31.56
2014-02-12,30.44,32.19,30.28,32.14,689500,32.14
2014-02-11,30.98,31.00,29.88,30.40,395400,30.40
2014-02-10,30.87,31.69,30.52,30.94,404400,30.94
2014-02-07,31.23,31.54,30.30,30.96,362400,30.96
2014-02-06,31.16,31.54,30.31,31.09,470100,31.09
2014-02-05,32.10,32.64,30.38,30.97,842800,30.97
2014-02-04,32.74,33.10,32.05,32.35,376600,32.35
2014-02-03,34.22,34.22,32.11,32.51,599300,32.48
2014-01-31,32.90,34.90,32.00,34.29,538700,34.26
2014-01-30,32.10,34.18,32.00,33.40,365700,33.37
2014-01-29,32.81,33.39,32.04,32.22,476800,32.19
2014-01-28,32.42,33.61,32.02,33.08,352700,33.05
2014-01-27,32.14,33.09,31.53,32.26,393100,32.23
2014-01-24,34.54,34.54,32.29,32.44,461200,32.41
2014-01-23,35.48,35.48,34.69,34.95,204100,34.92
2014-01-22,35.38,35.74,35.12,35.60,214600,35.57
2014-01-21,34.51,35.53,34.47,35.27,276200,35.24
2014-01-17,34.91,35.00,34.01,34.21,264600,34.18
2014-01-16,34.76,35.66,34.44,35.35,360700,35.32
2014-01-15,34.81,34.99,34.17,34.88,244500,34.85
2014-01-14,33.62,34.92,33.62,34.69,273100,34.66
2014-01-13,34.28,34.88,33.33,33.57,419000,33.54
2014-01-10,34.19,34.77,33.84,34.28,780200,34.25
2014-01-09,33.40,33.93,32.49,33.47,541800,33.44
2014-01-08,33.90,34.23,32.92,33.33,612300,33.30
2014-01-07,33.66,34.52,33.55,33.89,548400,33.86
2014-01-06,33.88,33.99,33.25,33.58,335000,33.55
2014-01-03,33.88,34.49,32.78,33.82,426900,33.79
2014-01-02,33.58,34.08,33.16,33.82,323000,33.79
2013-12-31,33.80,33.82,33.38,33.68,219500,33.65
2013-12-30,34.57,34.64,33.48,33.83,223900,33.80
2013-12-27,34.84,34.99,33.99,34.68,251600,34.65
2013-12-26,34.31,34.88,34.31,34.70,267400,34.67
2013-12-24,34.13,34.72,33.94,34.06,156400,34.03
2013-12-23,34.17,34.33,33.36,33.98,345500,33.95
2013-12-20,34.30,34.49,33.73,33.79,911600,33.76
2013-12-19,33.54,34.41,33.51,34.12,385500,34.09
2013-12-18,33.27,33.79,32.80,33.69,332300,33.66
2013-12-17,33.02,33.57,32.88,33.25,263400,33.22
2013-12-16,33.78,33.88,32.72,33.19,452900,33.16
2013-12-13,32.50,33.91,32.35,33.54,395300,33.51
2013-12-12,32.22,32.68,32.00,32.34,270500,32.31
2013-12-11,32.96,33.10,32.05,32.22,423200,32.19
2013-12-10,33.41,33.84,32.57,32.96,296300,32.93
2013-12-09,33.71,34.07,33.37,33.56,291900,33.53
2013-12-06,34.15,34.17,33.27,33.63,309000,33.60
2013-12-05,34.42,35.96,33.58,33.79,530000,33.76
2013-12-04,33.48,34.74,33.48,34.39,560200,34.36
2013-12-03,33.55,34.06,33.47,33.74,499900,33.71
2013-12-02,32.38,34.11,32.38,33.63,804500,33.60
2013-11-29,32.74,33.16,32.35,32.54,151400,32.51
2013-11-27,32.27,32.90,32.14,32.65,448600,32.62
2013-11-26,32.11,32.50,31.89,32.27,478200,32.24
2013-11-25,32.22,32.24,31.54,32.01,356800,31.98
2013-11-22,32.32,32.63,31.80,31.97,275400,31.94
2013-11-21,31.98,32.70,31.60,32.25,442200,32.22
2013-11-20,31.97,32.46,31.29,31.74,253000,31.71
2013-11-19,32.18,33.00,31.52,31.93,343200,31.90
2013-11-18,32.55,33.15,31.98,32.06,562100,32.03
2013-11-15,31.63,32.51,31.63,32.32,499600,32.29
2013-11-14,31.63,31.64,30.88,31.50,453000,31.47
2013-11-13,31.00,31.97,30.90,31.70,626400,31.67
2013-11-12,30.99,31.80,30.80,31.36,890700,31.33
2013-11-11,29.75,31.90,28.66,30.80,2258600,30.77
2013-11-08,25.56,26.95,25.25,26.70,494300,26.68
2013-11-07,26.55,27.04,25.39,25.42,438600,25.40
2013-11-06,28.14,28.14,26.29,26.53,308800,26.51
2013-11-05,28.15,28.25,27.36,28.04,440900,27.98
2013-11-04,27.43,28.42,27.37,28.25,520800,28.19
2013-11-01,27.33,27.82,27.18,27.36,420500,27.31
2013-10-31,28.25,28.40,25.43,27.37,879800,27.32
2013-10-30,28.54,29.89,28.23,28.44,790200,28.38
2013-10-29,27.50,27.90,27.40,27.60,266500,27.55
2013-10-28,27.58,28.30,27.30,27.47,397000,27.42
2013-10-25,27.35,28.23,27.33,27.68,322800,27.62
2013-10-24,27.29,27.59,26.69,27.36,223900,27.31
2013-10-23,27.00,28.15,27.00,27.21,348500,27.16
2013-10-22,27.02,27.73,26.49,27.23,367100,27.18
2013-10-21,27.47,27.62,25.95,26.86,501700,26.81
2013-10-18,26.02,27.53,25.80,27.46,831000,27.41
2013-10-17,24.19,26.19,24.06,25.85,820100,25.80
2013-10-16,24.15,24.48,23.43,24.44,367400,24.39
2013-10-15,23.45,24.00,23.25,23.83,788800,23.78
2013-10-14,22.81,23.50,22.67,23.48,357600,23.43
2013-10-11,22.31,23.05,22.31,23.04,564700,22.99
2013-10-10,21.99,22.78,21.93,22.30,566700,22.26
2013-10-09,22.11,22.27,21.35,21.62,583300,21.58
2013-10-08,23.74,23.99,21.88,22.03,821700,21.99
2013-10-07,25.82,25.82,23.49,23.81,1391300,23.76
2013-10-04,25.87,26.46,25.72,26.14,326900,26.09
2013-10-03,26.37,26.53,25.62,25.91,416000,25.86
2013-10-02,26.56,26.60,26.19,26.46,402800,26.41
2013-10-01,25.70,26.70,25.64,26.47,690400,26.42
2013-09-30,25.30,25.94,25.05,25.67,329800,25.62
2013-09-27,25.55,25.98,25.17,25.73,241600,25.68
2013-09-26,25.50,26.25,25.31,25.82,439600,25.77
2013-09-25,25.65,26.03,25.12,25.55,274000,25.50
2013-09-24,25.10,26.09,25.10,25.62,287200,25.57
2013-09-23,25.63,25.82,24.88,25.19,270000,25.14
2013-09-20,25.69,25.95,25.45,25.73,398800,25.68
2013-09-19,25.78,26.40,25.62,25.64,396400,25.59
2013-09-18,26.63,26.63,25.18,25.66,301700,25.61
2013-09-17,25.23,25.66,25.05,25.50,440000,25.45
2013-09-16,26.73,26.75,25.01,25.37,701500,25.32
2013-09-13,27.55,27.60,26.66,26.87,346500,26.82
2013-09-12,27.83,28.10,27.36,27.56,592400,27.51
2013-09-11,26.34,27.81,26.16,27.79,692700,27.73
2013-09-10,26.28,26.49,25.80,26.36,482400,26.31
2013-09-09,26.00,26.55,26.00,26.09,608600,26.04
2013-09-06,25.94,25.94,25.02,25.89,523800,25.84
2013-09-05,25.81,26.14,25.45,25.81,291200,25.76
2013-09-04,25.71,26.29,24.77,25.65,549700,25.60
2013-09-03,25.29,25.75,24.71,24.76,723400,24.71
2013-08-30,26.63,26.92,24.59,24.88,704300,24.83
2013-08-29,26.51,27.40,26.51,26.59,464000,26.54
2013-08-28,26.39,27.19,26.27,26.48,434600,26.43
2013-08-27,27.03,27.30,26.29,26.32,554900,26.27
2013-08-26,26.14,27.48,25.61,27.45,1069300,27.40
2013-08-23,25.22,25.25,24.75,25.01,290700,24.96
2013-08-22,24.22,25.19,24.14,25.15,360600,25.10
2013-08-21,23.27,24.34,23.19,24.09,461200,24.04
2013-08-20,22.87,23.75,22.68,23.34,287100,23.29
2013-08-19,23.14,23.43,22.66,22.89,191400,22.84
2013-08-16,22.83,23.68,22.69,23.12,298900,23.07
2013-08-15,23.02,23.51,22.61,22.97,415900,22.92
2013-08-14,23.25,23.71,22.79,23.49,302100,23.44
2013-08-13,23.62,23.81,23.18,23.39,485500,23.34
2013-08-12,23.08,23.82,22.98,23.53,673600,23.48
2013-08-09,20.00,23.73,20.00,22.90,1874300,22.85
2013-08-08,19.71,19.95,19.40,19.71,737900,19.67
2013-08-07,20.65,20.73,19.49,19.60,1031300,19.56
2013-08-06,22.11,22.20,20.91,21.00,427100,20.96
2013-08-05,22.82,22.98,22.06,22.33,367700,22.26
2013-08-02,22.68,22.89,22.16,22.76,269200,22.68
2013-08-01,21.95,22.91,21.89,22.77,345900,22.69
2013-07-31,21.71,22.08,21.47,21.70,288600,21.63
2013-07-30,22.46,23.01,21.33,21.66,402500,21.59
2013-07-29,22.32,22.54,21.81,22.33,335600,22.26
2013-07-26,21.81,22.83,21.48,22.55,534900,22.47
2013-07-25,21.32,22.07,20.65,21.95,534600,21.88
2013-07-24,21.71,22.23,21.25,21.32,268700,21.25
2013-07-23,22.77,22.77,21.58,21.63,276700,21.56
2013-07-22,22.45,22.80,22.29,22.57,392100,22.49
2013-07-19,22.83,23.04,22.33,22.50,439500,22.43
2013-07-18,22.94,23.25,22.87,22.98,591800,22.90
2013-07-17,22.94,23.32,22.62,22.80,564100,22.72
2013-07-16,23.37,24.00,22.55,22.69,522800,22.61
2013-07-15,22.79,23.46,22.67,23.27,544000,23.19
2013-07-12,22.78,23.17,22.58,22.87,515200,22.79
2013-07-11,22.92,23.24,22.46,23.00,536900,22.92
2013-07-10,23.24,23.54,23.10,23.35,267500,23.27
2013-07-09,23.28,23.63,22.93,23.04,392000,22.96
2013-07-08,23.09,23.38,22.85,23.11,402000,23.03
2013-07-05,23.22,23.47,22.76,22.95,250800,22.87
2013-07-03,22.37,22.87,22.10,22.80,190000,22.72
2013-07-02,22.59,22.94,21.87,22.49,625900,22.42
2013-07-01,23.11,23.62,22.01,22.54,768900,22.46
2013-06-28,22.00,23.45,22.00,22.95,2013100,22.87
2013-06-27,19.53,20.15,19.53,19.99,453600,19.92
2013-06-26,19.62,19.76,18.98,19.33,381900,19.27
2013-06-25,18.58,19.43,18.18,19.29,539300,19.23
2013-06-24,18.66,19.07,18.10,18.34,246800,18.28
2013-06-21,18.90,19.09,17.68,18.93,672900,18.87
2013-06-20,19.28,19.35,18.77,18.80,396500,18.74
2013-06-19,19.63,19.85,19.36,19.64,266900,19.57
2013-06-18,19.48,19.95,19.36,19.64,392500,19.57
2013-06-17,19.93,19.93,19.12,19.41,397500,19.35
2013-06-14,19.81,20.27,19.60,19.72,342000,19.65
2013-06-13,19.31,19.95,19.09,19.89,348800,19.82
2013-06-12,19.76,20.06,19.16,19.29,237300,19.23
2013-06-11,19.44,20.12,19.01,19.53,364400,19.46
2013-06-10,20.00,20.37,19.63,20.08,257500,20.01
2013-06-07,19.65,19.93,19.42,19.90,313100,19.83
2013-06-06,18.81,19.45,18.81,19.45,395500,19.39
2013-06-05,18.84,19.28,18.53,18.71,494300,18.65
2013-06-04,18.83,19.10,18.35,18.68,448200,18.62
2013-06-03,19.15,19.32,18.50,18.85,478800,18.79
2013-05-31,19.04,19.41,18.95,19.09,550200,19.03
2013-05-30,18.95,19.48,18.76,19.12,482000,19.06
2013-05-29,18.57,19.56,18.55,18.89,883400,18.83
2013-05-28,18.00,18.86,17.75,18.78,1045200,18.72
2013-05-24,17.59,17.70,17.30,17.67,403400,17.61
2013-05-23,17.78,17.85,16.59,17.63,603100,17.57
2013-05-22,18.75,18.89,17.46,17.77,655200,17.71
2013-05-21,17.95,19.21,17.79,18.67,1464400,18.61
2013-05-20,17.39,17.90,17.36,17.74,419300,17.68
2013-05-17,17.19,17.65,16.97,17.40,543600,17.34
2013-05-16,17.18,17.76,17.01,17.09,489700,17.03
2013-05-15,16.71,17.24,16.61,17.19,591700,17.13
2013-05-14,16.63,16.99,16.45,16.82,965600,16.76
2013-05-13,16.64,16.79,16.06,16.55,779700,16.49
2013-05-10,17.28,17.95,16.41,16.62,1409700,16.56
2013-05-09,15.61,17.18,15.50,16.73,1326000,16.67
2013-05-08,14.91,15.48,14.76,15.35,619200,15.30
2013-05-07,15.01,15.58,14.43,14.99,1286000,14.94
2013-05-06,12.89,14.77,12.85,14.73,4384400,14.68
2013-05-03,9.99,10.97,9.99,10.55,504800,10.51
2013-05-02,9.81,10.13,9.73,9.83,496800,9.77
2013-05-01,10.47,11.02,9.67,9.73,812300,9.67
2013-04-30,11.50,11.74,10.48,10.51,533400,10.44
2013-04-29,11.63,11.89,11.51,11.55,206100,11.48
2013-04-26,11.71,11.81,11.30,11.54,294900,11.47
2013-04-25,11.64,12.00,11.47,11.74,218400,11.67
2013-04-24,11.66,11.93,11.41,11.64,307600,11.57
2013-04-23,11.06,11.75,11.03,11.68,361700,11.61
2013-04-22,10.96,11.03,10.65,10.96,337300,10.89
2013-04-19,10.45,10.95,10.24,10.90,383000,10.83
2013-04-18,10.24,10.44,9.88,10.43,260500,10.36
2013-04-17,10.54,10.79,10.07,10.16,293000,10.10
2013-04-16,10.25,10.80,10.25,10.68,315400,10.61
2013-04-15,10.60,10.69,9.62,10.15,503200,10.09
2013-04-12,10.80,10.93,10.56,10.78,218600,10.71
2013-04-11,11.82,11.82,10.86,10.93,315900,10.86
2013-04-10,11.07,11.98,11.07,11.87,300000,11.79
2013-04-09,11.29,11.48,11.04,11.04,163800,10.97
2013-04-08,11.37,11.41,10.87,11.23,136200,11.16
2013-04-05,10.71,11.45,10.54,11.36,271800,11.29
2013-04-04,11.12,11.19,10.78,10.87,213500,10.80
2013-04-03,11.36,11.42,11.08,11.09,200800,11.02
2013-04-02,11.28,11.40,11.11,11.33,275500,11.26
2013-04-01,11.67,11.67,11.10,11.26,239800,11.19
2013-03-28,11.77,11.83,11.67,11.68,150500,11.61
2013-03-27,11.52,11.84,11.48,11.81,185500,11.73
2013-03-26,11.92,11.98,11.53,11.62,212800,11.55
2013-03-25,11.90,12.08,11.68,11.87,196100,11.79
2013-03-22,11.82,12.02,11.76,11.86,257100,11.78
2013-03-21,12.42,12.56,11.63,11.80,534300,11.72
2013-03-20,12.40,12.72,12.25,12.50,376200,12.42
2013-03-19,12.64,12.78,12.39,12.41,263200,12.33
2013-03-18,12.20,12.70,12.02,12.62,174900,12.54
2013-03-15,12.31,12.39,12.13,12.37,263700,12.29
2013-03-14,12.30,12.48,12.22,12.32,223100,12.24
2013-03-13,11.73,12.29,11.73,12.26,230400,12.18
2013-03-12,11.84,11.96,11.58,11.70,111000,11.63
2013-03-11,11.80,11.97,11.80,11.86,107500,11.78
2013-03-08,11.76,11.97,11.74,11.81,114300,11.73
2013-03-07,11.67,11.88,11.54,11.64,100900,11.57
2013-03-06,11.88,12.00,11.61,11.64,211100,11.57
2013-03-05,10.99,11.93,10.93,11.80,419500,11.72
2013-03-04,11.05,11.21,10.87,10.89,419400,10.82
2013-03-01,11.43,11.46,11.08,11.11,224900,11.04
2013-02-28,11.25,11.60,11.10,11.56,272000,11.49
2013-02-27,10.86,11.33,10.86,11.25,336100,11.18
2013-02-26,11.11,11.32,10.75,10.83,362500,10.76
2013-02-25,11.57,11.71,10.99,11.08,265600,11.01
2013-02-22,11.04,11.58,11.01,11.47,271700,11.40
2013-02-21,11.35,11.53,10.83,10.97,240400,10.90
2013-02-20,11.51,11.75,11.36,11.38,302000,11.31
2013-02-19,11.68,11.78,11.41,11.50,505800,11.43
2013-02-15,11.61,11.75,11.29,11.66,361100,11.59
2013-02-14,11.08,11.62,11.01,11.54,317800,11.47
2013-02-13,10.98,11.37,10.98,11.12,306200,11.05
2013-02-12,10.93,11.25,10.86,11.00,239400,10.93
2013-02-11,11.08,11.18,10.83,10.90,177000,10.83
2013-02-08,10.92,11.25,10.85,11.06,261100,10.99
2013-02-07,10.92,11.18,10.75,10.93,333300,10.86
2013-02-06,10.41,10.92,10.38,10.91,354600,10.84
2013-02-05,10.32,10.50,10.25,10.49,280200,10.42
2013-02-04,10.09,10.40,10.00,10.28,311900,10.18
2013-02-01,10.56,10.57,10.21,10.23,381700,10.14
2013-01-31,10.48,10.93,10.32,10.52,621200,10.42
2013-01-30,9.82,10.88,9.50,10.83,1763800,10.73
2013-01-29,11.05,11.13,10.59,10.63,503600,10.53
2013-01-28,11.15,11.20,10.93,11.09,192500,10.99
2013-01-25,10.98,11.23,10.93,11.16,372000,11.06
2013-01-24,10.51,11.15,10.39,10.94,610500,10.84
2013-01-23,10.75,10.76,10.38,10.43,219300,10.33
2013-01-22,10.26,10.75,10.15,10.72,420900,10.62
2013-01-18,10.40,10.48,10.15,10.27,179500,10.17
2013-01-17,10.28,10.49,10.12,10.40,195100,10.30
2013-01-16,10.44,10.49,10.12,10.20,273100,10.11
2013-01-15,9.91,10.47,9.91,10.47,446100,10.37
2013-01-14,10.06,10.25,9.91,10.01,418000,9.92
2013-01-11,10.20,10.27,9.83,10.01,198200,9.92
2013-01-10,9.78,10.25,9.68,10.18,291100,10.09
2013-01-09,10.24,10.25,9.71,9.73,278100,9.64
2013-01-08,9.83,10.25,9.61,10.20,367500,10.11
2013-01-07,10.08,10.22,9.81,9.87,287400,9.78
2013-01-04,9.85,10.19,9.68,10.15,243700,10.06
2013-01-03,9.72,9.81,9.60,9.79,230900,9.70
2013-01-02,9.74,10.06,9.61,9.72,322700,9.63
2012-12-31,9.28,9.62,9.13,9.55,319200,9.46
2012-12-28,9.26,9.50,9.06,9.24,250300,9.15
2012-12-27,9.49,9.52,9.05,9.28,238900,9.19
2012-12-26,9.47,9.54,9.34,9.46,270600,9.37
2012-12-24,9.51,9.57,9.26,9.41,124200,9.32
2012-12-21,9.17,9.59,8.85,9.56,819900,9.47
2012-12-20,9.21,9.36,9.08,9.34,227000,9.25
2012-12-19,9.25,9.40,9.12,9.20,172200,9.11
2012-12-18,9.09,9.35,8.91,9.23,283100,9.14
2012-12-17,9.09,9.15,9.00,9.10,171800,9.02
2012-12-14,8.71,9.08,8.57,9.06,272100,8.98
2012-12-13,8.85,9.02,8.66,8.75,198800,8.67
2012-12-12,9.17,9.18,8.80,8.88,405700,8.80
2012-12-11,9.24,9.24,9.01,9.10,423600,9.02
2012-12-10,8.68,9.21,8.57,9.08,803600,9.00
2012-12-07,8.63,8.64,8.45,8.55,146300,8.47
2012-12-06,8.45,8.55,8.45,8.54,234500,8.46
2012-12-05,8.50,8.55,8.42,8.46,245800,8.38
2012-12-04,8.26,8.53,8.23,8.46,260800,8.38
2012-12-03,8.34,8.50,8.11,8.32,277800,8.24
2012-11-30,8.55,8.61,8.23,8.28,483500,8.20
2012-11-29,8.50,8.65,8.42,8.55,226800,8.47
2012-11-28,8.46,8.68,8.31,8.40,504800,8.32
2012-11-27,8.02,8.56,8.02,8.49,506000,8.41
2012-11-26,7.57,8.16,7.55,8.05,567100,7.98
2012-11-23,7.43,7.54,7.36,7.52,144200,7.45
2012-11-21,7.21,7.43,7.19,7.40,132600,7.33
2012-11-20,7.15,7.23,6.99,7.19,325100,7.12
2012-11-19,6.66,7.19,6.65,7.19,456600,7.12
2012-11-16,6.55,6.67,6.43,6.56,353800,6.50
2012-11-15,6.92,7.00,6.48,6.56,520300,6.50
2012-11-14,7.22,7.33,6.90,6.94,344500,6.88
2012-11-13,7.19,7.39,7.15,7.21,213500,7.14
2012-11-12,7.34,7.46,7.24,7.27,164600,7.20
2012-11-09,7.34,7.52,7.22,7.29,308300,7.22
2012-11-08,7.92,7.98,7.34,7.34,656700,7.27
2012-11-07,8.55,8.62,8.11,8.13,274300,8.05
2012-11-06,8.18,8.66,8.11,8.64,479600,8.56
2012-11-05,8.25,8.40,8.06,8.20,253100,8.12
2012-11-02,8.38,8.40,8.12,8.27,302300,8.19
2012-11-01,8.00,8.54,7.70,8.40,690600,8.29
2012-10-31,7.52,8.19,7.50,8.05,600100,7.95
2012-10-26,7.67,7.83,7.42,7.46,274200,7.36
2012-10-25,7.76,7.89,7.63,7.69,219800,7.59
2012-10-24,7.81,7.90,7.67,7.75,161600,7.65
2012-10-23,7.68,7.82,7.54,7.79,197900,7.69
2012-10-22,7.61,7.81,7.59,7.76,213500,7.66
2012-10-19,8.14,8.14,7.52,7.60,627800,7.50
2012-10-18,8.21,8.33,8.16,8.20,161500,8.09
2012-10-17,8.24,8.36,8.14,8.24,225400,8.13
2012-10-16,8.30,8.35,8.15,8.20,200000,8.09
2012-10-15,8.19,8.36,8.15,8.27,226700,8.16
2012-10-12,8.32,8.52,8.15,8.18,392000,8.08
