Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.59,15.93,14.50,14.79,594600,14.79
2014-02-21,16.76,16.76,14.59,15.51,1059500,15.51
2014-02-20,17.90,18.82,17.30,18.63,374400,18.63
2014-02-19,17.75,18.05,17.67,17.85,123500,17.85
2014-02-18,18.41,18.41,17.50,17.85,274600,17.85
2014-02-14,18.00,18.23,17.63,18.05,167200,18.05
2014-02-13,17.55,18.28,17.26,18.02,266400,18.02
2014-02-12,18.07,18.11,17.47,17.88,312100,17.88
2014-02-11,16.47,18.02,16.42,17.85,730900,17.85
2014-02-10,14.87,16.30,14.82,16.12,444300,16.12
2014-02-07,14.02,15.00,14.02,14.79,173700,14.79
2014-02-06,13.70,14.19,13.40,14.02,184900,14.02
2014-02-05,14.35,14.40,13.51,13.70,194400,13.70
2014-02-04,13.91,14.71,13.76,14.58,172500,14.58
2014-02-03,14.90,15.06,13.18,13.75,282500,13.75
2014-01-31,14.38,15.10,14.00,14.88,328900,14.88
2014-01-30,15.12,16.40,15.12,15.49,283700,15.49
2014-01-29,16.09,16.68,15.00,15.18,302200,15.18
2014-01-28,15.69,16.94,15.07,16.27,235800,16.27
2014-01-27,16.38,16.65,14.70,15.88,483100,15.88
2014-01-24,17.67,17.68,16.10,16.38,329200,16.38
2014-01-23,17.57,17.99,17.18,17.72,232200,17.72
2014-01-22,17.74,18.46,17.46,17.95,313700,17.95
2014-01-21,17.01,18.06,16.60,17.64,352300,17.64
2014-01-17,17.79,18.47,16.50,16.81,369900,16.81
2014-01-16,17.36,17.80,16.94,17.73,340100,17.73
2014-01-15,16.52,17.63,16.50,17.05,524700,17.05
2014-01-14,15.02,16.60,14.32,16.45,696500,16.45
2014-01-13,14.12,14.67,13.43,13.62,220500,13.62
2014-01-10,14.52,14.54,13.88,14.12,117300,14.12
2014-01-09,15.25,15.25,14.27,14.50,132200,14.50
2014-01-08,14.99,15.39,14.72,15.01,122700,15.01
2014-01-07,14.22,14.98,14.03,14.81,250000,14.81
2014-01-06,14.40,14.40,13.53,14.25,291100,14.25
2014-01-03,14.47,14.87,14.11,14.49,111400,14.49
2014-01-02,15.12,15.12,13.75,14.45,220700,14.45
