Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,3.46,3.46,3.37,3.41,106700,3.41
2014-02-21,3.45,3.45,3.35,3.43,22300,3.43
2014-02-20,3.45,3.45,3.35,3.42,39400,3.42
2014-02-19,3.51,3.55,3.42,3.42,48000,3.42
2014-02-18,3.50,3.54,3.42,3.50,79400,3.50
2014-02-14,3.37,3.51,3.37,3.50,67500,3.50
2014-02-13,3.35,3.42,3.33,3.40,27300,3.40
2014-02-12,3.44,3.45,3.32,3.40,60400,3.40
2014-02-11,3.40,3.49,3.38,3.46,75600,3.46
2014-02-10,3.35,3.38,3.27,3.37,18800,3.37
2014-02-07,3.37,3.37,3.26,3.33,21600,3.33
2014-02-06,3.30,3.39,3.20,3.30,28300,3.30
2014-02-05,3.26,3.27,3.16,3.24,37700,3.24
2014-02-04,3.20,3.35,3.01,3.28,68500,3.28
2014-02-03,3.35,3.35,3.22,3.25,36400,3.25
2014-01-31,3.34,3.38,3.20,3.33,71500,3.33
2014-01-30,3.37,3.46,3.32,3.38,50100,3.38
2014-01-29,3.40,3.43,3.35,3.38,33100,3.38
2014-01-28,3.34,3.44,3.32,3.40,32200,3.40
2014-01-27,3.41,3.42,3.32,3.35,77100,3.35
2014-01-24,3.50,3.50,3.40,3.43,65400,3.43
2014-01-23,3.40,3.50,3.35,3.50,68000,3.50
2014-01-22,3.43,3.46,3.30,3.40,86600,3.40
2014-01-21,3.50,3.54,3.44,3.44,121800,3.44
2014-01-17,3.56,3.60,3.53,3.55,21700,3.55
2014-01-16,3.55,3.60,3.48,3.60,42500,3.60
2014-01-15,3.50,3.61,3.46,3.55,71000,3.55
2014-01-14,3.50,3.55,3.46,3.49,77800,3.49
2014-01-13,3.55,3.62,3.46,3.47,108600,3.47
2014-01-10,3.57,3.58,3.51,3.53,35600,3.53
2014-01-09,3.51,3.62,3.51,3.57,40000,3.57
2014-01-08,3.63,3.77,3.53,3.53,153000,3.53
2014-01-07,3.46,3.72,3.42,3.67,274600,3.67
2014-01-06,3.30,3.44,3.29,3.43,92700,3.43
2014-01-03,3.28,3.29,3.22,3.26,45300,3.26
2014-01-02,3.39,3.39,3.16,3.30,116900,3.30
2013-12-31,3.31,3.38,3.31,3.37,57300,3.37
2013-12-30,3.42,3.43,3.30,3.30,223200,3.30
2013-12-27,3.16,3.38,3.16,3.38,109400,3.38
2013-12-26,3.05,3.20,3.04,3.14,151300,3.14
