Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,14.59,14.60,14.40,14.56,97300,14.56
2014-02-21,14.45,14.51,14.39,14.50,81700,14.50
2014-02-20,14.48,14.49,14.25,14.39,130000,14.39
2014-02-19,14.21,14.47,14.21,14.36,97200,14.36
2014-02-18,14.40,14.52,14.25,14.47,122000,14.47
2014-02-14,14.40,14.47,14.15,14.40,110400,14.40
2014-02-13,14.38,14.40,14.20,14.40,78300,14.40
2014-02-12,14.50,14.50,14.22,14.40,65300,14.40
2014-02-11,14.22,14.45,14.09,14.42,254000,14.42
2014-02-10,14.08,14.35,14.05,14.31,291300,14.31
2014-02-07,13.99,13.99,13.81,13.89,30100,13.89
2014-02-06,13.80,13.95,13.79,13.87,73300,13.87
2014-02-05,13.00,13.00,13.00,13.00,56200,13.00
2014-02-04,13.00,13.00,13.00,13.00,50900,13.00
2014-02-03,14.05,14.06,13.76,13.83,272200,13.83
2014-01-31,14.15,14.23,13.96,14.09,259700,14.09
2014-01-30,14.25,14.25,14.04,14.12,288700,14.12
2014-01-29,13.75,14.25,13.75,14.19,316700,14.19
2014-01-28,14.25,14.25,13.83,14.08,114900,14.08
2014-01-27,14.10,14.24,13.70,14.24,337100,14.24
2014-01-24,13.91,14.00,13.61,14.00,364600,14.00
2014-01-23,13.75,14.10,13.49,14.07,583500,14.07
2014-01-22,13.75,13.89,13.50,13.70,380900,13.70
2014-01-21,13.85,13.85,13.62,13.78,515000,13.78
2014-01-17,13.54,13.75,13.30,13.75,1218200,13.75
2014-01-16,13.25,13.65,13.00,13.38,7336700,13.38
