Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.18,22.65,21.85,22.45,145900,22.45
2014-02-21,22.18,22.22,21.36,22.05,114200,22.05
2014-02-20,20.90,21.75,20.43,21.63,77400,21.63
2014-02-19,20.62,21.54,20.19,20.63,65200,20.63
2014-02-18,22.02,22.02,20.55,20.55,96400,20.55
2014-02-14,22.69,22.69,21.52,21.68,51900,21.68
2014-02-13,22.07,23.40,22.00,22.79,108000,22.79
2014-02-12,21.92,23.00,21.40,22.23,185800,22.23
2014-02-11,21.45,22.15,21.13,21.74,52700,21.74
2014-02-10,21.75,22.20,20.78,21.20,51500,21.20
2014-02-07,20.28,22.00,19.85,21.19,94500,21.19
2014-02-06,19.93,20.71,19.78,19.95,46700,19.95
2014-02-05,20.00,20.20,19.50,20.01,45100,20.01
2014-02-04,21.08,21.23,19.57,20.38,61200,20.38
2014-02-03,21.79,21.90,20.61,20.64,59100,20.64
2014-01-31,21.52,22.12,21.29,21.90,64200,21.90
2014-01-30,21.48,22.20,20.86,21.89,55900,21.89
2014-01-29,20.47,22.73,20.47,21.32,53300,21.32
2014-01-28,20.79,22.16,19.70,20.91,145300,20.91
2014-01-27,21.83,22.90,19.28,20.32,231100,20.32
2014-01-24,22.43,22.43,20.55,21.12,189800,21.12
2014-01-23,23.00,23.00,22.13,22.45,57000,22.45
2014-01-22,23.18,24.38,22.58,23.00,153800,23.00
2014-01-21,21.50,23.70,21.50,23.10,331600,23.10
2014-01-17,20.86,21.23,20.85,21.20,116400,21.20
2014-01-16,20.87,21.15,20.51,21.00,82500,21.00
2014-01-15,21.22,21.68,20.60,20.90,90100,20.90
2014-01-14,20.86,21.38,20.30,21.36,119600,21.36
2014-01-13,20.79,21.43,19.98,20.84,181300,20.84
2014-01-10,19.76,20.13,19.30,20.12,94300,20.12
2014-01-09,19.63,20.09,19.61,19.91,154900,19.91
2014-01-08,18.90,19.78,18.90,19.73,99900,19.73
2014-01-07,17.92,19.47,17.43,19.19,220700,19.19
2014-01-06,18.00,18.48,17.11,18.05,77100,18.05
2014-01-03,17.85,18.36,17.65,18.12,56800,18.12
2014-01-02,18.53,18.65,17.85,17.86,192700,17.86
2013-12-31,17.45,18.00,17.17,18.00,47500,18.00
2013-12-30,17.68,17.89,17.30,17.34,32300,17.34
2013-12-27,17.46,17.95,17.46,17.51,22100,17.51
2013-12-26,18.12,18.24,17.21,17.59,155000,17.59
2013-12-24,18.07,18.25,17.85,18.03,33200,18.03
2013-12-23,18.47,18.59,17.85,18.34,76500,18.34
2013-12-20,18.20,18.49,17.71,18.49,74800,18.49
2013-12-19,18.24,18.50,18.00,18.17,40000,18.17
2013-12-18,19.00,19.00,17.80,18.43,135800,18.43
2013-12-17,18.17,18.71,17.81,17.90,222100,17.90
2013-12-16,19.71,20.00,17.20,18.04,378100,18.04
2013-12-13,17.09,17.49,16.94,17.14,86600,17.14
2013-12-12,18.00,18.10,17.11,17.12,89900,17.12
2013-12-11,17.52,18.37,17.46,17.85,130500,17.85
2013-12-10,17.15,18.25,16.99,17.94,158200,17.94
2013-12-09,16.68,17.24,16.17,16.86,69700,16.86
2013-12-06,16.53,16.90,16.20,16.50,32500,16.50
2013-12-05,17.37,17.37,16.40,16.43,63700,16.43
2013-12-04,18.45,18.45,16.70,16.98,165800,16.98
2013-12-03,17.18,17.50,16.85,17.06,44100,17.06
2013-12-02,17.76,17.81,16.74,17.05,44400,17.05
2013-11-29,17.53,17.60,17.10,17.48,23300,17.48
2013-11-27,17.27,17.38,16.69,17.16,9200,17.16
2013-11-26,17.50,17.67,16.90,16.91,56400,16.91
2013-11-25,16.74,17.50,16.40,17.00,63900,17.00
2013-11-22,16.50,16.66,16.12,16.12,55100,16.12
2013-11-21,15.72,16.15,15.55,15.89,53900,15.89
2013-11-20,15.51,15.89,15.05,15.81,39800,15.81
2013-11-19,16.34,16.34,15.07,15.51,67300,15.51
2013-11-18,16.32,16.56,15.76,16.10,44200,16.10
2013-11-15,16.47,16.96,16.04,16.29,27900,16.29
2013-11-14,16.38,16.74,15.71,16.47,28700,16.47
2013-11-13,16.00,16.30,15.53,16.02,20700,16.02
2013-11-12,16.27,16.38,15.48,16.25,58700,16.25
2013-11-11,16.80,16.80,16.31,16.39,29600,16.39
2013-11-08,16.29,16.75,15.92,16.48,22100,16.48
2013-11-07,16.75,17.00,16.16,16.30,67400,16.30
2013-11-06,18.00,18.00,16.80,17.18,100500,17.18
2013-11-05,17.30,17.88,17.00,17.65,112100,17.65
2013-11-04,16.06,17.40,16.06,17.20,67700,17.20
2013-11-01,16.13,16.48,15.75,16.04,23400,16.04
2013-10-31,16.82,17.00,15.70,16.34,87800,16.34
2013-10-30,16.99,16.99,16.50,16.59,39400,16.59
2013-10-29,17.27,17.49,16.50,16.62,136300,16.62
2013-10-28,17.50,17.57,17.05,17.12,146700,17.12
2013-10-25,17.75,18.75,16.98,17.01,972200,17.01
2013-10-24,15.57,17.59,14.91,17.10,161900,17.10
2013-10-23,16.30,16.30,14.78,15.68,138000,15.68
2013-10-22,17.95,17.95,15.70,16.29,116200,16.29
2013-10-21,19.66,19.66,17.75,18.12,29100,18.12
2013-10-18,19.16,19.85,18.55,19.29,48000,19.29
2013-10-17,19.31,20.07,18.01,19.29,47600,19.29
2013-10-16,19.75,21.25,16.86,18.97,117600,18.97
2013-10-15,21.50,21.50,18.66,20.05,87200,20.05
2013-10-14,22.20,22.20,20.52,21.47,40900,21.47
2013-10-11,22.11,22.16,20.17,22.16,36800,22.16
2013-10-10,20.72,23.80,20.72,22.25,39900,22.25
2013-10-09,23.00,23.50,20.34,20.68,77600,20.68
2013-10-08,26.02,26.78,19.70,22.77,142400,22.77
2013-10-07,24.80,26.86,24.80,25.51,85200,25.51
2013-10-04,23.38,26.96,23.38,24.68,104400,24.68
2013-10-03,20.44,23.50,20.00,23.26,48700,23.26
2013-10-02,18.50,20.85,18.49,20.48,79000,20.48
2013-10-01,18.24,18.74,18.02,18.11,18100,18.11
2013-09-30,18.98,18.99,17.50,18.04,43300,18.04
2013-09-27,16.75,18.96,16.70,18.71,53800,18.71
2013-09-26,16.00,17.27,15.82,16.90,25100,16.90
2013-09-25,15.10,15.98,15.10,15.89,11500,15.89
2013-09-24,15.50,15.62,15.05,15.08,12200,15.08
2013-09-23,15.77,15.77,15.51,15.68,3300,15.68
2013-09-20,15.72,15.99,15.72,15.92,3000,15.92
2013-09-19,15.68,16.00,15.68,15.68,12200,15.68
2013-09-18,15.68,15.99,15.65,15.65,5900,15.65
2013-09-17,16.43,16.43,15.50,15.68,21200,15.68
2013-09-16,16.57,16.90,16.01,16.01,15600,16.01
2013-09-13,16.49,16.60,15.53,16.25,12800,16.25
2013-09-12,16.26,16.75,15.53,16.21,17800,16.21
2013-09-11,15.12,16.89,14.96,16.19,59000,16.19
2013-09-10,14.78,15.50,14.60,14.96,61800,14.96
2013-09-09,13.87,14.64,13.85,14.59,37900,14.59
2013-09-06,13.08,13.99,12.82,13.76,16900,13.76
2013-09-05,12.80,13.40,12.80,13.39,16400,13.39
2013-09-04,13.00,13.00,12.29,12.47,12600,12.47
2013-09-03,13.06,13.14,12.50,12.51,8300,12.51
2013-08-30,13.41,13.41,12.84,12.89,11100,12.89
2013-08-29,12.64,13.30,12.64,13.11,10600,13.11
