Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.20,5.40,5.05,5.07,251500,5.07
2014-02-21,5.14,5.27,5.04,5.17,141800,5.17
2014-02-20,5.40,5.42,5.10,5.14,280800,5.14
2014-02-19,5.45,5.46,5.20,5.38,322600,5.38
2014-02-18,5.71,5.99,5.40,5.52,435900,5.52
2014-02-14,5.28,5.33,5.14,5.25,91100,5.25
2014-02-13,5.14,5.34,5.05,5.29,199600,5.29
2014-02-12,5.36,5.50,4.95,5.07,427900,5.07
2014-02-11,5.02,5.39,4.97,5.33,284800,5.33
2014-02-10,5.00,5.16,4.84,4.97,282500,4.97
2014-02-07,4.84,4.99,4.65,4.75,190300,4.75
2014-02-06,4.41,4.73,4.35,4.70,119100,4.70
2014-02-05,4.09,4.48,4.08,4.36,240300,4.36
2014-02-04,4.54,4.62,4.26,4.27,133100,4.27
2014-02-03,4.54,4.77,4.49,4.55,192700,4.55
2014-01-31,4.48,4.78,4.42,4.49,298300,4.49
2014-01-30,4.65,4.75,4.20,4.50,267400,4.50
2014-01-29,4.83,4.83,4.56,4.60,138800,4.60
2014-01-28,4.76,5.00,4.60,4.82,166600,4.82
2014-01-27,5.00,5.07,4.70,4.86,249900,4.86
2014-01-24,5.19,5.20,4.90,5.02,157200,5.02
2014-01-23,5.32,5.50,4.91,5.20,314900,5.20
2014-01-22,5.11,5.60,5.10,5.30,400400,5.30
2014-01-21,5.50,5.70,5.01,5.09,251800,5.09
2014-01-17,5.17,5.44,5.17,5.33,224000,5.33
2014-01-16,5.34,5.44,5.07,5.17,288400,5.17
2014-01-15,4.78,5.36,4.78,5.23,550200,5.23
2014-01-14,4.67,4.82,4.48,4.78,159700,4.78
2014-01-13,4.34,4.84,4.16,4.68,487600,4.68
2014-01-10,4.11,4.30,4.06,4.24,201600,4.24
2014-01-09,3.95,4.16,3.93,4.05,109700,4.05
2014-01-08,4.05,4.05,3.93,3.98,60500,3.98
2014-01-07,4.02,4.07,3.89,4.03,61400,4.03
2014-01-06,3.95,4.05,3.80,3.97,113100,3.97
2014-01-03,4.12,4.20,3.73,3.95,346500,3.95
2014-01-02,4.19,4.25,4.03,4.08,271100,4.08
2013-12-31,4.50,4.50,4.20,4.24,190000,4.24
2013-12-30,4.50,4.55,4.41,4.48,138000,4.48
2013-12-27,4.60,4.60,4.33,4.50,228600,4.50
2013-12-26,4.14,4.39,4.13,4.39,122400,4.39
2013-12-24,4.03,4.20,4.03,4.17,84600,4.17
2013-12-23,4.07,4.20,3.96,4.08,112800,4.08
2013-12-20,4.25,4.26,3.95,4.04,356600,4.04
2013-12-19,4.08,4.20,3.94,4.20,153800,4.20
2013-12-18,4.32,4.37,4.11,4.16,130200,4.16
2013-12-17,4.29,4.29,4.16,4.28,163800,4.28
2013-12-16,4.20,4.25,4.05,4.21,144400,4.21
2013-12-13,4.00,4.19,3.94,4.15,194600,4.15
2013-12-12,3.78,4.05,3.72,4.04,275400,4.04
2013-12-11,3.88,4.05,3.75,3.90,292400,3.90
2013-12-10,4.10,4.10,3.75,3.81,240400,3.81
2013-12-09,4.15,4.55,3.85,3.94,1629000,3.94
2013-12-06,3.65,3.69,3.58,3.59,64400,3.59
2013-12-05,3.69,3.74,3.60,3.63,60000,3.63
2013-12-04,3.69,3.75,3.58,3.61,72800,3.61
2013-12-03,3.80,3.83,3.52,3.62,103600,3.62
2013-12-02,3.90,4.02,3.75,3.76,207400,3.76
2013-11-29,3.85,3.93,3.85,3.90,50800,3.90
2013-11-27,3.83,3.95,3.80,3.85,186600,3.85
2013-11-26,3.86,3.96,3.75,3.80,233400,3.80
2013-11-25,3.60,3.90,3.51,3.75,411400,3.75
2013-11-22,3.69,3.74,3.50,3.50,544600,3.50
2013-11-21,3.47,3.52,3.42,3.48,104800,3.48
2013-11-20,3.49,3.52,3.40,3.42,86200,3.42
2013-11-19,3.51,3.54,3.38,3.38,89400,3.38
2013-11-18,3.59,3.68,3.40,3.43,224600,3.43
2013-11-15,3.13,3.35,3.12,3.33,000,3.33
2013-11-14,3.10,3.23,3.00,3.18,128800,3.18
2013-11-13,3.25,3.35,2.88,3.09,254200,3.09
2013-11-12,3.45,3.45,3.20,3.25,139400,3.25
2013-11-11,3.67,3.68,3.11,3.27,495600,3.27
2013-11-08,3.76,3.80,3.50,3.66,437800,3.66
2013-11-07,3.83,3.88,3.67,3.71,233800,3.71
2013-11-06,3.84,3.85,3.76,3.79,253000,3.79
2013-11-05,3.88,3.90,3.69,3.78,386800,3.78
2013-11-04,3.70,4.00,3.68,3.82,687000,3.82
2013-11-01,3.74,3.75,3.65,3.69,54200,3.69
2013-10-31,3.82,3.87,3.65,3.74,188800,3.74
2013-10-30,3.91,3.91,3.75,3.82,336800,3.82
2013-10-29,3.79,3.95,3.72,3.87,516400,3.87
2013-10-28,3.65,3.75,3.62,3.73,174000,3.73
2013-10-25,3.42,3.63,3.42,3.57,163800,3.57
2013-10-24,3.58,3.59,3.38,3.40,150800,3.40
2013-10-23,3.62,3.74,3.41,3.49,265200,3.49
2013-10-22,3.76,3.85,3.51,3.58,208800,3.58
2013-10-21,3.77,3.90,3.67,3.67,408600,3.67
2013-10-18,3.74,3.82,3.67,3.75,000,3.75
