Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.17,21.17,20.00,20.04,124300,20.04
2014-02-21,21.39,21.39,20.35,21.04,80100,21.04
2014-02-20,21.02,21.66,20.79,21.25,50200,21.25
2014-02-19,20.55,21.54,20.10,20.90,98700,20.90
2014-02-18,19.88,21.30,19.85,20.68,124400,20.68
2014-02-14,18.50,19.74,18.40,19.26,104800,19.26
2014-02-13,18.16,18.59,18.16,18.54,68500,18.54
2014-02-12,18.48,18.71,18.23,18.39,56900,18.39
2014-02-11,18.12,18.60,18.05,18.37,60400,18.37
2014-02-10,18.81,18.86,18.09,18.18,63600,18.18
2014-02-07,18.10,19.15,17.91,18.96,130500,18.96
2014-02-06,17.28,18.71,16.65,17.97,53700,17.97
2014-02-05,17.10,18.83,16.87,17.13,52000,17.13
2014-02-04,16.61,17.81,16.50,17.07,35500,17.07
2014-02-03,18.28,18.34,16.61,17.00,81800,17.00
2014-01-31,17.90,18.74,17.54,18.46,72300,18.46
2014-01-30,18.00,18.00,17.05,17.91,83000,17.91
2014-01-29,16.51,19.47,15.65,16.73,173000,16.73
2014-01-28,16.73,17.06,15.03,15.76,180100,15.76
2014-01-27,19.28,19.50,15.74,16.74,134000,16.74
2014-01-24,19.61,20.26,18.59,18.71,53800,18.71
2014-01-23,20.22,20.60,19.63,20.06,31100,20.06
2014-01-22,21.00,21.02,19.74,20.25,85400,20.25
2014-01-21,21.00,21.31,20.76,20.92,138400,20.92
2014-01-17,21.05,21.89,20.56,20.71,67700,20.71
2014-01-16,21.32,21.73,20.75,21.14,47900,21.14
2014-01-15,20.43,21.99,20.43,21.46,99200,21.46
2014-01-14,19.31,21.27,19.31,20.48,125000,20.48
2014-01-13,19.86,20.23,19.01,19.28,68200,19.28
2014-01-10,19.99,20.25,19.51,19.82,73100,19.82
2014-01-09,18.65,20.25,18.58,19.99,221800,19.99
2014-01-08,19.07,19.58,18.11,18.30,69500,18.30
2014-01-07,18.25,19.09,18.16,18.93,98300,18.93
2014-01-06,17.66,18.20,17.51,18.13,39100,18.13
2014-01-03,17.29,17.69,17.14,17.53,80000,17.53
2014-01-02,17.92,18.03,17.08,17.26,56000,17.26
2013-12-31,17.96,18.50,17.65,17.96,80500,17.96
2013-12-30,17.40,18.31,17.40,17.89,86400,17.89
2013-12-27,17.00,17.55,17.00,17.38,63900,17.38
2013-12-26,17.26,17.78,16.79,16.96,32200,16.96
2013-12-24,17.00,17.78,16.84,16.98,27300,16.98
2013-12-23,16.69,17.64,16.69,17.08,76500,17.08
2013-12-20,15.98,16.39,15.10,16.39,1195600,16.39
2013-12-19,16.11,16.88,15.60,15.92,102400,15.92
2013-12-18,15.83,16.34,15.83,16.08,131600,16.08
2013-12-17,15.06,16.00,14.68,15.73,120700,15.73
2013-12-16,14.41,14.97,13.56,14.80,118600,14.80
2013-12-13,15.03,15.20,13.79,14.26,119000,14.26
2013-12-12,14.93,15.16,14.52,14.95,68400,14.95
2013-12-11,16.00,16.20,14.62,14.93,97500,14.93
2013-12-10,15.98,16.73,15.03,15.99,177600,15.99
2013-12-09,15.51,16.75,14.91,16.00,274000,16.00
2013-12-06,14.48,16.00,14.48,15.35,348200,15.35
2013-12-05,13.50,15.66,12.50,14.35,248700,14.35
2013-11-29,11.26,11.77,11.00,11.25,35500,11.25
2013-11-27,10.84,11.76,10.60,11.67,23800,11.67
2013-11-26,11.77,11.77,10.65,10.79,46000,10.79
2013-11-25,11.64,11.75,11.25,11.25,38600,11.25
2013-11-22,12.18,12.30,11.62,11.64,34600,11.64
2013-11-21,12.00,12.43,11.60,11.60,57900,11.60
2013-11-20,12.04,12.50,11.38,11.84,103500,11.84
2013-11-19,11.00,11.88,10.80,11.45,168500,11.45
2013-11-18,10.76,10.76,10.50,10.61,13500,10.61
2013-11-15,10.61,10.72,10.61,10.70,2500,10.70
2013-11-14,10.51,10.63,10.45,10.58,212200,10.58
2013-11-13,10.75,10.99,10.50,10.51,37900,10.51
2013-11-12,10.63,11.04,10.63,10.67,39300,10.67
2013-11-11,11.30,11.30,10.88,10.88,19900,10.88
2013-11-08,10.68,11.00,10.38,10.89,60400,10.89
2013-11-07,10.76,11.28,10.40,10.42,120800,10.42
2013-11-06,11.57,12.03,10.84,10.93,58800,10.93
2013-11-05,11.00,12.08,10.85,11.51,123500,11.51
2013-11-04,10.49,10.84,10.49,10.82,36800,10.82
2013-11-01,10.50,10.52,10.46,10.50,35700,10.50
2013-10-31,10.45,10.54,10.38,10.50,61200,10.50
2013-10-30,10.53,10.53,10.32,10.40,78200,10.40
2013-10-29,10.41,10.55,10.31,10.53,94400,10.53
