Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.10,22.15,21.99,22.05,5135600,22.05
2014-02-21,22.08,22.23,21.93,22.02,5731100,22.02
2014-02-20,22.32,22.37,22.09,22.16,3398500,22.16
2014-02-19,22.49,22.50,22.28,22.31,5715300,22.31
2014-02-18,22.02,22.48,21.93,22.48,5469900,22.48
2014-02-14,22.13,22.15,21.96,22.04,4099900,22.04
2014-02-13,21.94,22.20,21.88,22.12,3182300,22.12
2014-02-12,21.95,22.08,21.90,22.00,4720900,22.00
2014-02-11,22.15,22.22,21.92,21.96,6109800,21.96
2014-02-10,21.98,22.17,21.94,22.13,4873800,22.13
2014-02-07,21.64,22.04,21.53,21.98,8747000,21.98
2014-02-06,21.86,22.10,21.62,21.65,6805200,21.65
2014-02-05,21.55,21.92,21.52,21.77,9181300,21.77
2014-02-04,21.10,21.66,21.00,21.33,13524500,21.33
2014-02-03,21.02,21.17,20.96,21.06,10769800,21.06
2014-01-31,20.78,21.10,20.74,20.95,6027000,20.95
2014-01-30,20.70,20.80,20.57,20.72,6210300,20.72
2014-01-29,20.71,20.83,20.50,20.75,3077700,20.75
2014-01-28,20.90,20.92,20.55,20.68,3685400,20.68
2014-01-27,20.94,21.01,20.58,20.67,4809000,20.67
2014-01-24,20.90,21.12,20.80,20.81,6570100,20.81
2014-01-23,20.64,20.90,20.51,20.84,4530700,20.84
2014-01-22,20.52,20.62,20.36,20.56,3888200,20.56
2014-01-21,20.33,20.63,20.19,20.57,4919100,20.57
2014-01-17,20.26,20.29,20.18,20.25,2220900,20.25
2014-01-16,20.12,20.30,20.07,20.28,2867500,20.28
2014-01-15,20.09,20.38,20.07,20.15,3520300,20.15
2014-01-14,20.44,20.45,20.13,20.16,3291100,20.16
2014-01-13,20.10,20.52,19.99,20.45,8462100,20.45
2014-01-10,20.19,20.20,19.93,20.14,3843900,20.14
2014-01-09,19.89,19.90,19.64,19.78,4683600,19.78
2014-01-08,19.89,19.92,19.75,19.87,4430000,19.87
2014-01-07,19.88,20.05,19.64,19.95,5992500,19.95
2014-01-06,19.64,19.88,19.62,19.76,4727600,19.76
2014-01-03,19.50,19.71,19.38,19.59,5445700,19.59
2014-01-02,19.34,19.50,19.29,19.40,3677600,19.40
2013-12-31,19.06,19.46,19.06,19.29,6238400,19.29
2013-12-30,19.11,19.28,19.03,19.13,8074000,19.13
2013-12-27,19.23,19.43,19.13,19.21,6008900,19.21
2013-12-26,20.00,20.13,19.92,19.93,7863300,19.28
2013-12-24,20.00,20.16,19.90,19.93,3001400,19.28
2013-12-23,19.99,20.20,19.96,20.02,6262700,19.37
