Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,49.40,49.40,49.40,49.40,000,49.40
2014-02-21,49.40,49.40,49.40,49.40,100,49.40
2014-02-20,50.08,50.08,50.08,50.08,000,50.08
2014-02-19,50.08,50.08,50.08,50.08,300,50.08
2014-02-18,50.09,50.09,50.09,50.09,000,50.09
2014-02-14,50.09,50.09,50.09,50.09,000,50.09
2014-02-13,50.09,50.09,50.09,50.09,000,50.09
2014-02-12,50.09,50.09,50.09,50.09,400,50.09
2014-02-11,49.98,49.98,49.98,49.98,000,49.98
2014-02-10,49.98,49.98,49.98,49.98,400,49.98
2014-02-07,49.98,49.98,49.98,49.98,400,49.98
2014-02-06,49.90,49.90,49.90,49.90,000,49.90
2014-02-05,49.92,49.92,49.90,49.90,6000,49.90
2014-02-04,49.91,49.91,49.91,49.91,000,49.91
2014-02-03,49.91,49.91,49.91,49.91,000,49.91
2014-01-31,49.91,49.91,49.91,49.91,3400,49.91
2014-01-30,49.97,49.97,49.97,49.97,200,49.97
2014-01-29,50.00,50.00,50.00,50.00,000,50.00
2014-01-28,50.01,50.01,49.99,50.00,700,50.00
2014-01-27,49.97,49.97,49.97,49.97,5000,49.97
2014-01-24,49.90,49.90,49.90,49.90,200,49.83
2014-01-23,50.20,50.20,49.80,49.80,6800,49.73
2014-01-22,50.04,50.11,50.02,50.11,36200,50.03
2014-01-21,50.18,50.18,50.01,50.02,3100,49.94
2014-01-17,50.20,50.20,50.03,50.05,7000,49.97
2014-01-16,50.08,50.10,50.06,50.09,3500,50.01
2014-01-15,50.06,50.06,50.00,50.01,2500,49.93
2014-01-14,50.10,50.10,50.02,50.02,4200,49.94
2014-01-13,50.07,50.07,50.01,50.01,9800,49.93
2014-01-10,50.00,50.12,49.98,50.01,8800,49.93
2014-01-09,50.19,50.19,50.10,50.12,10300,50.04
2014-01-08,50.18,50.23,50.15,50.15,13500,50.07
2014-01-07,50.15,50.15,50.05,50.08,8700,50.00
2014-01-06,49.93,49.93,49.93,49.93,000,49.85
2014-01-03,49.93,49.93,49.93,49.93,000,49.85
2014-01-02,49.93,49.93,49.93,49.93,200,49.85
2013-12-31,50.00,50.00,50.00,50.00,10000,49.92
2013-12-30,49.98,49.98,49.98,49.98,6000,49.90
2013-12-27,50.07,50.07,50.07,50.07,800,49.99
2013-12-26,50.10,50.10,50.10,50.10,000,50.02
2013-12-24,50.10,50.10,50.10,50.10,1400,50.02
2013-12-23,49.82,50.00,49.82,50.00,15000,49.90
2013-12-20,49.90,49.90,49.90,49.90,200,49.80
2013-12-19,50.21,50.21,50.07,50.07,1000,49.97
2013-12-18,50.05,50.06,50.00,50.06,1000,49.96
