Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.26,2.28,2.22,2.22,4800,2.22
2014-02-21,2.21,2.33,2.17,2.33,85300,2.33
2014-02-20,2.21,2.26,2.21,2.26,8000,2.26
2014-02-19,2.25,2.25,2.21,2.25,17500,2.25
2014-02-18,2.34,2.35,2.21,2.24,30800,2.24
2014-02-14,2.43,2.46,2.28,2.28,59500,2.28
2014-02-13,2.63,2.78,2.43,2.51,25800,2.51
2014-02-12,2.59,2.66,2.52,2.52,6600,2.52
2014-02-11,2.52,2.52,2.52,2.52,000,2.52
2014-02-10,2.51,2.80,2.51,2.52,1700,2.52
2014-02-07,2.47,2.50,2.42,2.46,12400,2.46
2014-02-06,2.49,2.79,2.44,2.44,30400,2.44
2014-02-05,2.52,2.52,2.40,2.47,3100,2.47
2014-02-04,2.46,2.80,2.46,2.53,11500,2.53
2014-02-03,2.58,2.58,2.46,2.46,3900,2.46
2014-01-31,2.46,2.60,2.46,2.60,2200,2.60
2014-01-30,2.54,2.60,2.54,2.58,1800,2.58
2014-01-29,2.60,2.60,2.48,2.48,6100,2.48
2014-01-28,2.65,2.65,2.59,2.60,3700,2.60
2014-01-27,2.75,2.75,2.61,2.61,10800,2.61
2014-01-24,3.27,3.90,2.75,2.75,25200,2.75
2014-01-23,2.64,3.35,2.46,3.22,45300,3.22
2014-01-22,2.48,2.63,2.48,2.54,7300,2.54
2014-01-21,2.40,2.65,2.40,2.48,20500,2.48
2014-01-17,2.32,2.43,2.32,2.43,600,2.43
2014-01-16,2.43,2.43,2.43,2.43,000,2.43
2014-01-15,2.43,2.43,2.43,2.43,000,2.43
2014-01-14,2.42,2.43,2.42,2.43,2800,2.43
2014-01-13,2.36,2.37,2.36,2.37,1300,2.37
2014-01-10,2.41,2.41,2.41,2.41,000,2.41
2014-01-09,2.41,2.41,2.41,2.41,400,2.41
2014-01-08,2.37,2.39,2.32,2.35,4800,2.35
2014-01-07,2.35,2.35,2.35,2.35,000,2.35
2014-01-06,2.35,2.35,2.35,2.35,000,2.35
2014-01-03,2.35,2.35,2.35,2.35,500,2.35
2014-01-02,2.29,2.36,2.29,2.36,2200,2.36
2013-12-31,2.26,2.36,2.26,2.28,6800,2.28
2013-12-30,2.28,2.39,2.26,2.38,2600,2.38
2013-12-27,2.28,2.35,2.25,2.32,6700,2.32
2013-12-26,2.26,2.26,2.26,2.26,700,2.26
2013-12-24,2.26,2.26,2.26,2.26,100,2.26
2013-12-23,2.30,2.32,2.25,2.32,500,2.32
2013-12-20,2.29,2.40,2.23,2.23,1600,2.23
2013-12-19,2.27,2.27,2.27,2.27,000,2.27
2013-12-18,2.27,2.27,2.27,2.27,000,2.27
2013-12-17,2.27,2.27,2.23,2.27,57600,2.27
2013-12-16,2.33,2.33,2.24,2.24,6700,2.24
2013-12-13,2.30,2.30,2.30,2.30,000,2.30
2013-12-12,2.22,2.30,2.22,2.30,14200,2.30
2013-12-11,2.23,2.29,2.23,2.23,5200,2.23
2013-12-10,2.32,2.32,2.30,2.30,1500,2.30
