Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,37.45,38.27,37.45,38.03,5400,38.03
2014-02-21,37.69,37.95,37.20,37.20,8700,37.20
2014-02-20,37.88,37.88,37.38,37.50,4700,37.50
2014-02-19,38.85,38.85,37.24,37.35,11500,37.35
2014-02-18,37.38,38.59,37.25,38.11,32500,38.11
2014-02-14,37.67,37.97,37.00,37.10,9600,37.10
2014-02-13,37.70,38.11,37.40,37.60,3000,37.60
2014-02-12,37.27,38.00,36.97,37.75,17000,37.75
2014-02-11,36.10,37.35,36.10,37.26,24000,37.26
2014-02-10,36.17,36.99,36.05,36.06,7800,36.06
2014-02-07,36.40,36.60,35.64,36.05,16300,36.05
2014-02-06,36.64,36.67,36.20,36.65,7100,36.65
2014-02-05,36.42,36.56,35.52,35.95,11700,35.95
2014-02-04,37.06,37.62,36.19,36.33,14700,36.33
2014-02-03,36.63,37.31,36.25,36.75,15400,36.75
2014-01-31,37.15,37.64,35.99,36.52,37100,36.52
2014-01-30,38.05,38.21,37.26,37.56,13100,37.56
2014-01-29,38.39,39.09,37.51,37.59,8700,37.59
2014-01-28,39.35,39.77,38.36,38.77,11000,38.77
2014-01-27,40.19,40.51,39.02,39.48,11700,39.48
2014-01-24,40.40,40.69,39.28,39.66,12400,39.66
2014-01-23,40.78,40.90,40.16,40.52,12400,40.52
2014-01-22,41.28,41.58,40.79,40.80,6700,40.80
2014-01-21,41.35,41.46,40.43,41.29,10200,41.29
2014-01-17,41.63,41.84,40.60,41.22,25500,41.22
2014-01-16,40.28,42.48,39.77,41.54,35400,41.54
2014-01-15,39.88,40.68,39.76,39.76,24200,39.76
2014-01-14,39.32,39.90,39.24,39.81,11500,39.81
2014-01-13,39.11,39.82,38.65,39.46,15700,39.46
2014-01-10,38.79,39.54,38.66,39.09,21800,39.09
2014-01-09,38.98,39.44,38.30,38.74,12100,38.74
2014-01-08,38.11,38.92,38.11,38.28,4800,38.28
2014-01-07,38.78,39.49,37.87,38.63,23500,38.63
2014-01-06,38.77,39.23,37.99,38.85,20000,38.85
2014-01-03,37.98,38.99,37.86,38.50,21200,38.50
2014-01-02,38.89,39.11,37.56,37.77,20800,37.77
2013-12-31,38.46,39.15,38.10,38.87,15800,38.87
2013-12-30,38.76,39.72,38.40,38.91,4300,38.91
2013-12-27,40.06,40.23,39.36,39.36,4200,39.36
2013-12-26,38.62,40.49,38.62,40.25,4100,40.13
2013-12-24,40.20,40.30,40.00,40.12,2500,40.00
2013-12-23,40.23,40.37,38.57,40.29,18300,40.17
2013-12-20,38.67,40.49,38.53,40.25,51100,40.13
2013-12-19,38.30,38.99,37.54,38.78,19800,38.66
2013-12-18,39.03,39.15,38.08,38.46,9900,38.35
2013-12-17,37.57,38.99,37.57,38.81,6800,38.69
2013-12-16,37.30,38.73,37.30,38.49,11900,38.38
2013-12-13,38.08,38.80,37.25,37.91,27300,37.80
2013-12-12,37.45,38.60,37.45,38.10,25000,37.99
2013-12-11,37.73,37.85,37.45,37.46,11800,37.35
2013-12-10,37.85,38.52,37.45,38.00,11700,37.89
2013-12-09,38.47,38.47,37.55,38.04,11900,37.93
2013-12-06,38.52,39.71,37.80,38.32,2800,38.21
2013-12-05,38.03,39.82,38.03,38.04,2100,37.93
2013-12-04,37.73,38.59,37.73,38.08,2100,37.97
2013-12-03,38.80,39.32,38.76,38.83,7300,38.71
2013-12-02,39.03,39.45,38.71,38.92,9500,38.80
2013-11-29,38.72,38.98,38.71,38.98,6700,38.86
2013-11-27,38.43,38.49,37.79,38.49,6700,38.38
