Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,97.31,98.54,97.04,98.07,45600,98.07
2014-02-21,99.28,99.41,97.42,98.06,53800,98.06
2014-02-20,97.16,99.42,97.16,98.93,30700,98.93
2014-02-19,98.61,99.21,97.07,97.46,52300,97.46
2014-02-18,97.02,99.97,95.96,98.92,67400,98.92
2014-02-14,96.64,96.68,95.50,96.38,27500,96.38
2014-02-13,95.25,96.98,95.00,96.68,34300,96.68
2014-02-12,96.80,97.99,95.68,96.19,35200,96.19
2014-02-11,95.47,97.11,95.26,97.06,61300,97.06
2014-02-10,95.22,96.45,94.07,95.74,50500,95.74
2014-02-07,94.32,95.37,93.59,95.01,78100,95.01
2014-02-06,94.93,95.35,93.27,94.18,87900,94.18
2014-02-05,94.24,94.65,92.58,94.50,69300,94.50
2014-02-04,93.23,94.44,92.37,93.92,66300,93.92
2014-02-03,95.61,96.33,91.13,92.56,98900,92.56
2014-01-31,94.24,95.79,94.24,95.65,68200,95.65
2014-01-30,93.59,95.82,93.59,95.04,71200,95.04
2014-01-29,92.84,93.27,92.79,93.00,61500,93.00
2014-01-28,92.15,94.04,91.66,93.22,105500,93.22
2014-01-27,93.25,93.81,91.90,92.30,96800,92.30
2014-01-24,93.95,95.67,93.15,93.23,74200,93.23
2014-01-23,93.06,94.97,93.06,94.77,113500,94.77
2014-01-22,92.58,93.96,92.25,93.40,49900,93.40
2014-01-21,90.59,93.45,89.74,92.80,106900,92.80
2014-01-17,90.54,91.09,89.49,89.92,34400,89.92
2014-01-16,89.06,90.90,89.06,90.46,39200,90.46
2014-01-15,89.03,90.42,88.65,89.81,47000,89.81
2014-01-14,87.40,88.86,87.14,88.55,74800,88.55
2014-01-13,89.05,89.38,86.80,86.99,36500,86.99
2014-01-10,88.11,90.52,87.95,89.67,131600,89.67
2014-01-09,87.72,88.15,87.59,87.99,87700,87.99
2014-01-08,86.83,87.79,86.73,87.62,65700,87.62
2014-01-07,87.14,87.52,86.09,86.91,76500,86.91
2014-01-06,86.66,87.22,86.40,87.03,108300,87.03
2014-01-03,86.46,87.35,85.29,86.27,103900,86.27
2014-01-02,88.00,88.95,85.78,86.45,77700,86.45
2013-12-31,88.65,89.72,87.35,88.56,64700,88.56
2013-12-30,90.24,90.67,88.32,88.49,85600,88.49
2013-12-27,91.69,92.05,89.31,89.95,40500,89.95
2013-12-26,91.89,92.16,91.13,91.38,22000,91.38
2013-12-24,92.08,92.97,91.57,91.66,12200,91.66
2013-12-23,90.70,92.29,89.55,92.28,62100,92.28
2013-12-20,88.43,92.00,87.99,90.75,191600,90.75
2013-12-19,89.77,90.03,87.87,88.00,57700,88.00
