Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.97,14.00,13.97,14.00,1800,14.00
2014-02-21,13.94,13.94,13.94,13.94,800,13.94
2014-02-20,14.02,14.02,13.36,13.92,1400,13.92
2014-02-19,14.00,14.05,14.00,14.01,5400,14.01
2014-02-18,14.00,14.05,14.00,14.05,3300,14.05
2014-02-14,13.72,14.07,13.72,14.07,8200,14.07
2014-02-13,13.50,13.57,13.03,13.53,4000,13.53
2014-02-12,13.21,13.60,13.21,13.50,3600,13.50
2014-02-11,13.94,13.94,13.60,13.83,1700,13.83
2014-02-10,13.78,13.78,13.01,13.72,2500,13.72
2014-02-07,13.75,13.93,13.75,13.93,900,13.93
2014-02-06,13.60,13.87,13.10,13.47,5900,13.47
2014-02-05,13.65,13.66,13.61,13.66,3000,13.66
2014-02-04,13.62,13.65,13.10,13.60,4700,13.60
2014-02-03,13.50,13.50,13.03,13.47,1900,13.47
2014-01-31,13.61,13.75,13.61,13.66,900,13.66
2014-01-30,13.40,13.73,13.27,13.27,800,13.27
2014-01-29,12.93,13.93,12.93,13.02,4000,13.02
2014-01-28,11.98,13.94,11.98,13.77,2300,13.77
2014-01-27,13.83,13.97,13.35,13.39,2900,13.39
2014-01-24,13.85,13.85,13.60,13.71,5700,13.71
2014-01-23,13.85,14.00,13.85,13.94,1900,13.94
2014-01-22,13.90,13.90,13.29,13.90,3000,13.90
2014-01-21,14.00,14.00,13.62,13.91,2400,13.91
2014-01-17,13.92,13.97,13.75,13.93,2500,13.93
2014-01-16,13.68,13.68,13.51,13.51,1900,13.51
2014-01-15,13.99,14.05,13.35,13.95,2800,13.95
2014-01-14,13.61,14.00,13.61,13.76,9600,13.76
2014-01-13,13.40,13.70,13.25,13.29,2300,13.29
2014-01-10,13.27,13.44,13.27,13.42,6700,13.42
2014-01-09,13.08,13.50,13.08,13.39,8300,13.39
2014-01-08,12.93,13.10,12.53,13.08,6000,13.08
2014-01-07,12.65,12.93,12.56,12.92,6300,12.92
2014-01-06,12.82,13.08,12.16,12.93,3100,12.93
2014-01-03,13.18,13.20,12.87,12.87,1600,12.87
2014-01-02,13.01,13.45,13.00,13.00,7200,13.00
2013-12-31,13.24,13.82,13.19,13.49,4100,13.49
2013-12-30,13.12,13.79,13.12,13.36,6500,13.36
2013-12-27,13.73,13.85,12.97,13.63,9000,13.63
2013-12-26,13.71,14.08,13.66,13.79,7700,13.79
2013-12-24,13.66,13.66,13.66,13.66,300,13.66
2013-12-23,13.93,13.94,13.68,13.92,5800,13.92
2013-12-20,14.17,14.17,13.76,13.76,71300,13.76
2013-12-19,13.94,14.10,13.94,14.02,6600,14.02
2013-12-18,13.90,14.06,13.90,13.99,10100,13.99
2013-12-17,13.94,14.00,13.90,13.91,7000,13.91
2013-12-16,13.85,14.25,13.69,14.01,43400,14.01
