Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.91,5.00,4.90,5.00,32100,5.00
2014-02-21,5.12,5.12,4.77,4.98,24300,4.98
2014-02-20,4.95,5.16,4.95,5.12,62400,5.12
2014-02-19,4.75,4.98,4.66,4.92,16500,4.92
2014-02-18,4.60,4.80,4.60,4.80,16400,4.80
2014-02-14,4.86,4.99,4.60,4.64,16500,4.64
2014-02-13,4.68,4.99,4.51,4.85,37100,4.85
2014-02-12,4.46,4.85,4.46,4.74,49800,4.74
2014-02-11,4.44,4.66,4.44,4.47,13200,4.47
2014-02-10,4.45,4.70,4.43,4.44,30400,4.44
2014-02-07,4.21,4.71,4.12,4.46,20700,4.46
2014-02-06,4.06,4.25,4.06,4.22,13500,4.22
2014-02-05,4.17,4.20,4.01,4.06,17600,4.06
2014-02-04,4.14,4.30,4.14,4.18,11300,4.18
2014-02-03,4.31,4.38,4.13,4.13,23300,4.13
2014-01-31,4.36,4.45,4.31,4.31,9600,4.31
2014-01-30,4.38,4.47,4.31,4.39,13200,4.39
2014-01-29,4.45,4.45,4.30,4.38,11500,4.38
2014-01-28,4.29,4.48,4.28,4.40,12400,4.40
2014-01-27,4.60,4.67,4.30,4.31,58300,4.31
2014-01-24,4.93,4.98,4.57,4.74,58700,4.74
2014-01-23,5.08,5.08,4.82,4.87,32400,4.87
2014-01-22,5.13,5.15,5.00,5.02,21900,5.02
2014-01-21,5.22,5.22,5.01,5.05,42700,5.05
2014-01-17,5.45,5.45,5.10,5.22,54900,5.22
2014-01-16,5.07,5.48,5.07,5.39,86700,5.39
2014-01-15,4.81,5.04,4.81,5.04,24200,5.04
2014-01-14,5.02,5.02,4.73,4.85,31200,4.85
2014-01-13,5.02,5.20,4.95,5.05,25300,5.05
2014-01-10,4.95,5.05,4.95,5.02,12700,5.02
2014-01-09,5.03,5.13,4.96,4.96,19200,4.96
2014-01-08,5.17,5.46,4.81,5.05,97300,5.05
2014-01-07,5.60,5.60,5.20,5.46,150000,5.46
2014-01-06,4.33,5.16,4.32,5.16,134000,5.16
2014-01-03,4.20,4.30,4.20,4.25,31100,4.25
2014-01-02,3.92,4.30,3.78,4.11,56600,4.11
2013-12-31,3.94,4.09,3.88,3.92,24200,3.92
2013-12-30,3.90,4.04,3.80,3.91,19100,3.91
2013-12-27,4.16,4.25,3.81,3.97,14700,3.97
2013-12-26,3.66,4.12,3.66,4.12,26600,4.12
2013-12-24,3.73,3.90,3.73,3.88,18700,3.88
2013-12-23,3.63,3.75,3.61,3.70,18800,3.70
2013-12-20,3.61,3.68,3.52,3.68,29100,3.68
2013-12-19,3.62,3.67,3.59,3.66,7100,3.66
2013-12-18,3.56,3.65,3.56,3.63,5300,3.63
2013-12-17,3.79,3.79,3.51,3.57,28800,3.57
2013-12-16,4.11,4.11,3.80,3.81,52700,3.81
2013-12-13,4.15,4.30,4.13,4.14,9300,4.14
2013-12-12,4.08,4.36,4.08,4.20,22100,4.20
2013-12-11,4.25,4.56,4.10,4.11,44000,4.11
2013-12-10,4.30,4.30,4.20,4.27,23700,4.27
2013-12-09,4.36,4.50,4.32,4.32,13600,4.32
2013-12-06,4.40,4.50,4.20,4.50,19300,4.50
2013-12-05,4.31,4.47,4.31,4.32,15200,4.32
2013-12-04,4.50,4.50,4.33,4.37,14400,4.37
2013-12-03,4.51,4.60,4.36,4.43,32300,4.43
2013-12-02,4.35,4.69,4.30,4.69,20900,4.69
2013-11-29,4.33,4.43,4.33,4.35,7000,4.35
2013-11-27,4.42,4.50,4.28,4.32,18500,4.32
2013-11-26,4.50,4.62,4.50,4.58,13700,4.58
2013-11-25,4.66,4.75,4.60,4.68,11200,4.68
2013-11-22,4.75,4.75,4.62,4.66,15000,4.66
2013-11-21,4.59,4.75,4.59,4.70,16200,4.70
2013-11-20,5.09,5.29,4.51,4.71,114200,4.71
2013-11-19,5.32,5.74,5.06,5.14,65500,5.14
2013-11-18,5.80,5.88,5.29,5.35,93700,5.35
2013-11-15,5.82,6.19,5.42,5.62,152900,5.62
2013-11-14,5.00,5.75,5.00,5.70,97800,5.70
2013-11-13,5.39,5.80,4.56,5.01,223100,5.01
2013-11-12,4.68,6.00,4.46,5.90,293500,5.90
2013-11-11,4.45,4.70,4.32,4.68,44300,4.68
2013-11-08,4.43,4.56,4.32,4.48,17800,4.48
2013-11-07,4.40,4.51,4.32,4.49,40300,4.49
2013-11-06,4.34,4.59,4.31,4.35,21000,4.35
2013-11-05,4.44,4.46,4.28,4.32,37300,4.32
2013-11-04,4.35,4.71,4.35,4.51,55700,4.51
2013-11-01,4.49,4.69,4.37,4.40,53600,4.40
2013-10-31,4.68,4.90,4.54,4.65,49800,4.65
2013-10-30,4.69,5.26,4.66,4.66,36700,4.66
2013-10-29,4.45,5.05,4.45,4.82,76800,4.82
2013-10-28,4.55,4.69,4.48,4.51,34900,4.51
2013-10-25,4.58,4.74,4.48,4.55,62700,4.55
2013-10-24,4.77,5.08,4.52,4.65,152300,4.65
2013-10-23,4.37,4.77,4.35,4.61,111300,4.61
2013-10-22,4.51,4.60,4.30,4.47,117700,4.47
2013-10-21,5.51,5.51,4.40,4.59,283400,4.59
2013-10-18,5.74,5.85,5.32,5.45,141400,5.45
2013-10-17,5.27,5.73,5.20,5.53,141500,5.53
2013-10-16,5.82,6.30,5.16,5.30,534500,5.30
2013-10-15,7.40,7.40,5.70,5.89,1191200,5.89
2013-10-14,6.63,8.00,6.25,7.99,1156000,7.99
2013-10-11,4.89,7.20,4.50,6.65,761900,6.65
2013-10-10,5.04,5.05,4.52,4.87,246500,4.87
2013-10-09,4.12,5.08,4.05,5.05,452200,5.05
2013-10-08,3.60,4.62,3.60,4.12,313100,4.12
2013-10-07,3.16,4.30,3.12,3.56,385800,3.56
2013-10-04,2.65,3.17,2.63,3.16,125900,3.16
2013-10-03,2.59,2.65,2.55,2.64,25500,2.64
2013-10-02,2.65,2.65,2.57,2.61,13500,2.61
2013-10-01,2.57,2.69,2.57,2.69,3100,2.69
2013-09-30,2.60,2.60,2.55,2.57,16300,2.57
