Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.11,2.19,2.10,2.11,3200,2.11
2014-02-21,2.05,2.13,2.05,2.12,1400,2.12
2014-02-20,2.05,2.05,2.05,2.05,2100,2.05
2014-02-19,2.10,2.16,2.02,2.14,9500,2.14
2014-02-18,2.09,2.12,2.03,2.10,6300,2.10
2014-02-14,1.95,2.03,1.95,2.03,500,2.03
2014-02-13,1.98,2.00,1.98,2.00,700,2.00
2014-02-12,2.11,2.11,2.07,2.11,2100,2.11
2014-02-11,1.97,2.02,1.97,2.01,700,2.01
2014-02-10,1.97,2.06,1.95,1.98,4700,1.98
2014-02-07,2.12,2.12,1.90,1.99,2300,1.99
2014-02-06,2.02,2.02,2.02,2.02,500,2.02
2014-02-05,1.97,2.15,1.97,2.08,5800,2.08
2014-02-04,2.20,2.20,1.91,2.02,22600,2.02
2014-02-03,1.91,1.99,1.91,1.99,3400,1.99
2014-01-31,2.10,2.10,1.90,1.90,7100,1.90
2014-01-30,2.10,2.10,2.10,2.10,2700,2.10
2014-01-29,1.94,2.07,1.93,2.07,1500,2.07
2014-01-28,2.08,2.08,2.08,2.08,1400,2.08
2014-01-27,2.05,2.05,2.05,2.05,100,2.05
2014-01-24,2.09,2.10,2.02,2.07,8500,2.07
2014-01-23,1.86,2.32,1.82,2.05,23800,2.05
2014-01-22,1.88,1.88,1.83,1.88,3700,1.88
2014-01-21,1.82,1.92,1.82,1.88,7200,1.88
2014-01-17,1.81,1.92,1.81,1.91,1500,1.91
2014-01-16,1.80,1.90,1.66,1.90,5600,1.90
2014-01-15,1.75,2.00,1.71,1.88,5000,1.88
2014-01-14,1.79,1.80,1.75,1.80,2600,1.80
2014-01-13,1.90,2.10,1.75,1.91,9000,1.91
2014-01-10,1.90,1.90,1.65,1.65,3200,1.65
2014-01-09,1.63,1.85,1.63,1.74,2700,1.74
2014-01-08,1.66,1.78,1.66,1.78,6800,1.78
2014-01-07,1.64,1.66,1.64,1.66,3900,1.66
2014-01-06,1.56,1.63,1.56,1.56,9000,1.56
2014-01-03,1.55,1.55,1.54,1.54,800,1.54
2014-01-02,1.63,1.65,1.63,1.65,2600,1.65
2013-12-31,1.58,1.64,1.58,1.64,1200,1.64
2013-12-30,1.47,1.55,1.47,1.54,11000,1.54
2013-12-27,1.52,1.52,1.43,1.50,3400,1.50
2013-12-26,1.39,1.57,1.39,1.52,6700,1.52
2013-12-24,1.33,1.35,1.33,1.35,400,1.35
2013-12-23,1.55,1.56,1.32,1.32,7900,1.32
2013-12-20,1.61,1.61,1.47,1.47,38100,1.47
2013-12-19,1.61,1.61,1.61,1.61,000,1.61
2013-12-18,1.61,1.65,1.61,1.61,2200,1.61
2013-12-17,1.65,1.65,1.61,1.61,2900,1.61
2013-12-16,1.61,1.68,1.61,1.61,5200,1.61
2013-12-13,1.61,1.61,1.61,1.61,500,1.61
2013-12-12,1.61,1.61,1.61,1.61,1100,1.61
2013-12-11,1.61,1.61,1.61,1.61,500,1.61
2013-12-10,1.61,1.63,1.61,1.61,2600,1.61
2013-12-09,1.64,1.64,1.62,1.63,3000,1.63
2013-12-06,1.63,1.65,1.61,1.64,46100,1.64
2013-12-05,1.65,1.70,1.61,1.61,8900,1.61
2013-12-04,1.62,1.70,1.62,1.66,2800,1.66
2013-12-03,1.60,1.60,1.60,1.60,100,1.60
2013-12-02,1.56,1.73,1.55,1.61,8800,1.61
2013-11-29,1.63,1.63,1.55,1.57,14900,1.57
2013-11-27,1.71,1.71,1.70,1.70,5000,1.70
2013-11-26,1.70,1.70,1.70,1.70,000,1.70
2013-11-25,1.64,1.70,1.63,1.70,2900,1.70
2013-11-22,1.68,1.68,1.68,1.68,000,1.68
2013-11-21,1.68,1.68,1.68,1.68,400,1.68
2013-11-20,1.66,1.66,1.63,1.63,10400,1.63
2013-11-19,1.70,1.70,1.66,1.66,200,1.66
2013-11-18,1.69,1.69,1.67,1.67,4900,1.67
2013-11-15,1.65,1.65,1.65,1.65,000,1.65
2013-11-14,1.65,1.65,1.65,1.65,1700,1.65
2013-11-13,1.64,1.64,1.64,1.64,800,1.64
