Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,46.46,46.46,46.39,46.39,76200,46.39
2014-02-21,46.42,46.45,46.40,46.41,44200,46.41
2014-02-20,46.13,46.51,46.13,46.41,38800,46.41
2014-02-19,46.39,46.46,46.39,46.42,73700,46.42
2014-02-18,46.46,46.48,46.38,46.44,48500,46.44
2014-02-14,46.41,46.46,46.39,46.41,63200,46.41
2014-02-13,46.34,46.44,46.34,46.44,38200,46.44
2014-02-12,46.42,46.45,46.35,46.39,59900,46.39
2014-02-11,46.37,46.42,46.35,46.38,52000,46.38
2014-02-10,46.38,46.42,46.34,46.34,76700,46.34
2014-02-07,46.44,46.44,46.37,46.44,91500,46.44
2014-02-06,46.44,46.44,46.37,46.43,76200,46.43
2014-02-05,46.35,46.42,46.32,46.41,103900,46.41
2014-02-04,46.38,46.42,46.35,46.41,52100,46.41
2014-02-03,46.31,46.43,46.31,46.33,95000,46.33
2014-01-31,46.31,46.44,46.30,46.43,95900,46.43
2014-01-30,46.75,46.75,46.28,46.31,387200,46.31
2014-01-29,46.36,46.44,46.31,46.31,96100,46.31
2014-01-28,46.37,46.47,46.32,46.42,48800,46.42
2014-01-27,48.03,48.37,46.35,46.35,152100,46.35
2014-01-24,46.38,46.48,46.36,46.45,117800,46.45
2014-01-23,46.35,46.48,46.32,46.43,65400,46.43
2014-01-22,46.36,46.42,46.32,46.33,128900,46.33
2014-01-21,46.35,46.49,46.35,46.36,72800,46.36
2014-01-17,46.33,46.44,46.32,46.32,70900,46.32
2014-01-16,46.34,46.50,46.31,46.32,398000,46.32
2014-01-15,46.32,46.55,46.31,46.32,298300,46.32
2014-01-14,46.31,46.41,46.30,46.32,368000,46.32
2014-01-13,46.17,46.45,45.96,46.35,355700,46.35
2014-01-10,46.50,46.92,46.46,46.48,1087000,46.48
2014-01-09,39.54,40.25,38.50,39.12,28400,39.12
2014-01-08,39.17,39.55,38.71,39.36,48600,39.36
2014-01-07,38.59,39.45,37.82,39.17,68400,39.17
2014-01-06,39.50,39.53,37.90,38.35,60200,38.35
2014-01-03,37.75,39.82,37.67,39.28,55400,39.28
2014-01-02,36.96,39.88,36.89,37.51,64800,37.51
2013-12-31,40.47,40.49,36.75,37.26,325300,37.26
2013-12-30,40.80,41.09,40.57,40.88,18100,40.88
2013-12-27,40.36,41.17,39.95,41.02,55300,41.02
2013-12-26,40.27,41.20,40.23,40.43,38700,40.43
2013-12-24,40.40,41.11,39.99,40.25,19000,40.25
2013-12-23,40.21,40.86,39.85,40.58,47400,40.58
2013-12-20,38.60,40.86,38.31,40.41,92100,40.41
2013-12-19,39.42,39.73,38.00,38.29,55400,38.29
2013-12-18,40.20,40.59,38.60,39.38,50000,39.38
2013-12-17,40.18,41.00,39.65,40.52,47000,40.52
2013-12-16,38.70,40.69,37.59,40.09,89500,40.09
2013-12-13,39.33,41.87,38.00,38.47,97800,38.47
2013-12-12,39.39,39.82,38.17,39.41,62500,39.41
2013-12-11,40.22,40.63,38.72,39.35,58300,39.35
2013-12-10,42.34,42.96,39.44,40.19,100200,40.19
2013-12-09,41.03,42.92,40.91,42.48,67600,42.48
2013-12-06,40.00,41.04,38.50,40.89,57800,40.89
2013-12-05,40.59,40.59,39.04,39.76,55200,39.76
2013-12-04,39.97,41.13,39.18,39.87,30500,39.87
2013-12-03,40.59,40.84,39.56,40.25,56200,40.25
2013-12-02,41.35,41.54,39.56,40.80,110000,40.80
2013-11-29,41.89,41.99,40.85,41.35,21300,41.35
2013-11-27,41.55,42.55,40.51,41.59,46100,41.59
2013-11-26,40.05,42.14,38.79,41.32,88800,41.32
2013-11-25,41.65,42.77,39.60,39.86,50900,39.86
