Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.26,22.38,22.26,22.37,340200,22.37
2014-02-21,22.17,22.30,22.17,22.22,594400,22.22
2014-02-20,22.15,22.28,22.15,22.23,751600,22.23
2014-02-19,22.01,22.25,22.01,22.23,733100,22.23
2014-02-18,21.72,22.19,21.72,22.16,904800,22.16
2014-02-14,21.57,21.89,21.57,21.86,728000,21.86
2014-02-13,21.58,21.68,21.55,21.68,598000,21.68
2014-02-12,21.60,21.70,21.55,21.63,564200,21.63
2014-02-11,21.44,21.66,21.42,21.65,724200,21.65
2014-02-10,21.50,21.60,21.45,21.55,1075700,21.55
2014-02-07,21.25,21.58,21.20,21.56,1588400,21.56
2014-02-06,21.00,21.23,21.00,21.22,1317400,21.22
2014-02-05,20.00,21.00,20.00,21.00,851700,21.00
2014-02-04,21.00,21.00,20.00,21.00,1065400,21.00
2014-02-03,21.02,21.34,21.02,21.06,614700,21.06
2014-01-31,20.95,21.40,20.93,21.40,776700,21.40
2014-01-30,21.16,21.48,21.16,21.36,1205400,21.36
2014-01-29,20.88,21.31,20.88,21.26,1238000,21.26
2014-01-28,20.93,21.24,20.93,21.16,1117300,20.97
2014-01-27,21.07,21.19,20.96,21.06,985400,20.87
2014-01-24,21.01,21.34,21.01,21.17,1190900,20.98
2014-01-23,21.25,21.40,21.19,21.26,1183100,21.07
2014-01-22,21.20,21.44,21.18,21.36,1157900,21.17
2014-01-21,21.54,21.55,21.08,21.20,991500,21.01
2014-01-17,21.56,21.80,21.46,21.60,743800,21.41
2014-01-16,21.01,22.00,21.01,21.72,859700,21.52
2014-01-15,20.50,21.90,20.50,21.19,818300,21.00
2014-01-14,20.42,20.68,20.40,20.56,908200,20.37
2014-01-13,20.32,20.57,20.32,20.42,898600,20.24
2014-01-10,20.26,20.69,20.26,20.39,915500,20.21
2014-01-09,20.35,20.50,20.25,20.34,1143000,20.16
