Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,28.04,28.10,27.17,27.57,24000,27.57
2014-02-21,26.80,27.86,26.74,27.54,26300,27.54
2014-02-20,25.56,26.28,25.24,26.28,69800,26.28
2014-02-19,25.69,26.00,25.02,25.76,60900,25.76
2014-02-18,28.30,28.35,25.73,26.00,63900,26.00
2014-02-14,31.49,31.49,26.26,28.37,58700,28.37
2014-02-13,29.00,31.10,27.30,29.65,211600,29.65
2014-02-12,24.98,26.20,23.54,25.57,44000,25.57
2014-02-11,23.90,25.64,23.90,24.96,34700,24.96
2014-02-10,25.20,25.25,23.61,23.82,23400,23.82
2014-02-07,23.89,24.90,23.89,24.35,20300,24.35
2014-02-06,22.91,24.98,22.91,23.74,33000,23.74
2014-02-05,22.00,23.60,20.77,23.03,72400,23.03
2014-02-04,25.02,25.02,23.06,24.01,63600,24.01
2014-02-03,24.95,24.95,24.12,24.43,21400,24.43
2014-01-31,25.43,25.43,24.50,24.95,25000,24.95
2014-01-30,25.78,26.00,24.80,25.50,14500,25.50
2014-01-29,25.15,25.72,24.22,25.66,18200,25.66
2014-01-28,24.96,25.70,24.41,25.41,13200,25.41
2014-01-27,26.12,26.45,23.80,25.04,94100,25.04
2014-01-24,27.53,27.53,25.05,25.58,41600,25.58
2014-01-23,27.84,27.84,27.00,27.40,12600,27.40
2014-01-22,26.49,28.20,26.49,27.97,48800,27.97
2014-01-21,27.10,27.10,25.00,26.60,90900,26.60
2014-01-17,28.21,29.94,26.50,26.77,56700,26.77
2014-01-16,28.59,29.95,27.84,28.54,72400,28.54
2014-01-15,26.34,28.38,25.72,28.30,118700,28.30
2014-01-14,26.50,26.50,25.56,26.14,46400,26.14
2014-01-13,26.00,26.70,25.51,26.35,31300,26.35
2014-01-10,26.41,26.45,25.38,26.00,24900,26.00
2014-01-09,26.05,27.00,25.02,26.05,24900,26.05
2014-01-08,25.85,27.25,25.79,26.20,26400,26.20
2014-01-07,25.02,26.08,24.34,25.99,37600,25.99
2014-01-06,25.56,25.62,24.16,24.81,57100,24.81
2014-01-03,25.89,26.48,24.45,25.47,45900,25.47
2014-01-02,25.01,26.50,23.85,25.67,61000,25.67
2013-12-31,27.81,27.87,24.31,24.86,133400,24.86
2013-12-30,29.01,29.42,26.83,27.31,54800,27.31
2013-12-27,26.62,29.33,26.60,29.09,60600,29.09
2013-12-26,27.28,28.00,26.50,27.02,59100,27.02
2013-12-24,30.00,30.14,27.50,27.84,52600,27.84
2013-12-23,31.40,32.00,29.25,30.49,88600,30.49
2013-12-20,27.86,30.25,26.98,29.25,108900,29.25
2013-12-19,26.87,28.50,26.60,27.86,98000,27.86
2013-12-18,23.42,26.57,23.35,26.28,109700,26.28
2013-12-17,23.00,24.44,22.70,23.99,75300,23.99
2013-12-16,26.37,27.82,22.68,22.81,177700,22.81
2013-12-13,24.87,28.19,24.62,26.86,313600,26.86
2013-12-12,24.50,26.80,22.50,23.80,397800,23.80
2013-12-11,22.50,23.70,20.41,22.07,286300,22.07
2013-12-10,16.69,20.50,16.49,20.15,148000,20.15
2013-12-09,16.88,17.08,16.26,16.51,35800,16.51
2013-12-06,17.11,17.58,16.72,16.76,51200,16.76
2013-12-05,18.60,18.60,17.01,17.27,27700,17.27
2013-12-04,20.91,20.95,18.24,18.59,107200,18.59
2013-12-03,16.40,21.80,15.66,21.02,327900,21.02
2013-12-02,16.47,17.17,15.85,16.49,79700,16.49
2013-11-29,16.82,17.40,16.45,16.64,60300,16.64
2013-11-27,17.25,17.66,16.56,16.78,40900,16.78
2013-11-26,17.25,18.38,16.10,16.89,136200,16.89
2013-11-25,16.71,19.20,16.25,17.45,202800,17.45
2013-11-22,21.44,21.50,15.60,15.99,206400,15.99
2013-11-21,19.85,23.37,18.01,19.65,270100,19.65
2013-11-20,22.81,25.05,18.71,19.23,333300,19.23
2013-11-19,32.80,32.80,25.26,25.75,144600,25.75
2013-11-18,32.96,37.80,30.05,31.92,224000,31.92
2013-11-15,38.77,38.77,30.52,33.23,125800,33.23
2013-11-14,35.93,43.73,33.00,38.21,283800,38.21
2013-11-13,27.97,34.98,26.13,33.60,360100,33.60
2013-11-12,23.77,26.00,20.64,23.49,105200,23.49
2013-11-11,21.50,28.39,21.50,22.98,179700,22.98
2013-11-08,22.39,25.93,20.26,21.24,146200,21.24
2013-11-07,19.08,23.55,18.26,22.57,107600,22.57
2013-11-06,16.50,19.00,16.25,18.21,51700,18.21
2013-11-05,16.46,16.46,16.00,16.28,33500,16.28
2013-11-04,14.41,16.49,14.31,16.26,43900,16.26
2013-11-01,15.08,15.80,14.00,14.70,86600,14.70
2013-10-31,17.31,17.99,14.79,15.97,208900,15.97
2013-10-30,14.55,17.10,13.40,17.10,198500,17.10
2013-10-29,11.50,13.87,11.30,13.85,74400,13.85
2013-10-28,11.00,11.50,10.72,11.40,24100,11.40
2013-10-25,10.13,10.76,10.13,10.76,14100,10.76
2013-10-24,11.00,11.31,10.11,10.25,14500,10.25
2013-10-23,12.29,12.32,10.70,11.05,49700,11.05
2013-10-22,11.27,13.49,11.25,11.90,150300,11.90
2013-10-21,7.60,10.95,7.60,10.10,66800,10.10
2013-10-18,7.68,7.69,7.58,7.59,1900,7.59
2013-10-17,7.60,7.65,7.51,7.51,9800,7.51
2013-10-16,7.60,7.60,7.60,7.60,3000,7.60
2013-10-15,7.69,7.69,7.35,7.60,24300,7.60
2013-10-14,7.30,7.65,7.30,7.65,6900,7.65
