Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,8.12,9.27,8.12,8.65,206100,8.65
2014-02-21,8.24,8.29,8.10,8.21,92900,8.21
2014-02-20,8.38,8.45,8.08,8.13,58100,8.13
2014-02-19,8.07,8.44,8.02,8.24,59600,8.24
2014-02-18,8.03,8.07,8.02,8.04,20400,8.04
2014-02-14,8.10,8.10,8.00,8.08,40400,8.08
2014-02-13,8.01,8.19,7.97,8.02,77900,8.02
2014-02-12,8.01,8.04,8.00,8.03,91400,8.03
2014-02-11,8.03,8.23,8.00,8.04,222100,8.04
2014-02-10,8.00,8.20,8.00,8.06,161100,8.06
2014-02-07,8.90,9.91,8.00,8.00,2430500,8.00
