Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,82.10,83.46,81.73,83.39,75600,83.39
2014-02-21,82.00,82.09,81.30,81.85,66400,81.85
2014-02-20,80.39,81.87,80.28,81.79,69900,81.79
2014-02-19,80.90,82.10,80.90,80.94,40700,80.94
2014-02-18,82.00,82.10,80.01,80.90,310000,80.90
2014-02-14,82.83,82.83,80.78,81.27,52300,81.27
2014-02-13,82.47,83.28,80.42,81.83,104800,81.83
2014-02-12,82.93,84.50,82.00,82.21,88800,82.21
2014-02-11,81.48,84.00,81.24,82.57,89600,82.57
2014-02-10,80.62,81.49,80.10,81.07,83400,81.07
2014-02-07,81.72,81.72,80.43,80.68,58300,80.68
2014-02-06,80.56,81.81,80.53,81.16,75800,81.16
2014-02-05,81.90,82.35,80.26,80.57,72700,80.57
2014-02-04,82.16,82.87,81.29,82.75,97000,81.55
2014-02-03,82.63,83.00,81.01,82.05,145200,80.86
2014-01-31,81.41,83.30,80.40,82.40,104400,81.21
2014-01-30,79.87,82.25,79.07,81.98,146100,80.79
2014-01-29,78.54,79.98,77.65,79.94,89100,78.78
2014-01-28,78.00,81.00,77.75,80.14,134700,78.98
2014-01-27,77.00,77.78,76.00,77.78,128500,76.65
2014-01-24,76.89,77.05,76.01,77.05,68300,75.93
2014-01-23,76.79,77.02,76.26,76.73,37300,75.62
2014-01-22,77.11,77.17,76.44,76.76,25600,75.65
2014-01-21,76.80,77.39,76.51,76.69,47400,75.58
2014-01-17,77.47,77.47,76.41,76.79,33700,75.68
2014-01-16,76.00,77.32,75.51,77.30,79300,76.18
2014-01-15,75.24,76.00,75.18,75.99,39400,74.89
2014-01-14,75.64,76.02,75.01,75.46,35800,74.37
2014-01-13,75.43,76.50,75.03,75.15,37700,74.06
2014-01-10,77.15,77.15,75.11,75.30,126000,74.21
2014-01-09,76.78,77.38,76.30,77.15,48600,76.03
2014-01-08,76.79,77.06,76.29,76.61,33600,75.50
2014-01-07,76.80,77.28,76.04,76.79,54500,75.68
2014-01-06,76.12,76.78,75.81,76.32,53500,75.22
2014-01-03,77.33,77.33,75.51,76.30,77300,75.20
2014-01-02,77.29,77.47,75.69,76.80,66900,75.69
2013-12-31,77.39,77.39,76.03,77.00,76900,75.89
2013-12-30,76.84,77.40,75.80,77.04,72300,75.92
2013-12-27,77.00,77.00,76.14,76.73,56500,75.62
2013-12-26,76.08,76.50,75.37,76.24,68600,75.14
2013-12-24,75.90,76.45,75.33,76.23,26600,75.13
2013-12-23,75.74,76.49,74.42,75.91,112800,74.81
2013-12-20,74.65,76.00,73.31,76.00,115700,74.90
2013-12-19,74.04,75.15,74.03,74.85,84400,73.77
2013-12-18,74.81,74.98,74.00,74.63,43300,73.55
2013-12-17,75.50,75.50,74.20,74.95,43500,73.86
2013-12-16,75.32,75.94,75.00,75.32,46300,74.23
2013-12-13,75.03,75.49,74.15,75.36,39000,74.27
2013-12-12,74.91,75.37,74.57,74.58,30000,73.50
2013-12-11,75.67,75.80,74.94,75.12,63600,74.03
2013-12-10,75.50,75.88,75.06,75.66,102300,74.56
2013-12-09,76.00,76.00,75.50,75.61,38600,74.52
2013-12-06,75.81,76.16,75.27,75.57,36000,74.48
2013-12-05,76.01,76.10,74.52,75.36,59100,74.27
2013-12-04,74.60,76.22,73.75,76.01,95300,74.91
2013-12-03,73.00,74.71,72.75,74.52,95700,73.44
2013-12-02,73.02,73.50,72.78,73.35,27200,72.29
2013-11-29,73.00,73.29,72.78,73.27,20400,72.21
2013-11-27,72.90,73.25,72.59,73.02,46800,71.96
2013-11-26,72.75,73.07,72.53,72.92,31600,71.86
2013-11-25,73.00,73.94,72.63,73.01,73200,71.95
2013-11-22,72.01,73.54,71.10,73.00,69900,71.94
2013-11-21,70.20,72.87,69.74,72.15,96400,71.11
2013-11-20,71.51,71.71,68.00,70.22,260600,69.20
2013-11-19,73.80,74.12,71.01,71.75,81300,70.71
2013-11-18,74.98,74.99,73.80,73.81,55400,72.74
2013-11-15,75.00,75.09,74.65,74.98,67100,73.89
2013-11-14,75.40,75.40,74.49,74.90,70400,73.82
2013-11-13,75.01,75.04,74.50,74.85,59900,73.77
2013-11-12,75.04,75.04,74.30,74.57,46100,73.49
2013-11-11,75.00,75.75,74.07,75.02,66800,73.93
2013-11-08,75.70,75.70,74.06,74.86,78200,73.78
2013-11-07,76.50,76.50,75.52,75.90,43900,74.80
2013-11-06,75.70,76.48,75.50,75.78,36200,74.68
2013-11-05,76.94,76.94,75.41,75.70,53100,74.60
2013-11-04,76.80,78.00,76.25,77.77,93800,75.49
2013-11-01,76.34,77.99,75.96,77.36,69600,75.09
2013-10-31,76.29,76.46,75.80,75.91,40100,73.68
2013-10-30,76.58,76.99,75.65,75.65,33200,73.43
2013-10-29,76.50,76.59,75.67,76.26,50300,74.02
2013-10-28,76.20,76.49,75.28,75.90,62800,73.67
2013-10-25,76.89,76.95,76.25,76.25,60400,74.01
2013-10-24,76.53,77.11,76.09,76.78,58900,74.53
2013-10-23,76.58,76.88,75.72,76.48,34700,74.23
2013-10-22,76.94,77.00,76.02,76.55,36100,74.30
2013-10-21,75.21,76.99,75.21,76.17,34800,73.93
2013-10-18,75.96,76.57,74.75,75.40,78300,73.19
2013-10-17,76.05,77.50,75.24,75.41,84800,73.20
2013-10-16,76.51,77.03,75.16,75.95,45800,73.72
2013-10-15,77.00,77.42,75.52,76.19,32200,73.95
2013-10-14,75.37,77.00,74.87,76.91,46400,74.65
2013-10-11,74.28,75.99,74.28,75.99,20300,73.76
2013-10-10,74.82,74.82,74.00,74.63,21100,72.44
2013-10-09,75.31,75.83,73.77,74.15,34700,71.97
2013-10-08,75.38,75.94,74.90,75.00,32000,72.80
2013-10-07,75.04,76.63,75.00,75.63,59000,73.41
2013-10-04,76.50,76.50,75.67,75.85,39800,73.62
2013-10-03,75.33,76.60,74.52,76.25,75400,74.01
2013-10-02,75.30,75.47,74.01,75.33,38900,73.12
2013-10-01,74.57,75.59,74.13,75.24,64000,73.03
2013-09-30,74.00,75.08,73.02,74.13,83300,71.95
2013-09-27,76.35,77.64,74.46,74.73,66300,72.54
2013-09-26,76.69,77.61,76.07,76.80,32300,74.54
2013-09-25,76.45,77.35,76.10,76.24,41400,74.00
2013-09-24,77.50,77.95,76.00,76.12,28200,73.88
2013-09-23,77.29,77.91,77.03,77.47,56300,75.19
2013-09-20,77.85,77.95,76.90,77.00,88500,74.74
2013-09-19,77.56,78.00,76.51,77.86,67200,75.57
2013-09-18,76.52,77.66,75.72,77.00,51800,74.74
2013-09-17,75.39,76.90,75.38,76.13,43400,73.89
2013-09-16,76.00,76.50,74.46,75.39,54400,73.18
2013-09-13,76.99,77.10,75.01,75.28,33700,73.07
2013-09-12,77.40,77.99,76.50,76.59,37700,74.34
2013-09-11,77.98,78.00,77.41,77.42,55100,75.15
2013-09-10,77.25,78.25,77.17,78.00,41100,75.71
2013-09-09,76.06,76.74,76.06,76.74,56300,74.49
2013-09-06,76.21,76.35,75.81,76.02,32100,73.79
2013-09-05,75.77,76.21,75.50,76.00,28700,73.77
2013-09-04,75.97,76.23,75.27,75.40,31400,73.19
2013-09-03,75.96,76.75,75.30,75.40,33100,73.19
2013-08-30,76.65,76.91,74.87,75.28,39400,73.07
2013-08-29,77.61,77.95,76.72,76.77,32200,74.52
2013-08-28,78.21,78.60,77.58,77.96,26900,75.67
2013-08-27,77.96,78.85,77.96,78.23,50700,75.93
2013-08-26,78.30,78.99,77.87,78.75,68000,76.44
2013-08-23,78.03,78.90,77.75,78.23,38200,75.93
2013-08-22,77.06,78.70,76.00,78.03,75200,75.74
2013-08-21,76.30,77.40,76.30,77.06,46100,74.80
2013-08-20,75.25,76.89,75.25,76.33,45600,74.09
2013-08-19,75.00,75.34,74.70,75.25,51100,73.04
