Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.79,25.99,25.78,25.97,36000,25.97
2014-02-21,25.47,25.79,25.37,25.67,24900,25.67
2014-02-20,25.00,25.52,25.00,25.31,13800,25.31
2014-02-19,25.46,25.77,24.98,24.99,24000,24.99
2014-02-18,25.09,25.75,24.93,25.53,18400,25.53
2014-02-14,25.20,25.28,24.76,25.17,12900,25.17
2014-02-13,24.50,25.26,24.50,25.15,16900,25.15
2014-02-12,25.00,25.00,24.53,24.64,12300,24.64
2014-02-11,24.62,25.00,24.59,24.81,14500,24.81
2014-02-10,24.70,24.86,24.50,24.67,31200,24.67
2014-02-07,24.87,24.95,24.50,24.81,24600,24.81
2014-02-06,24.79,24.98,24.63,24.87,23700,24.87
2014-02-05,24.80,25.14,24.69,24.80,26400,24.80
2014-02-04,24.81,25.09,24.74,24.85,27800,24.85
2014-02-03,24.93,25.15,24.64,24.72,38800,24.72
2014-01-31,24.97,25.14,24.91,24.93,21200,24.93
2014-01-30,25.34,25.53,25.22,25.27,18100,25.27
2014-01-29,25.15,25.19,25.00,25.00,37000,25.00
2014-01-28,25.36,25.37,25.16,25.21,27300,25.21
2014-01-27,25.41,25.76,25.32,25.36,11500,25.36
2014-01-24,25.60,25.68,25.35,25.45,33100,25.45
2014-01-23,25.81,26.13,25.62,25.73,28700,25.73
2014-01-22,25.54,25.97,25.46,25.89,32700,25.89
2014-01-21,25.16,25.42,25.00,25.42,44000,25.42
2014-01-17,25.27,25.29,25.13,25.21,15300,25.21
2014-01-16,25.65,25.67,25.25,25.29,26800,25.29
2014-01-15,25.92,26.04,25.57,25.65,14200,25.65
2014-01-14,25.60,26.08,25.60,25.75,38200,25.75
2014-01-13,25.91,26.26,25.69,25.79,26200,25.79
2014-01-10,25.92,26.39,25.76,26.07,30000,26.07
2014-01-09,26.35,26.45,25.91,25.94,29800,25.94
2014-01-08,26.44,26.51,26.08,26.27,27000,26.27
2014-01-07,26.45,26.78,26.36,26.52,42700,26.52
2014-01-06,26.75,26.91,26.37,26.45,27600,26.45
2014-01-03,26.69,26.90,26.58,26.84,15300,26.84
2014-01-02,26.58,26.68,26.30,26.68,27500,26.68
