Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,89.39,90.22,89.33,89.34,490800,89.34
2014-02-21,89.63,89.69,88.55,88.91,605000,88.91
2014-02-20,88.93,89.06,88.10,88.88,1397400,88.88
2014-02-19,89.46,89.50,88.17,88.20,1898900,88.20
2014-02-18,89.95,89.98,89.04,89.68,3076900,89.68
2014-02-14,89.02,89.21,88.60,89.18,1176200,89.18
2014-02-13,87.65,88.61,87.53,88.47,1823900,88.47
2014-02-12,88.67,88.90,87.86,87.93,1205000,87.93
2014-02-11,87.93,89.61,87.92,89.61,375000,89.61
2014-02-10,87.42,87.66,87.05,87.54,299000,87.54
2014-02-07,86.68,87.61,86.39,87.56,761400,87.56
2014-02-06,86.23,87.06,86.19,86.84,568400,86.84
2014-02-05,84.77,85.49,84.19,85.16,854400,85.16
2014-02-04,84.33,84.82,83.92,84.09,1074500,84.09
2014-02-03,85.46,85.74,83.93,84.56,1136900,84.56
2014-01-31,83.80,85.14,83.76,84.63,828300,84.63
2014-01-30,87.21,87.35,85.03,85.23,1619700,85.23
2014-01-29,85.60,86.72,85.35,85.65,1255500,85.65
2014-01-28,87.88,88.10,86.35,86.44,1367900,86.44
2014-01-27,88.44,88.51,87.05,87.62,1931700,87.62
2014-01-24,90.04,90.09,87.48,87.59,2351400,87.59
2014-01-23,90.17,90.17,87.28,88.39,2320300,88.39
2014-01-22,91.43,92.29,90.15,91.29,3541200,91.29
2014-01-21,85.30,87.28,84.88,87.15,3920300,87.15
2014-01-17,83.69,84.48,83.28,84.40,3130400,84.40
2014-01-16,86.57,86.67,84.84,85.22,2774700,85.22
2014-01-15,90.29,90.75,89.10,89.44,1521800,89.44
2014-01-14,90.20,91.41,90.13,91.19,1124600,91.19
2014-01-13,90.08,90.77,90.05,90.36,1158100,90.36
2014-01-10,90.28,91.07,90.08,91.07,759800,91.07
2014-01-09,90.76,90.76,89.66,90.14,824000,90.14
2014-01-08,89.28,89.73,88.96,89.63,785000,89.63
2014-01-07,88.97,89.60,88.81,89.39,840200,89.39
2014-01-06,91.06,91.09,89.99,90.15,745100,90.15
2014-01-03,92.36,92.57,91.91,92.04,1084100,92.04
2014-01-02,92.62,92.82,92.02,92.36,647100,92.36
2013-12-31,93.42,93.97,93.33,93.70,240300,93.70
2013-12-30,94.26,94.29,93.43,93.44,664100,93.44
2013-12-27,94.78,94.83,93.90,94.07,925000,94.07
2013-12-26,92.90,93.67,92.57,93.47,273500,93.47
2013-12-24,91.97,92.85,91.97,92.65,135800,92.65
2013-12-23,92.57,92.66,91.68,92.24,495500,92.24
2013-12-20,91.45,91.78,91.24,91.48,732300,91.48
2013-12-19,90.43,91.08,89.94,90.84,721000,90.84
2013-12-18,88.98,89.98,88.54,89.78,874100,89.78
2013-12-17,88.37,88.44,87.76,87.91,607400,87.91
2013-12-16,88.72,89.33,87.97,88.22,1298100,88.22
2013-12-13,89.34,89.40,87.82,88.10,1036800,88.10
2013-12-12,90.54,90.65,89.27,89.37,1969600,89.37
2013-12-11,91.88,91.98,91.01,91.10,820500,91.10
2013-12-10,91.81,92.04,90.90,91.04,672800,91.04
2013-12-09,92.41,92.85,91.66,91.80,871000,91.80
2013-12-06,90.95,92.07,90.82,91.45,541300,91.45
2013-12-05,91.94,92.21,90.88,91.14,757300,91.14
2013-12-04,92.14,93.03,90.95,91.48,872000,91.48
2013-12-03,93.61,94.23,93.39,93.78,566100,93.78
2013-12-02,93.59,94.08,93.42,93.74,381100,93.74
2013-11-29,94.01,94.09,93.28,93.38,424000,93.38
2013-11-27,93.65,93.84,93.20,93.59,601600,93.59
2013-11-26,92.53,92.99,91.93,92.76,1075600,92.76
2013-11-25,92.14,92.49,91.63,92.08,760800,92.08
2013-11-22,90.76,91.84,90.59,91.72,1235300,91.72
2013-11-21,89.40,90.18,89.30,89.92,1385700,89.92
2013-11-20,89.43,89.69,88.29,88.33,911600,88.33
2013-11-19,89.93,90.05,88.53,89.12,1573500,89.12
2013-11-18,89.44,89.83,88.71,88.86,969900,88.86
2013-11-15,89.04,89.93,88.40,89.93,1255900,89.93
2013-11-14,88.60,89.08,87.88,88.90,3110800,88.90
2013-11-13,86.67,87.82,86.59,87.68,2201500,87.68
2013-11-12,86.68,87.15,86.11,86.94,1965600,86.94
2013-11-11,87.66,88.06,87.22,87.38,1508700,87.38
2013-11-08,86.66,87.81,86.34,87.37,1012900,87.37
2013-11-07,88.87,89.21,87.26,87.30,1502200,87.30
2013-11-06,90.59,91.12,90.20,90.54,884800,90.54
2013-11-05,90.06,91.05,89.77,90.52,792500,90.52
2013-11-04,92.18,92.41,91.57,91.77,1016300,91.77
2013-11-01,93.96,94.36,92.39,92.65,762300,92.65
2013-10-31,94.71,95.05,94.06,94.70,472800,94.70
2013-10-30,94.72,94.91,93.42,94.64,698600,94.64
2013-10-29,94.61,94.92,93.95,94.20,1004000,94.20
2013-10-28,93.96,94.62,93.83,94.33,536500,94.33
2013-10-25,94.45,94.47,93.44,94.31,599900,94.31
2013-10-24,94.32,94.58,93.81,94.09,622500,94.09
2013-10-23,94.54,94.54,93.05,93.32,1399800,93.32
2013-10-22,94.11,94.55,93.78,94.11,1774700,94.11
2013-10-21,92.05,93.56,92.05,93.14,1394400,93.14
2013-10-18,92.38,92.93,91.22,92.84,2663800,92.84
2013-10-17,92.79,93.95,92.59,93.84,1599200,93.84
2013-10-16,94.98,96.36,93.96,94.98,2244400,94.98
2013-10-15,97.31,97.50,94.91,95.15,1899600,95.15
2013-10-14,97.10,97.39,96.59,97.07,1105700,97.07
2013-10-11,97.55,98.05,97.43,97.88,817700,97.88
2013-10-10,96.71,97.82,96.55,97.71,1060400,97.71
2013-10-09,95.95,96.55,94.10,96.09,1256500,96.09
2013-10-08,99.96,100.11,97.28,97.43,963900,97.43
2013-10-07,98.93,99.84,98.89,99.46,1070600,99.46
2013-10-04,100.09,101.03,99.97,100.96,729100,100.96
2013-10-03,101.73,101.85,99.87,100.55,1604200,100.55
2013-10-02,99.72,100.80,99.03,100.66,417400,100.66
2013-10-01,99.38,100.95,99.31,100.91,537700,100.91
2013-09-30,98.70,99.50,98.46,98.76,673700,98.76
2013-09-27,97.80,98.48,97.34,98.45,737200,98.45
2013-09-26,97.30,97.74,96.96,97.67,441500,97.67
2013-09-25,97.55,98.37,97.17,97.81,552000,97.81
2013-09-24,96.95,97.99,96.52,97.44,736700,97.44
2013-09-23,97.23,97.42,95.80,95.88,456200,95.88
2013-09-20,96.95,97.86,96.77,97.47,952000,97.47
2013-09-19,96.37,96.39,95.14,95.64,615700,95.64
2013-09-18,93.22,94.93,92.70,94.75,714900,94.75
2013-09-17,92.22,92.98,92.02,92.91,684600,92.91
2013-09-16,93.60,93.64,92.77,92.80,354800,92.80
2013-09-13,92.42,92.98,91.85,92.94,565400,92.94
2013-09-12,91.88,94.01,91.59,92.67,1236200,92.67
2013-09-11,89.32,89.57,88.89,89.43,525000,89.43
2013-09-10,89.72,90.46,89.60,90.37,599800,90.37
2013-09-09,89.07,90.03,88.59,89.44,597000,89.44
2013-09-06,89.91,90.16,88.75,88.77,923000,88.77
2013-09-05,89.35,89.97,88.99,89.73,1308100,89.73
2013-09-04,87.85,89.96,87.68,89.60,1536300,89.60
2013-09-03,87.99,88.55,87.63,88.39,1217700,88.39
2013-08-30,87.69,87.99,86.83,87.06,1467700,87.06
2013-08-29,87.17,88.54,87.13,87.92,1204000,87.92
2013-08-28,87.26,88.67,86.96,88.28,1181200,88.28
2013-08-27,89.05,89.31,87.48,87.92,834600,87.92
2013-08-26,91.13,91.32,90.48,90.57,621900,90.57
2013-08-23,91.32,91.44,90.73,90.83,849400,90.83
2013-08-22,91.41,92.17,89.71,90.80,773800,90.80
2013-08-21,90.80,90.95,89.82,90.22,451200,90.22
2013-08-20,90.60,91.17,90.19,90.30,481200,90.30
2013-08-19,91.59,91.73,90.57,90.78,287100,90.78
