Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,24.39,26.32,24.39,25.15,163900,25.15
2014-02-21,23.03,24.42,22.64,24.11,98900,24.11
2014-02-20,23.00,23.65,22.33,23.17,54500,23.17
2014-02-19,23.00,23.49,22.08,22.79,104300,22.79
2014-02-18,24.01,24.08,22.05,23.05,149800,23.05
2014-02-14,25.00,25.00,22.87,23.93,163100,23.93
2014-02-13,21.61,25.13,20.00,24.69,420000,24.69
2014-02-12,20.49,23.13,19.87,22.20,326800,22.20
2014-02-11,19.12,21.00,18.51,20.17,345900,20.17
2014-02-10,18.29,20.75,17.90,19.27,253200,19.27
2014-02-07,15.75,17.74,15.53,17.65,257800,17.65
2014-02-06,15.99,16.00,15.50,15.97,308800,15.97
2014-02-05,15.00,16.25,13.25,15.66,4139600,15.66
