Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.94,5.94,5.90,5.90,1100,5.90
2014-02-21,5.63,5.94,5.63,5.94,21300,5.94
2014-02-20,5.94,5.94,5.50,5.74,22200,5.74
2014-02-19,5.69,5.69,5.55,5.55,12500,5.55
2014-02-18,5.54,5.67,5.50,5.67,18800,5.67
2014-02-14,5.55,5.74,5.55,5.56,2500,5.56
2014-02-13,5.65,5.74,5.44,5.74,30800,5.74
2014-02-12,5.59,5.66,5.59,5.64,50700,5.64
2014-02-11,5.60,5.65,5.58,5.61,26800,5.61
2014-02-10,5.35,5.60,5.33,5.60,13800,5.60
2014-02-07,5.40,5.47,5.40,5.43,7700,5.43
2014-02-06,5.43,5.43,5.40,5.41,8600,5.41
2014-02-05,5.38,5.43,5.38,5.41,6900,5.41
2014-02-04,5.44,5.44,5.33,5.44,14900,5.44
2014-02-03,5.38,5.45,5.25,5.25,21700,5.25
2014-01-31,5.44,5.44,5.44,5.44,000,5.44
2014-01-30,5.44,5.44,5.44,5.44,600,5.44
2014-01-29,5.35,5.45,5.33,5.45,1200,5.45
2014-01-28,5.41,5.57,5.36,5.40,5500,5.40
2014-01-27,5.50,5.64,5.21,5.48,42700,5.48
2014-01-24,5.51,5.56,5.50,5.50,1200,5.50
2014-01-23,5.62,5.65,5.50,5.58,21700,5.58
2014-01-22,5.64,5.65,5.63,5.63,5200,5.63
2014-01-21,5.60,5.60,5.56,5.59,1800,5.59
2014-01-17,5.52,5.76,5.52,5.65,40700,5.65
2014-01-16,5.54,5.70,5.54,5.70,10300,5.70
2014-01-15,5.75,5.75,5.65,5.66,32300,5.66
2014-01-14,5.57,5.74,5.51,5.73,17100,5.73
2014-01-13,5.50,5.54,5.50,5.54,1500,5.54
2014-01-10,5.53,5.53,5.53,5.53,500,5.53
2014-01-09,5.51,5.59,5.51,5.59,3100,5.59
2014-01-08,5.40,5.63,5.40,5.63,9000,5.63
2014-01-07,5.49,5.50,5.40,5.49,1900,5.49
2014-01-06,5.44,5.50,5.44,5.50,1100,5.50
2014-01-03,5.40,5.59,5.40,5.50,1200,5.50
2014-01-02,5.42,5.50,5.42,5.50,400,5.50
2013-12-31,5.46,5.61,5.41,5.61,2700,5.61
2013-12-30,5.55,5.55,5.41,5.42,15100,5.42
2013-12-27,5.43,5.73,5.43,5.63,4300,5.63
2013-12-26,5.48,5.50,5.42,5.43,1200,5.43
2013-12-24,5.69,5.69,5.41,5.44,1100,5.44
2013-12-23,5.92,5.92,5.52,5.66,4400,5.66
2013-12-20,5.40,5.75,5.12,5.47,36700,5.47
2013-12-19,5.35,5.40,5.34,5.40,6900,5.40
2013-12-18,5.19,5.35,5.14,5.35,1000,5.35
2013-12-17,5.13,5.20,5.13,5.17,1500,5.17
2013-12-16,5.11,5.43,5.11,5.35,15700,5.35
2013-12-13,5.24,5.28,5.07,5.15,5600,5.15
2013-12-12,5.29,5.29,5.29,5.29,600,5.29
2013-12-11,5.27,5.32,5.05,5.30,6000,5.30
2013-12-10,4.92,5.20,4.92,5.19,9300,5.19
2013-12-09,5.19,5.19,4.90,5.08,7500,5.08
2013-12-06,5.18,5.18,5.18,5.18,000,5.18
2013-12-05,5.42,5.42,5.15,5.18,15500,5.18
2013-12-04,5.45,5.45,5.40,5.41,5400,5.41
2013-12-03,5.50,5.51,5.40,5.45,47800,5.45
2013-12-02,5.10,5.77,5.10,5.41,16800,5.41
2013-11-29,5.09,5.09,5.05,5.09,1300,5.09
2013-11-27,4.93,5.11,4.93,5.07,1500,5.07
2013-11-26,4.86,5.00,4.84,4.91,29500,4.91
2013-11-25,5.00,5.00,4.87,4.90,2700,4.90
2013-11-22,5.10,5.10,5.00,5.00,1300,5.00
2013-11-21,5.13,5.13,5.03,5.05,4300,5.05
2013-11-20,5.14,5.34,5.09,5.12,1700,5.12
2013-11-19,5.44,5.50,5.37,5.37,12300,5.37
2013-11-18,5.34,5.50,5.10,5.50,38500,5.50
2013-11-15,5.43,5.50,5.09,5.30,6000,5.30
2013-11-14,5.25,5.49,5.12,5.43,27700,5.43
2013-11-13,5.00,5.29,5.00,5.29,77000,5.29
2013-11-12,4.84,4.90,4.84,4.90,12000,4.90
2013-11-11,4.90,4.90,4.85,4.89,7100,4.89
2013-11-08,4.84,4.98,4.68,4.94,20900,4.94
2013-11-07,4.94,4.94,4.69,4.91,10300,4.91
2013-11-06,4.80,5.09,4.80,4.99,2600,4.99
2013-11-05,5.20,5.20,4.90,4.91,19400,4.91
2013-11-04,5.20,5.30,5.20,5.21,1500,5.21
2013-11-01,5.18,5.20,5.18,5.20,1800,5.20
2013-10-31,5.20,5.31,5.16,5.17,3100,5.17
2013-10-30,5.36,5.39,5.10,5.13,14700,5.13
2013-10-29,5.29,5.38,5.26,5.38,4400,5.38
2013-10-28,5.27,5.37,5.21,5.22,9100,5.22
2013-10-25,5.30,5.38,5.30,5.31,10400,5.31
2013-10-24,5.22,5.26,4.92,5.23,4000,5.23
2013-10-23,5.35,5.35,5.26,5.27,15300,5.27
2013-10-22,5.25,5.38,5.25,5.29,17200,5.29
2013-10-21,5.15,5.30,5.11,5.30,23800,5.30
2013-10-18,5.11,5.13,5.05,5.10,4900,5.10
2013-10-17,4.86,5.12,4.83,5.11,14100,5.11
2013-10-16,4.74,4.99,4.74,4.90,33600,4.90
2013-10-15,4.70,4.80,4.69,4.80,9700,4.80
2013-10-14,4.74,4.80,4.62,4.80,4200,4.80
2013-10-11,4.61,4.78,4.61,4.78,10600,4.78
2013-10-10,4.41,4.62,4.27,4.62,25400,4.62
2013-10-09,4.31,4.46,4.17,4.46,48600,4.46
2013-10-08,4.38,4.46,4.28,4.39,12300,4.39
2013-10-07,4.20,4.25,4.15,4.15,7800,4.15
2013-10-04,4.02,4.46,4.02,4.25,25100,4.25
2013-10-03,4.18,4.28,4.16,4.28,16200,4.28
2013-10-02,4.29,4.30,4.26,4.26,17900,4.26
2013-10-01,4.33,4.47,4.26,4.32,21600,4.32
2013-09-30,4.30,4.34,4.27,4.32,7800,4.32
2013-09-27,4.33,4.41,4.33,4.35,26200,4.35
2013-09-26,4.49,4.55,4.42,4.42,3600,4.42
2013-09-25,4.42,4.42,4.36,4.39,5200,4.39
2013-09-24,4.60,4.60,4.42,4.42,22000,4.42
2013-09-23,4.57,4.63,4.50,4.55,16600,4.55
2013-09-20,4.58,4.72,4.58,4.61,14900,4.61
2013-09-19,4.72,4.72,4.57,4.61,4300,4.61
2013-09-18,4.66,4.76,4.61,4.70,18100,4.70
2013-09-17,4.64,4.74,4.64,4.74,10200,4.74
2013-09-16,4.58,4.60,4.55,4.60,4600,4.60
2013-09-13,4.65,4.65,4.56,4.56,16600,4.56
2013-09-12,4.61,4.63,4.54,4.60,17600,4.60
2013-09-11,4.55,4.61,4.55,4.60,34500,4.60
2013-09-10,4.46,4.89,4.44,4.55,15600,4.55
2013-09-09,4.42,4.43,4.42,4.42,7500,4.42
2013-09-06,4.36,4.45,4.35,4.40,18600,4.40
2013-09-05,4.31,4.40,4.31,4.35,12300,4.35
2013-09-04,4.32,4.40,4.29,4.35,7700,4.35
2013-09-03,4.52,4.54,4.25,4.46,14300,4.46
2013-08-30,4.57,4.57,4.52,4.54,900,4.54
2013-08-29,4.60,4.80,4.60,4.78,900,4.78
2013-08-28,4.76,4.80,4.76,4.80,4600,4.80
2013-08-27,4.80,4.80,4.51,4.70,1200,4.70
2013-08-26,4.79,4.80,4.78,4.80,6900,4.80
2013-08-23,4.85,4.90,4.83,4.88,6200,4.88
2013-08-22,4.63,4.74,4.60,4.73,2700,4.73
2013-08-21,4.70,4.85,4.65,4.78,15200,4.78
2013-08-20,4.85,4.85,4.70,4.70,5200,4.70
2013-08-19,4.92,4.92,4.85,4.86,7900,4.86
2013-08-16,4.85,4.97,4.81,4.85,4700,4.85
2013-08-15,4.66,5.25,4.66,5.05,37300,5.05
2013-08-14,5.38,5.47,4.53,4.75,18900,4.75
2013-08-13,5.50,5.50,5.25,5.35,23500,5.35
2013-08-12,5.56,5.58,5.50,5.55,1000,5.55
2013-08-09,5.56,5.66,5.55,5.65,15500,5.65
