Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.93,5.94,5.84,5.93,199900,5.93
2014-02-21,5.90,5.90,5.82,5.89,130100,5.89
2014-02-20,5.86,5.91,5.81,5.88,211800,5.88
2014-02-19,5.90,5.90,5.87,5.87,267000,5.87
2014-02-18,5.95,5.95,5.86,5.90,266700,5.90
2014-02-14,5.96,5.97,5.88,5.95,364100,5.95
2014-02-13,5.95,5.98,5.90,5.93,365800,5.93
2014-02-12,5.94,5.96,5.88,5.93,551100,5.93
2014-02-11,5.85,5.90,5.85,5.87,158300,5.87
2014-02-10,5.86,5.90,5.85,5.88,192000,5.88
2014-02-07,5.85,5.88,5.85,5.86,137300,5.86
2014-02-06,5.79,5.87,5.76,5.85,252600,5.85
2014-02-05,5.85,5.85,5.77,5.81,197400,5.81
2014-02-04,5.86,5.90,5.81,5.85,259800,5.85
2014-02-03,5.90,5.91,5.76,5.85,597200,5.85
2014-01-31,5.88,5.89,5.82,5.86,435400,5.86
2014-01-30,5.85,5.93,5.85,5.87,571700,5.87
2014-01-29,5.82,5.93,5.82,5.87,1560900,5.87
2014-01-28,5.90,5.95,5.85,5.86,8250300,5.86
2014-01-27,6.34,6.38,6.32,6.34,167900,6.34
2014-01-24,6.39,6.47,6.30,6.32,78600,6.32
2014-01-23,6.40,6.60,6.35,6.36,100900,6.36
2014-01-22,6.35,6.44,6.33,6.38,86600,6.38
2014-01-21,6.39,6.39,6.32,6.38,54400,6.38
2014-01-17,6.35,6.36,6.32,6.34,49400,6.34
2014-01-16,6.35,6.35,6.31,6.31,79000,6.31
2014-01-15,6.33,6.35,6.30,6.30,43300,6.30
2014-01-14,6.34,6.35,6.30,6.30,102500,6.30
2014-01-13,6.37,6.38,6.32,6.32,77200,6.32
2014-01-10,6.34,6.38,6.32,6.37,86600,6.37
2014-01-09,6.27,6.35,6.27,6.35,74700,6.35
2014-01-08,6.37,6.37,6.27,6.30,79300,6.30
2014-01-07,6.40,6.44,6.28,6.32,75700,6.32
2014-01-06,6.35,6.40,6.30,6.37,72600,6.37
2014-01-03,6.36,6.44,6.35,6.37,79100,6.37
2014-01-02,6.26,6.35,6.25,6.31,120800,6.31
2013-12-31,6.26,6.34,6.23,6.29,210100,6.29
2013-12-30,6.30,6.35,6.22,6.32,172200,6.32
2013-12-27,6.20,6.35,6.17,6.30,284000,6.30
2013-12-26,6.31,6.40,6.30,6.37,141100,6.24
2013-12-24,6.32,6.37,6.30,6.31,73100,6.19
2013-12-23,6.36,6.37,6.30,6.36,262700,6.24
2013-12-20,6.36,6.44,6.35,6.35,106500,6.23
2013-12-19,6.41,6.41,6.32,6.36,101500,6.24
2013-12-18,6.40,6.42,6.36,6.38,73600,6.25
2013-12-17,6.41,6.49,6.36,6.40,184800,6.27
2013-12-16,6.32,6.45,6.32,6.38,115800,6.25
2013-12-13,6.38,6.45,6.35,6.35,159400,6.23
2013-12-12,6.40,6.42,6.37,6.38,90100,6.25
2013-12-11,6.40,6.40,6.31,6.40,109400,6.27
2013-12-10,6.35,6.39,6.30,6.36,176900,6.24
2013-12-09,6.44,6.47,6.30,6.39,149700,6.26
2013-12-06,6.36,6.43,6.31,6.39,144100,6.26
2013-12-05,6.33,6.46,6.30,6.36,210900,6.24
2013-12-04,6.50,6.57,6.32,6.34,608600,6.22
2013-12-03,6.53,6.55,6.50,6.51,255800,6.38
2013-12-02,6.62,6.62,6.49,6.56,447200,6.43
2013-11-29,6.49,6.65,6.46,6.63,217700,6.50
2013-11-27,6.49,6.55,6.30,6.51,680900,6.38
2013-11-26,6.17,6.41,6.15,6.39,7495600,6.26
2013-11-25,6.69,6.78,6.62,6.70,223100,6.57
2013-11-22,6.70,6.82,6.60,6.65,175600,6.52
2013-11-21,6.86,6.87,6.35,6.65,606000,6.52
2013-11-20,6.97,7.01,6.85,6.85,262900,6.72
2013-11-19,7.06,7.10,7.01,7.03,44000,6.89
2013-11-18,7.03,7.10,7.00,7.00,54000,6.86
2013-11-15,7.08,7.09,7.02,7.03,42300,6.89
2013-11-14,7.00,7.13,7.00,7.09,46600,6.95
2013-11-13,7.08,7.11,7.01,7.03,45600,6.89
2013-11-12,7.14,7.19,7.07,7.10,44100,6.96
2013-11-11,7.14,7.23,7.00,7.13,58600,6.99
2013-11-08,7.16,7.16,7.08,7.08,12700,6.94
2013-11-07,7.05,7.22,7.00,7.18,67500,7.04
2013-11-06,7.10,7.25,6.99,7.00,88200,6.86
2013-11-05,7.22,7.22,7.07,7.07,26400,6.93
2013-11-04,7.14,7.25,7.14,7.20,41400,7.06
2013-11-01,7.18,7.25,7.12,7.17,30200,7.03
2013-10-31,7.24,7.24,7.10,7.18,71100,7.04
2013-10-30,7.11,7.15,7.10,7.14,46000,7.00
2013-10-29,7.05,7.11,6.97,7.11,54900,6.97
2013-10-28,7.00,7.04,6.95,7.04,55600,6.90
2013-10-25,6.93,6.95,6.93,6.94,56200,6.80
2013-10-24,7.02,7.03,6.94,6.98,37200,6.84
2013-10-23,7.02,7.04,6.93,7.01,21100,6.87
2013-10-22,7.08,7.10,7.00,7.02,55300,6.88
2013-10-21,7.00,7.08,6.97,7.02,26600,6.88
2013-10-18,7.00,7.00,6.93,7.00,37100,6.86
2013-10-17,7.00,7.00,6.91,6.97,35900,6.83
2013-10-16,6.92,7.00,6.91,6.98,26700,6.84
2013-10-15,6.95,6.99,6.90,6.90,35500,6.76
2013-10-14,6.90,7.00,6.90,7.00,22200,6.86
2013-10-11,7.00,7.00,6.90,6.98,37900,6.84
2013-10-10,6.95,7.00,6.90,6.99,30000,6.85
2013-10-09,6.95,6.99,6.80,6.95,46400,6.81
2013-10-08,7.04,7.04,6.95,6.96,44900,6.82
2013-10-07,7.00,7.04,7.00,7.03,37400,6.89
2013-10-04,6.79,6.99,6.79,6.99,80600,6.85
2013-10-03,6.82,6.87,6.77,6.79,53900,6.66
2013-10-02,6.89,6.89,6.79,6.79,114000,6.66
2013-10-01,6.82,6.89,6.79,6.82,69500,6.69
2013-09-30,6.85,6.89,6.81,6.83,55700,6.70
2013-09-27,6.99,6.99,6.86,6.86,76400,6.73
2013-09-26,7.02,7.05,6.93,6.93,44600,6.79
2013-09-25,7.05,7.08,7.00,7.04,51900,6.78
2013-09-24,7.00,7.07,6.98,7.02,64900,6.76
2013-09-23,7.02,7.02,6.93,6.98,90600,6.72
2013-09-20,7.05,7.05,6.96,7.00,37700,6.74
2013-09-19,7.05,7.06,7.02,7.05,9000,6.79
2013-09-18,7.07,7.07,7.00,7.07,18000,6.81
2013-09-17,7.06,7.07,6.97,7.06,37000,6.80
2013-09-16,7.04,7.07,7.00,7.03,31300,6.77
2013-09-13,7.03,7.05,6.97,7.01,48500,6.75
2013-09-12,7.00,7.04,6.93,7.04,35500,6.78
2013-09-11,7.00,7.00,6.95,6.95,33600,6.69
2013-09-10,6.91,7.00,6.91,6.94,76200,6.68
2013-09-09,6.96,6.97,6.90,6.91,120600,6.65
2013-09-06,7.02,7.05,6.96,6.98,148700,6.72
2013-09-05,7.02,7.02,6.97,7.00,29900,6.74
2013-09-04,6.98,7.01,6.94,7.01,41000,6.75
2013-09-03,6.98,7.00,6.96,6.99,46300,6.73
2013-08-30,6.99,6.99,6.94,6.96,40800,6.70
2013-08-29,6.97,6.99,6.93,6.96,22100,6.70
2013-08-28,6.96,7.01,6.90,6.97,51200,6.71
2013-08-27,6.94,6.99,6.90,6.96,46700,6.70
2013-08-26,6.94,7.00,6.93,6.98,36100,6.72
2013-08-23,6.99,7.00,6.95,6.99,27400,6.73
2013-08-22,6.95,7.06,6.91,6.91,39900,6.65
2013-08-21,6.95,7.01,6.93,6.94,36100,6.68
2013-08-20,7.00,7.03,6.94,7.01,68000,6.75
