Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.02,2.06,2.00,2.02,171200,2.02
2014-02-21,2.04,2.05,1.99,2.03,315500,2.03
2014-02-20,1.93,2.04,1.93,2.02,258000,2.02
2014-02-19,2.04,2.08,1.93,1.94,418100,1.94
2014-02-18,1.96,2.07,1.96,2.04,241600,2.04
2014-02-14,2.01,2.03,1.95,1.97,146400,1.97
2014-02-13,2.02,2.05,1.99,2.00,291800,2.00
2014-02-12,2.08,2.08,1.99,2.03,472700,2.03
2014-02-11,1.97,2.07,1.95,2.07,240000,2.07
2014-02-10,2.00,2.03,1.93,2.02,253800,2.02
2014-02-07,1.88,2.01,1.81,2.01,329300,2.01
2014-02-06,1.98,1.98,1.85,1.90,410800,1.90
2014-02-05,1.89,1.92,1.88,1.88,206500,1.88
2014-02-04,1.90,1.91,1.88,1.88,199700,1.88
2014-02-03,1.90,1.92,1.88,1.89,342600,1.89
2014-01-31,1.91,1.98,1.89,1.90,238100,1.90
2014-01-30,1.91,2.00,1.89,1.97,240400,1.97
2014-01-29,1.89,1.95,1.88,1.89,319100,1.89
2014-01-28,1.89,1.96,1.88,1.92,435900,1.92
2014-01-27,1.98,1.98,1.86,1.90,311100,1.90
2014-01-24,1.99,1.99,1.94,1.96,341000,1.96
2014-01-23,2.00,2.02,1.96,2.01,362800,2.01
2014-01-22,2.02,2.04,2.01,2.02,120800,2.02
2014-01-21,2.02,2.05,1.98,2.03,212800,2.03
2014-01-17,2.01,2.06,1.99,2.01,228800,2.01
2014-01-16,1.97,2.01,1.94,2.01,292400,2.01
2014-01-15,1.86,2.00,1.85,1.99,530900,1.99
2014-01-14,2.12,2.14,1.85,1.88,1316500,1.88
2014-01-13,2.22,2.31,2.20,2.23,306000,2.23
2014-01-10,2.23,2.28,2.22,2.25,381900,2.25
2014-01-09,2.23,2.24,2.20,2.22,209500,2.22
2014-01-08,2.24,2.26,2.21,2.22,123900,2.22
2014-01-07,2.30,2.39,2.21,2.21,209300,2.21
2014-01-06,2.33,2.35,2.29,2.30,247500,2.30
2014-01-03,2.24,2.32,2.24,2.31,254500,2.31
2014-01-02,2.26,2.28,2.23,2.24,202400,2.24
2013-12-31,2.26,2.30,2.23,2.26,217100,2.26
2013-12-30,2.28,2.30,2.24,2.24,251100,2.24
2013-12-27,2.31,2.31,2.24,2.28,177000,2.28
2013-12-26,2.33,2.34,2.23,2.29,224000,2.29
2013-12-24,2.34,2.42,2.30,2.33,241400,2.33
2013-12-23,2.31,2.36,2.24,2.36,402200,2.36
2013-12-20,2.20,2.32,2.19,2.31,565100,2.31
2013-12-19,2.20,2.34,2.12,2.19,421200,2.19
2013-12-18,2.22,2.22,2.11,2.20,196900,2.20
2013-12-17,2.20,2.22,2.19,2.21,207800,2.21
2013-12-16,2.20,2.25,2.19,2.21,174600,2.21
2013-12-13,2.20,2.22,2.19,2.20,142000,2.20
2013-12-12,2.19,2.24,2.17,2.19,132200,2.19
2013-12-11,2.20,2.24,2.19,2.20,255400,2.20
2013-12-10,2.28,2.28,2.20,2.21,146400,2.21
2013-12-09,2.28,2.29,2.24,2.27,141300,2.27
2013-12-06,2.37,2.38,2.26,2.27,202300,2.27
2013-12-05,2.28,2.38,2.26,2.34,144400,2.34
2013-12-04,2.31,2.35,2.26,2.28,144700,2.28
2013-12-03,2.35,2.38,2.29,2.33,182300,2.33
2013-12-02,2.53,2.53,2.36,2.36,144300,2.36
2013-11-29,2.55,2.57,2.46,2.53,56700,2.53
2013-11-27,2.81,2.81,2.37,2.52,346700,2.52
2013-11-26,2.27,2.42,2.23,2.41,486600,2.41
2013-11-25,2.23,2.27,2.17,2.25,204900,2.25
2013-11-22,2.13,2.26,2.11,2.24,358000,2.24
2013-11-21,2.05,2.13,2.05,2.13,229900,2.13
2013-11-20,2.00,2.07,1.95,2.05,366500,2.05
2013-11-19,2.00,2.10,1.95,2.00,446100,2.00
2013-11-18,2.09,2.09,2.01,2.03,206800,2.03
2013-11-15,2.05,2.10,2.05,2.08,167800,2.08
2013-11-14,2.06,2.12,2.05,2.06,70700,2.06
2013-11-13,2.05,2.11,2.04,2.08,224600,2.08
2013-11-12,2.01,2.10,1.99,2.07,332500,2.07
2013-11-11,2.07,2.10,2.01,2.03,101700,2.03
2013-11-08,2.05,2.08,2.04,2.08,208500,2.08
2013-11-07,2.07,2.17,2.04,2.06,126400,2.06
2013-11-06,2.05,2.13,2.01,2.05,232700,2.05
2013-11-05,2.09,2.16,2.02,2.04,178000,2.04
2013-11-04,1.98,2.10,1.98,2.10,327500,2.10
2013-11-01,1.99,2.08,1.93,1.97,707600,1.97
2013-10-31,2.09,2.09,1.94,2.06,557800,2.06
2013-10-30,2.17,2.19,2.09,2.11,272400,2.11
2013-10-29,2.16,2.22,2.15,2.16,542600,2.16
2013-10-28,2.17,2.25,2.14,2.18,259200,2.18
2013-10-25,2.21,2.21,2.13,2.18,235400,2.18
2013-10-24,2.13,2.21,2.11,2.20,413400,2.20
2013-10-23,2.13,2.14,2.11,2.13,242600,2.13
2013-10-22,2.16,2.18,2.13,2.14,281500,2.14
2013-10-21,2.17,2.21,2.09,2.16,527400,2.16
2013-10-18,2.21,2.21,2.13,2.19,282900,2.19
2013-10-17,2.12,2.18,2.12,2.17,243400,2.17
2013-10-16,2.18,2.18,2.13,2.13,224700,2.13
2013-10-15,2.14,2.18,2.09,2.15,236200,2.15
