Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.81,25.81,25.73,25.76,7700,25.76
2014-02-21,25.60,25.60,25.60,25.60,300,25.60
2014-02-20,25.42,25.42,25.42,25.42,000,25.42
2014-02-19,25.42,25.42,25.42,25.42,000,25.42
2014-02-18,25.42,25.42,25.42,25.42,900,25.42
2014-02-14,25.42,25.42,25.42,25.42,000,25.42
2014-02-13,25.37,25.43,25.35,25.42,3400,25.42
2014-02-12,25.40,25.44,25.40,25.44,400,25.44
2014-02-11,24.94,24.94,24.94,24.94,000,24.94
2014-02-10,24.94,24.94,24.94,24.94,000,24.94
2014-02-07,24.94,24.94,24.94,24.94,300,24.94
2014-02-06,24.70,24.70,24.70,24.70,300,24.70
2014-02-05,23.89,23.89,23.89,23.89,000,23.89
2014-02-04,23.89,23.89,23.89,23.89,000,23.89
2014-02-03,23.91,23.91,23.89,23.89,600,23.89
2014-01-31,24.80,24.80,24.80,24.80,000,24.80
2014-01-30,24.80,24.80,24.80,24.80,000,24.80
2014-01-29,24.80,24.80,24.80,24.80,000,24.80
2014-01-28,24.80,24.80,24.80,24.80,000,24.80
2014-01-27,24.85,24.97,24.80,24.80,900,24.80
2014-01-24,25.26,25.26,25.26,25.26,100,25.26
2014-01-23,25.80,25.80,25.80,25.80,000,25.80
2014-01-22,25.80,25.80,25.80,25.80,000,25.80
2014-01-21,25.80,25.80,25.80,25.80,000,25.80
2014-01-17,25.81,25.81,25.80,25.80,2300,25.80
2014-01-16,25.82,25.82,25.82,25.82,300,25.82
2014-01-15,26.27,26.27,26.27,26.27,200,26.27
2014-01-14,26.35,26.35,26.35,26.35,000,26.35
2014-01-13,26.35,26.35,26.35,26.35,100,26.35
2014-01-10,25.64,25.64,25.64,25.64,000,25.64
2014-01-09,25.91,25.91,25.64,25.64,900,25.64
2014-01-08,25.73,25.76,25.73,25.76,600,25.76
2014-01-07,25.94,25.94,25.69,25.72,700,25.72
2014-01-06,25.72,25.72,25.72,25.72,800,25.72
2014-01-03,26.02,26.02,26.02,26.02,000,26.02
2014-01-02,26.02,26.02,26.02,26.02,000,26.02
2013-12-31,26.35,26.35,26.02,26.02,600,26.02
2013-12-30,26.20,26.20,26.20,26.20,300,26.20
2013-12-27,26.03,26.03,26.03,26.03,000,26.03
2013-12-26,25.98,26.03,25.98,26.03,500,26.03
2013-12-24,25.90,25.90,25.90,25.90,200,25.90
2013-12-23,25.73,25.73,25.73,25.73,000,25.73
2013-12-20,25.24,25.73,25.24,25.73,600,25.73
2013-12-19,25.24,25.24,25.24,25.24,000,25.24
2013-12-18,25.24,25.24,25.24,25.24,300,25.24
2013-12-17,25.30,25.30,25.30,25.30,000,25.05
2013-12-16,25.30,25.30,25.30,25.30,000,25.05
2013-12-13,25.02,25.30,25.02,25.30,700,25.05
2013-12-12,25.07,25.31,25.07,25.31,600,25.06
2013-12-11,25.65,25.65,25.65,25.65,000,25.39
2013-12-10,25.65,25.65,25.65,25.65,000,25.39
2013-12-09,25.65,25.65,25.65,25.65,1700,25.39
2013-12-06,25.48,25.90,25.44,25.90,1100,25.64
2013-12-05,25.97,25.97,25.97,25.97,000,25.71
2013-12-04,25.97,25.97,25.97,25.97,000,25.71
2013-12-03,25.97,25.97,25.97,25.97,000,25.71
2013-12-02,25.97,25.97,25.97,25.97,000,25.71
2013-11-29,25.97,25.97,25.97,25.97,000,25.71
2013-11-27,25.97,25.97,25.97,25.97,400,25.71
2013-11-26,26.20,26.20,26.20,26.20,000,25.94
2013-11-25,26.27,26.27,26.20,26.20,600,25.94
2013-11-22,26.15,26.16,26.08,26.08,500,25.82
2013-11-21,25.98,25.98,25.98,25.98,1200,25.72
2013-11-20,26.38,26.38,26.38,26.38,000,26.12
2013-11-19,26.36,26.38,26.36,26.38,300,26.12
2013-11-18,26.29,26.63,26.29,26.63,5400,26.36
2013-11-15,26.11,26.11,26.11,26.11,400,25.85
2013-11-14,25.65,25.65,25.65,25.65,000,25.39
2013-11-13,25.78,25.78,25.65,25.65,600,25.39
2013-11-12,25.78,25.78,25.78,25.78,000,25.52
2013-11-11,25.78,25.78,25.78,25.78,1800,25.52
2013-11-08,25.87,26.01,25.87,26.01,19200,25.75
2013-11-07,25.98,25.98,25.96,25.96,400,25.70
2013-11-06,26.35,26.35,26.35,26.35,000,26.09
2013-11-05,26.35,26.35,26.35,26.35,000,26.09
2013-11-04,26.35,26.35,26.35,26.35,000,26.09
2013-11-01,26.35,26.35,26.35,26.35,300,26.09
2013-10-31,26.57,26.57,26.39,26.54,3000,26.28
2013-10-30,26.63,26.63,26.63,26.63,1100,26.36
2013-10-29,26.69,26.69,26.69,26.69,200,26.42
2013-10-28,26.61,26.61,26.61,26.61,000,26.34
