Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.50,25.50,25.50,25.50,100,25.50
2014-02-21,25.59,25.60,25.52,25.60,4500,25.60
2014-02-20,25.50,25.60,25.50,25.60,1300,25.60
2014-02-19,25.51,25.60,25.50,25.50,5700,25.50
2014-02-18,25.50,25.50,25.48,25.48,1700,25.48
2014-02-14,25.60,25.60,25.60,25.60,400,25.60
2014-02-13,25.50,25.58,25.45,25.58,2000,25.58
2014-02-12,25.60,25.60,25.45,25.55,1800,25.55
2014-02-11,25.50,25.50,25.43,25.45,5900,25.45
2014-02-10,25.51,25.60,25.45,25.60,1500,25.60
2014-02-07,25.59,25.59,25.55,25.55,1000,25.55
2014-02-06,25.60,25.60,25.40,25.50,13300,25.50
2014-02-05,25.60,25.74,25.50,25.74,2500,25.74
2014-02-04,25.60,25.60,25.50,25.50,1800,25.50
2014-02-03,25.70,25.70,25.60,25.60,3600,25.60
2014-01-31,25.66,25.66,25.66,25.66,1100,25.66
2014-01-30,25.75,25.85,25.70,25.70,3700,25.70
2014-01-29,25.68,25.91,25.68,25.91,3900,25.91
2014-01-28,25.63,25.68,25.63,25.68,1100,25.68
2014-01-27,25.72,25.72,25.72,25.72,400,25.72
2014-01-24,25.43,25.80,25.43,25.75,11300,25.75
2014-01-23,25.43,25.67,25.43,25.67,1800,25.67
2014-01-22,25.45,25.63,25.45,25.60,2100,25.60
2014-01-21,25.50,25.61,25.50,25.61,700,25.61
2014-01-17,25.52,25.52,25.40,25.40,9200,25.40
2014-01-16,25.80,25.80,25.40,25.40,3800,25.40
2014-01-15,25.75,25.75,25.50,25.60,2900,25.60
2014-01-14,25.74,25.75,25.58,25.70,1600,25.70
2014-01-13,25.53,25.53,25.53,25.53,700,25.53
2014-01-10,25.75,25.75,25.58,25.58,1500,25.58
2014-01-09,25.35,25.65,25.35,25.65,5900,25.65
2014-01-08,25.35,25.45,25.35,25.36,8200,25.36
2014-01-07,25.30,25.30,25.30,25.30,100,25.30
2014-01-06,25.26,25.30,25.15,25.16,2600,25.16
2014-01-03,25.15,25.30,25.06,25.12,5200,25.12
2014-01-02,25.30,25.30,25.11,25.11,3200,25.11
2013-12-31,25.30,25.30,25.23,25.24,1700,25.24
2013-12-30,25.35,25.45,25.30,25.40,4800,25.40
2013-12-27,25.37,25.65,25.37,25.65,7400,25.65
2013-12-26,25.64,25.65,25.64,25.65,2700,25.18
2013-12-24,25.65,25.65,25.65,25.65,000,25.18
2013-12-23,25.60,25.65,25.38,25.65,1100,25.18
2013-12-20,25.43,25.60,25.30,25.60,17500,25.13
2013-12-19,25.45,25.53,25.40,25.53,3300,25.06
2013-12-18,25.50,25.54,25.45,25.54,5000,25.07
2013-12-17,25.55,25.55,25.37,25.55,5700,25.08
2013-12-16,25.45,25.54,25.45,25.54,7200,25.07
2013-12-13,25.45,25.48,25.20,25.48,12000,25.01
2013-12-12,25.45,25.50,25.45,25.45,5200,24.98
2013-12-11,25.49,25.50,25.45,25.49,15000,25.02
2013-12-10,25.49,25.50,25.45,25.50,3800,25.03
