Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.95,26.03,25.85,25.90,2000,25.90
2014-02-21,26.05,26.05,25.83,25.83,300,25.83
2014-02-20,25.80,25.91,25.80,25.91,1100,25.91
2014-02-19,26.05,26.05,26.05,26.05,000,26.05
2014-02-18,26.12,26.12,26.00,26.05,900,26.05
2014-02-14,25.76,25.76,25.76,25.76,700,25.76
2014-02-13,25.65,25.79,25.65,25.79,2800,25.79
2014-02-12,25.74,25.74,25.70,25.70,1400,25.70
2014-02-11,25.63,25.73,25.62,25.73,1900,25.73
2014-02-10,25.75,25.75,25.62,25.62,1500,25.62
2014-02-07,25.75,25.76,25.58,25.63,3600,25.63
2014-02-06,25.70,25.76,25.58,25.76,1300,25.76
2014-02-05,25.56,25.56,25.56,25.56,400,25.56
2014-02-04,25.62,25.75,25.62,25.75,2100,25.75
2014-02-03,25.73,25.75,25.62,25.62,600,25.62
2014-01-31,25.75,25.75,25.55,25.55,1500,25.55
2014-01-30,25.52,25.64,25.52,25.59,3000,25.59
2014-01-29,25.64,25.64,25.52,25.52,1000,25.52
2014-01-28,25.54,25.57,25.54,25.57,600,25.57
2014-01-27,25.60,25.65,25.51,25.63,3000,25.63
2014-01-24,25.61,25.75,25.61,25.75,900,25.75
2014-01-23,25.56,25.67,25.56,25.67,4800,25.67
2014-01-22,25.70,25.70,25.55,25.55,1900,25.55
2014-01-21,25.50,25.71,25.50,25.71,600,25.71
2014-01-17,25.68,25.68,25.68,25.68,1000,25.68
2014-01-16,25.68,25.68,25.51,25.51,1900,25.51
2014-01-15,25.65,25.65,25.54,25.56,900,25.56
2014-01-14,25.74,25.74,25.52,25.52,1100,25.52
2014-01-13,25.75,25.75,25.50,25.50,2700,25.50
2014-01-10,25.52,25.75,25.41,25.75,3000,25.75
2014-01-09,25.60,25.60,25.38,25.42,1700,25.42
2014-01-08,25.75,25.75,25.75,25.75,400,25.75
2014-01-07,25.51,25.51,25.18,25.35,8800,25.35
2014-01-06,25.56,25.57,25.56,25.57,1000,25.57
2014-01-03,25.86,25.86,25.51,25.51,1500,25.51
2014-01-02,25.60,25.88,25.45,25.45,1600,25.45
2013-12-31,25.50,25.50,25.41,25.50,4400,25.50
2013-12-30,25.50,25.60,25.50,25.60,800,25.60
2013-12-27,25.51,25.85,25.51,25.85,1200,25.85
2013-12-26,25.63,25.71,25.41,25.50,5600,25.50
2013-12-24,25.55,25.64,25.50,25.50,1700,25.50
2013-12-23,25.70,25.70,25.70,25.70,000,25.70
2013-12-20,25.70,25.70,25.70,25.70,000,25.70
2013-12-19,25.41,25.77,25.41,25.70,3800,25.70
2013-12-18,25.40,25.72,25.40,25.72,1500,25.72
2013-12-17,26.00,26.00,25.25,25.89,8300,25.89
2013-12-16,26.00,26.00,25.81,25.90,2200,25.90
2013-12-13,26.00,26.00,25.98,25.98,2900,25.98
2013-12-12,26.00,26.00,25.80,25.80,2300,25.80
2013-12-11,26.00,26.00,25.84,25.84,1200,25.84
2013-12-10,26.00,26.00,26.00,26.00,600,26.00
2013-12-09,26.03,26.03,25.81,25.81,1400,25.81
2013-12-06,25.96,25.96,25.96,25.96,1500,25.96
2013-12-05,25.85,25.90,25.85,25.90,500,25.90
2013-12-04,25.81,25.81,25.81,25.81,500,25.81
2013-12-03,25.83,25.97,25.80,25.80,2900,25.80
2013-12-02,25.83,26.00,25.83,25.83,4600,25.83
2013-11-29,25.98,25.98,25.84,25.85,2300,25.85
2013-11-27,25.90,26.00,25.90,26.00,2200,26.00
2013-11-26,25.98,26.12,25.98,26.12,5000,25.62
2013-11-25,25.88,25.88,25.85,25.86,1900,25.36
2013-11-22,25.85,26.03,25.85,26.03,1300,25.53
2013-11-21,26.02,26.03,26.00,26.03,1100,25.53
2013-11-20,26.06,26.18,25.85,25.85,5500,25.36
2013-11-19,26.05,26.05,26.05,26.05,1800,25.55
2013-11-18,26.00,26.19,25.94,25.97,8200,25.47
2013-11-15,25.83,25.93,25.83,25.93,1900,25.43
2013-11-14,26.15,26.15,25.93,25.93,1000,25.43
2013-11-13,25.92,26.20,25.92,25.92,4600,25.42
2013-11-12,26.24,26.24,25.90,25.90,4300,25.40
2013-11-11,25.91,26.28,25.90,26.26,6600,25.76
2013-11-08,26.12,26.28,25.91,25.91,2500,25.41
2013-11-07,26.01,26.25,26.01,26.10,1000,25.60
2013-11-06,26.29,26.29,25.95,25.99,2200,25.49
2013-11-05,26.34,26.34,26.29,26.29,3300,25.79
2013-11-04,25.91,26.37,25.90,26.13,13800,25.63
2013-11-01,26.00,26.00,25.90,26.00,3900,25.50
2013-10-31,26.00,26.00,26.00,26.00,400,25.50
2013-10-30,26.00,26.00,25.89,26.00,2600,25.50
2013-10-29,26.10,26.10,25.93,25.93,4000,25.43
