Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,53.75,54.95,53.59,53.83,31400,53.83
2014-02-21,53.45,54.07,53.40,53.93,17400,53.93
2014-02-20,52.87,53.35,52.14,53.24,62000,53.24
2014-02-19,53.80,54.00,52.80,52.92,21700,52.92
2014-02-18,54.00,54.44,53.50,54.19,23800,54.19
2014-02-14,53.39,53.88,52.89,53.77,11000,53.77
2014-02-13,52.77,53.40,52.06,53.40,11100,53.40
2014-02-12,52.53,53.60,52.43,52.85,35700,52.85
2014-02-11,51.42,52.76,51.32,52.70,41000,52.70
2014-02-10,51.97,51.97,50.62,51.42,24100,51.42
2014-02-07,51.42,52.00,51.15,51.89,46200,51.89
2014-02-06,52.25,52.48,51.25,52.00,36900,52.00
2014-02-05,52.05,53.90,51.30,51.94,19800,51.94
2014-02-04,52.16,53.68,51.90,52.41,50200,52.41
2014-02-03,54.27,54.27,51.46,51.82,33600,51.82
2014-01-31,54.39,55.19,53.92,54.03,31100,54.03
2014-01-30,54.04,56.40,53.52,55.32,28900,55.32
2014-01-29,54.38,54.78,53.52,53.70,17300,53.70
2014-01-28,54.07,54.57,53.92,54.42,21200,54.42
2014-01-27,54.85,54.97,54.13,54.50,15500,54.50
2014-01-24,55.67,55.67,54.50,54.77,10700,54.77
2014-01-23,56.32,56.32,55.56,55.76,15600,55.76
2014-01-22,57.18,57.18,56.80,56.80,8100,56.80
2014-01-21,56.00,57.27,55.81,57.26,18400,57.26
2014-01-17,55.18,55.73,54.72,55.67,30600,55.67
2014-01-16,54.93,55.59,54.71,55.01,29700,55.01
2014-01-15,54.50,55.18,53.75,54.78,11800,54.78
2014-01-14,54.21,55.36,53.94,54.06,11200,54.06
2014-01-13,54.50,54.50,53.40,54.19,14700,54.19
2014-01-10,55.52,55.75,54.12,54.54,26200,54.54
2014-01-09,55.21,56.74,54.00,55.20,15300,55.20
2014-01-08,55.46,56.26,54.61,55.11,9100,55.11
2014-01-07,55.53,56.75,54.87,55.70,15800,55.70
