Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.00,25.00,24.50,24.50,14300,24.50
2014-02-21,24.65,24.90,24.50,24.70,5200,24.70
2014-02-20,24.60,24.94,24.60,24.65,30600,24.65
2014-02-19,24.85,25.00,24.51,24.65,10200,24.65
2014-02-18,25.00,25.00,24.87,24.89,20300,24.89
2014-02-14,25.00,25.00,24.98,25.00,3900,25.00
2014-02-13,24.86,25.00,24.52,24.99,13000,24.99
2014-02-12,25.10,25.10,24.54,24.94,11500,24.94
2014-02-11,24.73,24.94,24.73,24.94,6100,24.94
2014-02-10,24.85,24.97,24.65,24.69,21100,24.69
2014-02-07,25.00,25.10,24.76,25.09,18300,25.09
2014-02-06,24.96,24.96,24.55,24.69,29700,24.69
2014-02-05,24.79,24.91,24.65,24.85,28600,24.85
2014-02-04,24.89,24.94,24.70,24.81,24100,24.81
2014-02-03,25.00,25.00,24.46,24.93,32000,24.93
2014-01-31,24.91,25.10,24.80,25.09,30600,25.09
2014-01-30,25.00,25.15,24.81,25.14,26000,25.14
2014-01-29,24.77,25.10,24.77,25.00,12500,25.00
2014-01-28,25.15,25.15,24.80,25.00,23900,25.00
2014-01-27,27.67,27.67,24.81,24.81,7100,24.81
2014-01-24,24.90,25.09,24.80,24.90,16100,24.90
2014-01-23,25.00,25.00,24.81,25.00,75300,25.00
2014-01-22,25.44,25.44,24.90,25.18,17300,25.18
2014-01-21,24.95,25.44,24.80,25.10,11100,25.10
2014-01-17,25.03,25.25,24.95,24.95,6900,24.95
2014-01-16,25.00,25.28,24.85,24.91,40400,24.91
2014-01-15,24.70,24.90,24.70,24.85,34800,24.85
2014-01-14,24.75,24.97,24.70,24.85,34600,24.85
2014-01-13,24.71,24.80,24.65,24.65,14000,24.65
2014-01-10,24.85,24.89,24.65,24.72,20100,24.72
2014-01-09,25.00,25.00,24.60,24.65,22400,24.65
2014-01-08,24.99,25.00,24.55,24.60,7900,24.60
2014-01-07,24.40,24.85,24.40,24.80,50700,24.80
2014-01-06,24.62,24.95,24.30,24.78,20500,24.78
2014-01-03,24.80,24.81,24.75,24.75,1600,24.75
2014-01-02,24.75,25.03,24.59,24.69,12600,24.69
2013-12-31,25.57,25.57,24.51,24.56,19800,24.56
2013-12-30,24.95,25.00,24.41,24.71,37600,24.71
2013-12-27,24.90,25.07,24.51,24.85,22800,24.85
2013-12-26,24.53,25.00,24.53,24.90,16700,24.90
2013-12-24,24.60,25.00,24.29,24.90,7400,24.90
2013-12-23,24.29,25.00,24.29,24.62,14400,24.62
2013-12-20,25.10,25.10,24.25,24.50,20800,24.50
2013-12-19,25.20,25.40,24.90,24.90,11700,24.90
2013-12-18,25.00,25.60,24.65,25.02,22900,24.74
2013-12-17,24.66,25.00,24.66,24.90,30200,24.62
2013-12-16,25.08,25.10,24.85,24.85,11900,24.57
2013-12-13,25.10,25.10,24.26,24.70,12100,24.42
2013-12-12,24.90,25.10,24.26,25.00,55000,24.72
2013-12-11,25.15,25.21,24.90,24.90,18400,24.62
2013-12-10,25.21,25.21,25.01,25.09,8400,24.81
2013-12-09,25.21,25.21,25.00,25.20,20900,24.92
2013-12-06,25.16,25.40,25.10,25.21,11300,24.93
2013-12-05,25.10,25.50,25.10,25.39,27400,25.11
2013-12-04,25.24,25.35,25.06,25.35,6700,25.07
2013-12-03,25.35,25.44,25.05,25.34,9400,25.06
2013-12-02,25.24,25.44,25.03,25.44,17100,25.16
2013-11-29,24.91,25.09,24.91,25.09,800,24.81
2013-11-27,25.10,25.10,24.98,25.00,10200,24.72
2013-11-26,25.25,25.25,24.01,25.05,30200,24.77
2013-11-25,25.15,25.39,25.12,25.20,10600,24.92
2013-11-22,25.95,25.95,25.30,25.30,10300,25.02
2013-11-21,25.35,25.80,25.30,25.68,6800,25.39
2013-11-20,25.98,25.98,25.51,25.80,3000,25.51
2013-11-19,25.98,25.98,25.13,25.70,16600,25.41
2013-11-18,25.72,28.60,25.05,25.39,223700,25.11
2013-11-15,25.45,25.75,25.25,25.30,27300,25.02
2013-11-14,25.49,25.50,25.35,25.45,25400,25.17
2013-11-13,25.11,25.49,25.11,25.21,6300,24.93
2013-11-12,25.25,25.50,25.01,25.01,40700,24.73
2013-11-11,25.04,27.45,25.04,25.25,13800,24.97
2013-11-08,25.00,25.05,24.95,24.99,61200,24.71
2013-11-07,25.05,25.24,24.90,25.00,340300,24.72
