Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,26.73,27.03,26.46,26.73,31400,26.73
2014-02-21,28.43,28.51,26.49,26.60,95000,26.60
2014-02-20,27.23,28.46,26.74,28.28,32800,28.28
2014-02-19,27.18,27.45,26.90,27.11,32000,27.11
2014-02-18,27.30,27.46,27.18,27.35,44100,27.35
2014-02-14,27.44,27.49,26.96,27.16,28600,27.16
2014-02-13,26.09,27.68,26.09,27.43,31000,27.43
2014-02-12,26.45,26.67,26.17,26.44,25500,26.44
2014-02-11,25.93,26.72,25.82,26.34,42600,26.34
2014-02-10,26.30,26.30,25.63,26.12,30000,26.12
2014-02-07,25.60,26.45,25.21,26.38,38000,26.38
2014-02-06,25.62,26.12,25.43,25.46,60900,25.46
2014-02-05,25.63,25.70,24.58,25.46,72400,25.46
2014-02-04,26.26,26.31,25.68,25.86,50600,25.86
2014-02-03,27.37,30.12,25.91,26.20,74200,26.20
2014-01-31,28.24,28.78,26.95,27.41,118600,27.41
2014-01-30,29.40,29.40,27.44,28.90,79100,28.90
2014-01-29,30.25,30.52,28.52,29.00,82100,29.00
2014-01-28,28.56,28.56,28.00,28.37,57700,28.37
2014-01-27,28.70,29.25,27.84,28.41,39800,28.41
2014-01-24,29.50,30.18,28.18,28.45,40100,28.45
2014-01-23,29.66,30.10,29.49,29.79,40500,29.79
2014-01-22,30.07,30.07,29.71,29.84,36400,29.84
2014-01-21,29.87,30.09,29.44,29.95,28600,29.95
2014-01-17,29.87,30.02,29.36,29.54,34100,29.54
2014-01-16,29.68,30.14,29.65,29.83,24400,29.83
2014-01-15,29.70,30.12,29.58,29.71,32200,29.71
2014-01-14,29.37,30.25,29.10,29.61,47100,29.61
2014-01-13,29.87,30.41,28.68,29.16,83600,29.16
2014-01-10,29.80,29.98,29.58,29.97,25100,29.97
2014-01-09,29.88,29.88,29.33,29.81,27300,29.81
2014-01-08,29.32,29.83,29.10,29.72,60800,29.72
2014-01-07,29.50,29.91,29.04,29.33,25600,29.33
2014-01-06,29.50,29.69,29.13,29.36,28500,29.36
2014-01-03,29.04,29.84,29.04,29.41,29300,29.41
2014-01-02,29.42,29.59,28.14,28.94,47700,28.94
2013-12-31,29.22,29.99,29.22,29.80,38000,29.80
2013-12-30,29.71,29.75,28.81,29.14,29800,29.14
2013-12-27,29.68,29.98,29.28,29.51,27900,29.51
2013-12-26,29.68,29.92,29.05,29.56,25800,29.56
2013-12-24,29.32,29.79,29.19,29.44,15600,29.44
2013-12-23,29.08,29.91,28.87,29.28,58800,29.19
2013-12-20,27.14,29.26,27.14,29.09,276600,29.00
2013-12-19,27.43,27.43,26.78,27.34,42700,27.26
2013-12-18,27.60,27.62,26.24,27.48,38100,27.40
2013-12-17,26.87,27.79,26.87,27.53,33300,27.45
2013-12-16,26.00,27.04,26.00,26.96,42400,26.88
2013-12-13,25.92,26.22,25.42,25.85,34400,25.77
