Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,14.02,14.11,13.63,13.98,65900,13.98
2014-02-21,14.02,14.38,13.86,13.93,59100,13.93
2014-02-20,14.05,14.35,13.79,14.09,87600,14.09
2014-02-19,14.19,14.24,13.71,13.87,62300,13.87
2014-02-18,14.13,14.75,13.88,14.39,240500,14.39
2014-02-14,14.62,14.75,13.52,13.62,81500,13.62
2014-02-13,13.97,14.50,13.54,14.45,44700,14.45
2014-02-12,14.12,14.12,13.70,13.91,93700,13.91
2014-02-11,13.82,14.12,13.48,14.02,126300,14.02
2014-02-10,12.50,14.58,12.50,13.73,234400,13.73
2014-02-07,12.06,12.90,12.00,12.58,80000,12.58
2014-02-06,12.20,12.46,11.90,12.06,31100,12.06
2014-02-05,12.30,12.93,11.77,12.22,103100,12.22
2014-02-04,11.90,12.80,11.50,12.56,105900,12.56
2014-02-03,12.69,12.91,11.34,11.66,133300,11.66
2014-01-31,12.73,13.17,12.52,12.65,49300,12.65
2014-01-30,12.96,13.45,12.71,13.05,66600,13.05
2014-01-29,12.76,13.25,12.42,12.92,115800,12.92
2014-01-28,12.79,13.85,12.62,12.73,177700,12.73
2014-01-27,13.77,13.80,12.92,13.04,132400,13.04
2014-01-24,13.93,13.93,12.85,13.83,85100,13.83
2014-01-23,13.62,14.14,13.43,13.93,37800,13.93
2014-01-22,14.28,14.55,13.26,13.60,99900,13.60
2014-01-21,13.60,14.43,13.32,14.20,167500,14.20
2014-01-17,12.90,14.14,12.68,13.40,212600,13.40
2014-01-16,11.30,13.00,11.13,12.90,284400,12.90
2014-01-15,10.75,11.50,10.68,11.26,161200,11.26
2014-01-14,11.08,11.29,10.82,10.93,163300,10.93
2014-01-13,11.50,11.66,11.00,11.08,185000,11.08
2014-01-10,12.48,12.48,11.17,11.50,373500,11.50
2014-01-09,12.97,13.37,12.48,12.52,170600,12.52
2014-01-08,14.00,14.06,12.62,13.35,199400,13.35
2014-01-07,13.88,14.31,13.50,14.23,114700,14.23
2014-01-06,14.32,14.65,13.48,14.08,112200,14.08
2014-01-03,14.93,15.00,14.13,14.46,57400,14.46
2014-01-02,15.10,15.21,14.76,14.99,60100,14.99
2013-12-31,15.08,15.25,14.75,15.09,46300,15.09
2013-12-30,14.87,15.07,14.75,14.96,48300,14.96
2013-12-27,15.49,15.49,14.41,14.83,48200,14.83
2013-12-26,13.75,15.50,13.75,15.40,101800,15.40
2013-12-24,14.81,15.35,13.58,13.75,157200,13.75
2013-12-23,15.09,15.77,14.75,14.88,115100,14.88
2013-12-20,15.16,15.35,14.50,15.27,797000,15.27
2013-12-19,15.33,15.48,14.85,15.10,82200,15.10
2013-12-18,14.62,15.58,14.07,15.09,169000,15.09
2013-12-17,13.90,14.84,13.45,14.38,232900,14.38
2013-12-16,13.05,13.66,12.94,13.47,307300,13.47
2013-12-13,11.77,13.15,11.35,12.90,85300,12.90
2013-12-12,12.45,12.80,11.25,11.77,109200,11.77
2013-12-11,12.73,13.33,12.51,12.70,72000,12.70
2013-12-10,12.40,12.97,12.00,12.88,118800,12.88
2013-12-09,11.50,12.75,11.50,12.34,226100,12.34
2013-12-06,11.34,11.72,10.82,11.37,74600,11.37
2013-12-05,11.16,11.47,10.74,11.28,141200,11.28
2013-12-04,9.50,11.22,9.31,10.92,306500,10.92
2013-12-03,9.56,9.75,9.00,9.53,228700,9.53
2013-12-02,9.48,9.86,9.25,9.33,129300,9.33
2013-11-29,9.78,9.78,9.15,9.20,54700,9.20
2013-11-27,9.07,9.69,8.98,9.35,240400,9.35
2013-11-26,9.06,9.10,8.90,8.97,156600,8.97
2013-11-25,9.34,9.35,8.90,9.02,196700,9.02
2013-11-22,9.02,9.40,8.73,9.00,253800,9.00
2013-11-21,8.87,8.87,8.41,8.49,92100,8.49
2013-11-20,9.19,9.19,8.36,8.64,178700,8.64
2013-11-19,8.91,8.98,8.60,8.80,95700,8.80
2013-11-18,8.80,9.10,8.66,8.94,128500,8.94
2013-11-15,9.11,9.11,8.50,8.70,176700,8.70
2013-11-14,9.12,9.88,9.11,9.18,87300,9.18
2013-11-13,9.46,9.88,9.30,9.42,98200,9.42
2013-11-12,9.51,9.75,9.22,9.50,96800,9.50
2013-11-11,10.02,10.20,9.35,9.71,108600,9.71
2013-11-08,11.61,11.61,10.11,10.23,79500,10.23
2013-11-07,12.16,12.16,11.15,11.16,25500,11.16
2013-11-06,12.80,13.43,11.01,11.85,42000,11.85
2013-11-05,12.94,13.51,12.50,12.50,18500,12.50
2013-11-04,12.74,13.59,12.50,13.00,13900,13.00
2013-11-01,13.40,13.45,12.12,12.66,46900,12.66
2013-10-31,13.30,14.00,12.83,13.09,81400,13.09
2013-10-30,14.00,14.25,13.25,13.32,62100,13.32
2013-10-29,14.53,14.59,12.79,14.20,77300,14.20
2013-10-28,15.04,15.04,14.40,14.54,59800,14.54
2013-10-25,14.88,15.13,14.70,14.90,29000,14.90
2013-10-24,15.00,15.13,14.90,14.90,40200,14.90
2013-10-23,14.77,15.04,14.77,15.00,26300,15.00
2013-10-22,14.75,15.13,14.75,15.00,7600,15.00
2013-10-21,15.15,15.45,14.90,15.06,14100,15.06
2013-10-18,15.34,15.34,15.00,15.00,58800,15.00
2013-10-17,14.50,15.20,14.50,15.00,288600,15.00
2013-10-16,15.20,15.20,14.40,14.55,152400,14.55
2013-10-15,15.78,15.89,14.76,15.10,285300,15.10
2013-10-14,15.49,15.49,14.68,15.27,48100,15.27
2013-10-11,15.10,15.38,14.62,15.31,95800,15.31
2013-10-10,14.95,15.00,14.65,14.89,41300,14.89
2013-10-09,14.98,14.98,14.14,14.50,52300,14.50
2013-10-08,14.94,15.17,14.51,14.65,33400,14.65
2013-10-07,15.15,15.15,14.81,15.09,18700,15.09
2013-10-04,15.05,15.19,14.80,15.04,75600,15.04
2013-10-03,14.90,15.10,14.53,14.90,93800,14.90
2013-10-02,14.38,14.80,14.36,14.74,97300,14.74
2013-10-01,14.45,14.99,14.10,14.67,114400,14.67
2013-09-30,14.85,14.96,14.00,14.12,175300,14.12
2013-09-27,14.65,15.00,14.26,14.65,180200,14.65
2013-09-26,14.48,15.10,14.26,14.75,141600,14.75
2013-09-25,14.55,14.94,14.30,14.50,101400,14.50
2013-09-24,14.50,14.60,14.10,14.37,65800,14.37
2013-09-23,14.75,14.75,14.01,14.30,259800,14.30
2013-09-20,15.00,15.00,13.99,14.09,2731300,14.09
