Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,3.07,3.45,3.07,3.36,1116000,3.36
2014-02-21,3.16,3.33,3.04,3.05,885100,3.05
2014-02-20,3.03,3.34,3.01,3.18,2609000,3.18
2014-02-19,2.94,2.94,2.73,2.83,264500,2.83
2014-02-18,2.85,2.94,2.85,2.91,237200,2.91
2014-02-14,2.80,2.94,2.80,2.83,423300,2.83
2014-02-13,2.69,2.82,2.63,2.79,527100,2.79
2014-02-12,2.70,2.75,2.53,2.59,215100,2.59
2014-02-11,2.62,2.72,2.54,2.71,284500,2.71
2014-02-10,2.58,2.64,2.41,2.56,289300,2.56
2014-02-07,2.62,2.94,2.52,2.57,442100,2.57
2014-02-06,2.34,2.85,2.34,2.62,799600,2.62
2014-02-05,2.36,2.45,2.25,2.30,284800,2.30
2014-02-04,2.29,2.44,2.28,2.33,249500,2.33
2014-02-03,2.40,2.42,2.21,2.29,264200,2.29
2014-01-31,2.42,2.49,2.40,2.42,262400,2.42
2014-01-30,2.47,2.53,2.42,2.47,170600,2.47
2014-01-29,2.45,2.46,2.37,2.41,219800,2.41
2014-01-28,2.53,2.62,2.41,2.47,253400,2.47
2014-01-27,2.73,2.85,2.39,2.54,544000,2.54
2014-01-24,2.80,2.85,2.69,2.70,340800,2.70
2014-01-23,2.90,2.96,2.80,2.83,252900,2.83
2014-01-22,2.89,2.99,2.81,2.91,380900,2.91
2014-01-21,2.96,2.96,2.67,2.82,705000,2.82
2014-01-17,3.09,3.28,3.00,3.02,952400,3.02
2014-01-16,3.07,3.10,3.02,3.06,167200,3.06
2014-01-15,3.10,3.13,3.01,3.07,218900,3.07
2014-01-14,2.95,3.14,2.90,3.10,384600,3.10
2014-01-13,3.16,3.19,2.91,2.95,755000,2.95
2014-01-10,2.95,3.15,2.90,3.14,1342600,3.14
2014-01-09,2.81,2.92,2.75,2.88,347000,2.88
2014-01-08,2.85,2.89,2.76,2.79,243500,2.79
2014-01-07,3.00,3.00,2.76,2.86,401200,2.86
2014-01-06,2.70,2.95,2.65,2.95,790300,2.95
2014-01-03,2.72,2.79,2.63,2.67,703000,2.67
2014-01-02,2.94,2.94,2.70,2.72,584000,2.72
2013-12-31,3.04,3.05,2.72,2.83,1255700,2.83
2013-12-30,3.15,3.55,2.91,3.06,6688200,3.06
2013-12-27,2.16,2.64,2.16,2.60,1415700,2.60
2013-12-26,2.08,2.16,2.07,2.15,173000,2.15
2013-12-24,2.15,2.16,2.01,2.04,135200,2.04
2013-12-23,2.23,2.25,2.12,2.15,422600,2.15
2013-12-20,2.12,2.22,2.11,2.19,776900,2.19
2013-12-19,2.04,2.11,2.04,2.11,376200,2.11
2013-12-18,1.93,2.07,1.87,2.06,543900,2.06
2013-12-17,1.89,1.96,1.86,1.95,264400,1.95
2013-12-16,1.81,1.90,1.81,1.89,511000,1.89
2013-12-13,1.80,1.82,1.76,1.82,197800,1.82
2013-12-12,1.79,1.85,1.75,1.79,140100,1.79
2013-12-11,1.80,1.80,1.73,1.79,248400,1.78
2013-12-10,1.81,1.83,1.72,1.73,105900,1.72
2013-12-09,1.80,1.80,1.72,1.79,99800,1.78
2013-12-06,1.74,1.77,1.68,1.77,109800,1.76
2013-12-05,1.70,1.75,1.69,1.69,82200,1.68
2013-12-04,1.70,1.73,1.69,1.69,80200,1.68
2013-12-03,1.70,1.73,1.67,1.69,93800,1.68
2013-12-02,1.78,1.84,1.71,1.71,303600,1.70
2013-11-29,1.76,1.79,1.74,1.78,94200,1.77
2013-11-27,1.75,1.75,1.68,1.74,54500,1.73
2013-11-26,1.77,1.80,1.70,1.74,253000,1.73
