Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.25,15.47,15.22,15.31,5200,15.31
2014-02-21,15.03,15.04,15.03,15.03,400,15.03
2014-02-20,15.18,15.18,15.12,15.13,1500,15.13
2014-02-19,15.20,15.20,15.20,15.20,1200,15.20
2014-02-18,15.00,15.24,15.00,15.22,6600,15.22
2014-02-14,15.10,15.10,15.00,15.02,4000,15.02
2014-02-13,15.10,15.10,15.01,15.06,4300,15.06
2014-02-12,15.13,15.25,15.11,15.11,1400,15.11
2014-02-11,15.39,15.39,15.35,15.35,400,15.35
2014-02-10,15.59,15.59,15.34,15.34,200,15.34
2014-02-07,15.70,15.70,15.65,15.65,800,15.65
2014-02-06,15.64,15.64,15.64,15.64,300,15.64
2014-02-05,15.50,15.50,15.50,15.50,000,15.50
2014-02-04,15.23,15.57,15.23,15.50,1000,15.50
2014-02-03,15.10,15.60,15.10,15.60,1000,15.60
2014-01-31,15.70,15.70,14.64,15.56,4800,15.56
2014-01-30,15.00,15.70,15.00,15.70,1400,15.70
2014-01-29,14.63,14.97,14.63,14.97,4500,14.97
2014-01-28,15.06,15.06,14.91,14.91,300,14.91
2014-01-27,14.61,14.85,14.61,14.85,400,14.85
2014-01-24,15.00,15.25,15.00,15.07,2000,15.07
2014-01-23,15.20,15.20,15.10,15.10,2100,15.10
2014-01-22,15.28,15.38,14.63,15.10,49900,15.10
2014-01-21,15.50,15.50,15.50,15.50,000,15.50
2014-01-17,15.50,15.50,15.50,15.50,100,15.50
2014-01-16,15.69,15.69,15.31,15.31,1100,15.31
2014-01-15,15.33,15.48,15.33,15.48,800,15.48
2014-01-14,15.31,15.33,15.31,15.33,200,15.33
2014-01-13,15.63,15.65,15.63,15.65,1100,15.65
2014-01-10,15.65,15.65,15.65,15.65,000,15.65
2014-01-09,15.75,15.83,15.36,15.65,4600,15.65
2014-01-08,15.56,15.75,15.52,15.75,700,15.75
2014-01-07,15.85,15.85,15.52,15.52,700,15.52
2014-01-06,16.18,16.18,15.51,15.51,1600,15.51
2014-01-03,15.65,15.75,14.95,15.75,4800,15.75
2014-01-02,15.64,15.64,15.50,15.53,700,15.53
2013-12-31,15.90,15.90,15.90,15.90,500,15.90
2013-12-30,15.75,15.86,15.51,15.51,2400,15.51
2013-12-27,15.81,15.85,15.50,15.85,2600,15.85
2013-12-26,15.65,15.86,15.50,15.80,11300,15.80
2013-12-24,15.65,15.68,15.38,15.68,2800,15.55
2013-12-23,15.00,15.75,15.00,15.64,4500,15.51
2013-12-20,14.85,15.75,14.65,14.66,5400,14.54
2013-12-19,15.02,15.02,14.99,14.99,700,14.87
2013-12-18,15.30,15.30,14.95,15.00,18000,14.88
2013-12-17,15.31,15.31,15.31,15.31,500,15.18
2013-12-16,14.97,15.00,14.85,14.85,2500,14.73
2013-12-13,15.24,15.24,14.78,14.78,4000,14.66
2013-12-12,15.10,15.36,15.05,15.07,2100,14.95
2013-12-11,15.14,15.25,15.02,15.14,1500,15.01
2013-12-10,15.99,15.99,15.05,15.05,3600,14.93
2013-12-09,15.39,15.45,15.24,15.24,1500,15.11
2013-12-06,15.25,15.28,15.25,15.28,300,15.15
2013-12-05,15.27,15.27,15.25,15.25,1300,15.12
2013-12-04,15.26,15.26,15.25,15.25,600,15.12
2013-12-03,15.47,15.49,15.47,15.49,600,15.36
2013-12-02,15.51,15.53,15.50,15.50,3400,15.37
2013-11-29,15.61,15.61,15.61,15.61,600,15.48
2013-11-27,15.61,15.61,15.61,15.61,2000,15.48
2013-11-26,15.65,15.65,15.65,15.65,100,15.52
2013-11-25,15.67,16.00,15.61,15.61,4800,15.48
2013-11-22,15.50,16.00,15.50,16.00,800,15.87
2013-11-21,15.48,15.80,15.48,15.80,800,15.67
2013-11-20,15.39,15.39,15.39,15.39,000,15.26
2013-11-19,15.91,15.91,15.39,15.39,1400,15.26
2013-11-18,15.11,16.00,14.95,15.91,3500,15.78
2013-11-15,15.24,15.48,15.00,15.47,2100,15.34
2013-11-14,16.00,16.10,15.50,15.70,5600,15.57
2013-11-13,16.61,16.61,16.25,16.29,5700,16.15
2013-11-12,16.99,17.20,16.70,17.20,1100,17.06
2013-11-11,17.20,17.20,17.19,17.19,600,17.05
2013-11-08,17.09,17.09,17.09,17.09,100,16.95
2013-11-07,17.34,17.44,17.17,17.17,400,17.03
2013-11-06,17.20,17.22,17.10,17.19,5300,17.05
2013-11-05,16.80,16.99,16.80,16.99,600,16.85
2013-11-04,16.80,16.98,16.50,16.90,5000,16.76
2013-11-01,16.22,16.25,16.22,16.25,1100,16.12
2013-10-31,16.19,16.20,15.10,16.18,1700,16.05
2013-10-30,15.71,16.20,14.29,15.99,6900,15.86
2013-10-29,15.45,16.41,15.32,16.00,3600,15.87
2013-10-28,16.23,16.23,14.57,15.47,2200,15.34
2013-10-25,15.00,15.00,14.31,14.52,2400,14.40
2013-10-24,15.02,15.02,14.52,15.00,2400,14.88
2013-10-23,15.24,15.25,14.70,15.25,3300,15.12
