Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.66,24.72,23.60,24.25,138200,24.25
2014-02-21,23.49,23.93,22.85,23.54,149900,23.54
2014-02-20,22.24,23.72,21.65,23.43,134600,23.43
2014-02-19,22.60,22.75,22.00,22.05,121600,22.05
2014-02-18,22.01,22.70,21.68,22.59,138800,22.59
2014-02-14,21.88,22.12,21.50,21.69,91600,21.69
2014-02-13,22.20,22.68,21.52,21.98,159200,21.98
2014-02-12,22.68,22.78,21.83,22.42,147300,22.42
2014-02-11,22.04,22.85,21.75,22.58,194500,22.58
2014-02-10,20.36,22.48,20.01,22.06,247800,22.06
2014-02-07,20.13,20.99,19.70,20.13,642300,20.13
2014-02-06,19.79,20.51,19.64,20.03,130500,20.03
2014-02-05,20.84,20.84,19.34,19.59,172600,19.59
2014-02-04,20.67,21.03,20.28,20.79,155400,20.79
2014-02-03,22.11,22.45,20.32,20.67,405800,20.67
2014-01-31,22.19,22.52,21.63,22.17,288400,22.17
2014-01-30,21.44,22.88,21.27,22.32,162800,22.32
2014-01-29,21.61,21.61,20.79,20.99,98100,20.99
2014-01-28,20.88,22.43,20.84,21.73,166200,21.73
2014-01-27,21.97,23.00,19.65,20.74,279000,20.74
2014-01-24,23.11,23.58,21.60,21.65,191800,21.65
2014-01-23,25.02,25.02,22.79,23.21,260500,23.21
2014-01-22,24.07,25.41,23.78,25.03,170200,25.03
2014-01-21,23.75,24.45,23.29,24.02,488600,24.02
2014-01-17,24.26,24.40,23.25,23.70,168100,23.70
2014-01-16,22.65,24.62,22.62,23.99,567100,23.99
2014-01-15,22.05,22.83,21.91,22.55,608100,22.55
2014-01-14,21.82,22.46,21.64,22.05,712900,22.05
2014-01-13,21.77,21.93,21.52,21.65,200200,21.65
2014-01-10,22.10,23.30,21.52,21.79,339000,21.79
2014-01-09,21.50,23.40,21.35,22.03,527100,22.03
2014-01-08,21.47,21.63,21.24,21.43,126300,21.43
2014-01-07,21.39,21.55,21.01,21.47,215600,21.47
2014-01-06,21.45,21.49,21.05,21.32,77200,21.32
2014-01-03,20.89,21.33,20.84,21.29,63300,21.29
2014-01-02,20.96,21.46,20.22,20.87,186500,20.87
2013-12-31,20.82,21.07,20.80,20.98,71900,20.98
2013-12-30,21.01,21.04,20.29,20.80,137100,20.80
2013-12-27,21.57,21.57,21.01,21.18,57500,21.18
2013-12-26,21.31,21.56,21.04,21.42,79300,21.42
2013-12-24,20.71,21.38,20.71,20.98,57900,20.98
2013-12-23,20.90,20.90,20.13,20.88,142900,20.88
2013-12-20,20.65,20.79,19.79,20.73,641200,20.73
2013-12-19,20.38,20.95,19.46,20.51,154600,20.51
2013-12-18,19.44,20.59,19.27,20.47,181800,20.47
2013-12-17,19.55,19.71,18.37,19.48,330800,19.48
2013-12-16,20.00,21.41,19.68,20.15,296000,20.15
2013-12-13,21.09,21.25,20.27,20.27,105500,20.27
2013-12-12,21.79,21.79,20.22,21.02,90700,21.02
2013-12-11,22.45,23.00,21.63,21.63,129100,21.63
2013-12-10,21.77,22.65,21.76,22.40,123000,22.40
2013-12-09,21.65,21.75,21.50,21.72,183000,21.72
2013-12-06,21.66,22.50,21.09,21.66,86600,21.66
2013-12-05,22.10,22.50,21.00,21.12,243600,21.12
2013-12-04,22.26,22.84,21.49,22.14,196100,22.14
2013-12-03,20.62,22.43,20.56,22.26,153700,22.26
2013-12-02,20.44,20.83,19.72,20.70,94500,20.70
2013-11-29,20.20,20.66,19.88,20.42,20200,20.42
2013-11-27,19.48,20.35,19.16,20.01,86800,20.01
2013-11-26,18.26,19.66,18.26,19.37,174500,19.37
