Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,49.60,50.82,49.60,50.71,158000,50.71
2014-02-21,49.30,50.06,49.30,49.64,203200,49.64
2014-02-20,49.43,49.85,48.76,49.32,216500,49.32
2014-02-19,49.66,50.11,49.17,49.24,266000,49.24
2014-02-18,50.16,50.30,49.35,49.89,186400,49.89
2014-02-14,50.20,50.49,49.80,50.21,178000,50.21
2014-02-13,50.81,51.11,49.95,50.38,243600,50.38
2014-02-12,51.66,52.19,50.90,51.11,159800,51.11
2014-02-11,50.78,51.93,50.41,51.48,236100,51.48
2014-02-10,50.72,51.23,50.53,50.95,298200,50.95
2014-02-07,50.19,51.24,50.19,50.96,267700,50.96
2014-02-06,49.30,50.56,48.87,50.06,248900,50.06
2014-02-05,49.05,49.47,48.55,49.16,212100,49.16
2014-02-04,48.74,49.85,47.68,49.36,406300,49.36
2014-02-03,50.19,50.44,47.87,48.00,501000,48.00
2014-01-31,48.39,50.39,48.33,50.25,623500,50.25
2014-01-30,47.63,49.87,47.18,49.13,558900,49.13
2014-01-29,46.61,47.37,46.11,46.98,445700,46.98
2014-01-28,47.07,47.28,46.72,47.15,254600,47.15
2014-01-27,46.75,47.48,46.57,46.91,395300,46.91
2014-01-24,47.05,47.44,46.72,47.24,356500,47.24
2014-01-23,47.81,48.07,46.61,47.15,444700,47.15
2014-01-22,46.47,48.31,46.03,48.16,783200,48.16
2014-01-21,47.57,47.58,46.78,47.23,334600,47.23
2014-01-17,47.66,47.92,47.18,47.21,243400,47.21
2014-01-16,47.68,48.56,47.68,47.75,414900,47.75
2014-01-15,48.36,48.50,47.90,47.91,343500,47.91
2014-01-14,47.96,48.30,47.70,48.18,199300,48.18
2014-01-13,48.95,49.04,47.55,47.62,402900,47.62
2014-01-10,49.24,49.33,49.00,49.17,166600,49.17
2014-01-09,49.34,49.38,48.66,49.18,376300,49.18
2014-01-08,50.76,50.76,49.00,49.14,539500,49.14
2014-01-07,50.34,50.87,50.03,50.69,262000,50.69
2014-01-06,50.78,50.83,49.97,50.00,234200,50.00
2014-01-03,50.38,50.82,50.25,50.62,171900,50.62
2014-01-02,50.57,50.81,50.04,50.30,262600,50.30
2013-12-31,50.68,50.93,50.34,50.59,176300,50.59
2013-12-30,50.83,50.86,50.42,50.51,231800,50.51
2013-12-27,50.41,51.13,50.13,50.98,201500,50.98
