Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.50,4.50,4.50,4.50,000,4.50
2014-02-21,4.50,4.50,4.50,4.50,400,4.50
2014-02-20,4.50,4.50,4.50,4.50,000,4.50
2014-02-19,4.50,4.50,4.50,4.50,300,4.50
2014-02-18,4.39,4.47,4.39,4.47,400,4.47
2014-02-14,4.35,4.47,4.35,4.47,600,4.47
2014-02-13,4.35,4.39,4.35,4.39,300,4.39
2014-02-12,4.35,4.49,4.35,4.49,4400,4.49
2014-02-11,4.47,4.47,4.47,4.47,200,4.47
2014-02-10,4.54,4.54,4.54,4.54,000,4.54
2014-02-07,4.54,4.54,4.54,4.54,000,4.54
2014-02-06,4.54,4.54,4.54,4.54,400,4.54
2014-02-05,4.57,4.57,4.49,4.49,1400,4.49
2014-02-04,4.20,4.22,4.10,4.20,8400,4.20
2014-02-03,4.37,4.37,4.19,4.23,3200,4.23
2014-01-31,4.30,4.50,4.20,4.21,16800,4.21
2014-01-30,4.35,4.44,4.24,4.33,9100,4.33
2014-01-29,4.35,4.37,4.35,4.35,1400,4.35
2014-01-28,4.45,4.45,4.45,4.45,000,4.45
2014-01-27,4.45,4.45,4.30,4.45,5600,4.45
2014-01-24,4.45,4.50,4.39,4.50,1500,4.50
2014-01-23,4.49,4.49,4.45,4.45,1300,4.45
2014-01-22,4.35,4.50,4.35,4.37,800,4.37
2014-01-21,4.44,4.46,4.35,4.35,1400,4.35
2014-01-17,4.50,4.50,4.45,4.45,500,4.45
2014-01-16,4.50,4.50,4.50,4.50,500,4.50
2014-01-15,4.50,4.50,4.45,4.49,1100,4.49
2014-01-14,4.50,4.50,4.50,4.50,000,4.50
2014-01-13,4.50,4.50,4.50,4.50,1100,4.50
2014-01-10,4.50,4.50,4.50,4.50,300,4.50
2014-01-09,4.50,4.59,4.50,4.59,700,4.59
2014-01-08,4.51,4.60,4.51,4.60,400,4.60
2014-01-07,4.59,4.59,4.59,4.59,000,4.59
2014-01-06,4.50,4.59,4.30,4.59,3200,4.59
2014-01-03,4.60,4.60,4.60,4.60,000,4.60
2014-01-02,4.60,4.60,4.60,4.60,000,4.60
2013-12-31,4.46,4.60,4.45,4.60,6300,4.60
2013-12-30,4.31,4.52,4.31,4.50,2800,4.50
2013-12-27,4.30,4.51,4.30,4.50,4900,4.50
2013-12-26,4.38,4.38,4.25,4.34,2900,4.34
2013-12-24,4.21,4.42,4.21,4.38,12700,4.38
