Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,18.10,18.45,18.10,18.45,10700,18.45
2014-02-21,18.25,18.28,18.15,18.28,10200,18.28
2014-02-20,18.10,18.35,18.10,18.35,12700,18.35
2014-02-19,17.90,18.07,17.75,18.06,4900,18.06
2014-02-18,17.96,18.02,17.75,18.02,12900,18.02
2014-02-14,17.70,18.00,17.70,17.90,9200,17.90
2014-02-13,17.45,17.84,17.43,17.83,6500,17.83
2014-02-12,17.71,17.75,17.60,17.75,16800,17.75
2014-02-11,17.51,17.84,17.50,17.84,11400,17.71
2014-02-10,17.60,17.82,17.60,17.82,13800,17.69
2014-02-07,17.05,17.60,17.05,17.60,6200,17.47
2014-02-06,17.11,17.55,17.11,17.50,13700,17.37
2014-02-05,17.50,17.50,17.26,17.26,2200,17.14
2014-02-04,17.30,17.77,17.25,17.66,24500,17.53
2014-02-03,17.50,17.63,17.25,17.32,16700,17.20
2014-01-31,17.48,17.71,17.48,17.71,5600,17.58
2014-01-30,17.30,17.75,17.26,17.59,20600,17.46
2014-01-29,17.02,17.73,17.02,17.30,19400,17.18
2014-01-28,18.12,18.12,17.87,17.87,800,17.74
2014-01-27,18.08,18.23,17.79,18.12,10200,17.99
2014-01-24,18.25,18.25,18.25,18.25,1000,18.12
2014-01-23,18.38,18.38,18.25,18.25,300,18.12
2014-01-22,18.56,18.60,18.27,18.41,3700,18.28
2014-01-21,18.51,18.51,18.51,18.51,000,18.38
2014-01-17,18.51,18.54,18.50,18.51,1900,18.38
2014-01-16,18.67,18.80,18.51,18.52,2600,18.39
2014-01-15,18.80,18.80,18.50,18.50,1300,18.37
2014-01-14,18.55,18.55,18.55,18.55,000,18.42
2014-01-13,18.50,18.55,18.50,18.55,900,18.42
2014-01-10,18.99,18.99,18.75,18.75,3300,18.49
2014-01-09,18.11,18.11,18.11,18.11,1200,17.86
2014-01-08,18.49,18.76,18.43,18.43,2900,18.17
2014-01-07,18.25,18.40,18.25,18.40,8500,18.14
2014-01-06,18.20,18.20,18.20,18.20,000,17.95
2014-01-03,17.92,18.20,17.92,18.20,4100,17.95
2014-01-02,17.75,17.75,17.75,17.75,700,17.50
2013-12-31,17.98,17.98,17.65,17.96,3000,17.71
2013-12-30,17.65,18.07,17.65,18.00,1600,17.75
2013-12-27,17.75,18.09,17.68,18.09,6800,17.84
2013-12-26,18.35,18.35,17.85,18.06,3700,17.81
2013-12-24,18.25,18.25,18.24,18.24,400,17.99
2013-12-23,17.66,18.30,17.66,18.30,1400,18.04
2013-12-20,18.35,18.35,17.20,18.25,4700,18.00
2013-12-19,18.20,18.40,17.16,18.40,5200,18.14
2013-12-18,18.60,18.60,18.60,18.60,000,18.34
2013-12-17,18.60,18.61,18.60,18.60,11000,18.34
2013-12-16,18.50,18.80,18.31,18.60,4800,18.34
2013-12-13,18.82,18.87,18.82,18.87,500,18.61
2013-12-12,18.61,18.61,18.61,18.61,1000,18.35
2013-12-11,18.90,18.90,18.90,18.90,100,18.64
2013-12-10,18.62,19.07,18.62,19.01,2300,18.62
2013-12-09,18.53,19.20,18.53,19.20,6800,18.80
2013-12-06,19.01,19.25,18.96,18.98,800,18.59
2013-12-05,19.20,19.20,18.75,18.98,1300,18.59
2013-12-04,18.96,18.99,18.74,18.80,10500,18.41
2013-12-03,19.45,19.45,18.30,19.45,3100,19.05
2013-12-02,19.25,19.45,19.20,19.45,2700,19.05
2013-11-29,19.70,19.70,19.70,19.70,100,19.29
2013-11-27,19.89,19.89,19.21,19.21,200,18.81
2013-11-26,19.40,19.47,19.18,19.18,6100,18.79
2013-11-25,19.43,19.70,19.40,19.70,1800,19.29
2013-11-22,19.97,19.97,19.97,19.97,100,19.56
2013-11-21,19.71,19.97,19.70,19.70,900,19.29
2013-11-20,19.96,19.97,19.24,19.97,1800,19.56
2013-11-19,19.97,19.97,19.97,19.97,100,19.56
2013-11-18,19.27,19.79,19.13,19.78,6800,19.37
2013-11-15,19.30,20.00,19.30,19.80,5800,19.39
2013-11-14,19.00,19.20,18.73,19.20,8400,18.80
2013-11-13,19.00,19.00,19.00,19.00,200,18.61
2013-11-12,18.85,19.00,18.85,19.00,4100,18.48
2013-11-11,18.67,19.00,18.67,18.85,700,18.34
2013-11-08,18.77,18.95,18.40,18.94,1700,18.43
2013-11-07,18.95,18.99,18.70,18.96,1400,18.44
2013-11-06,18.70,18.99,18.70,18.99,1000,18.47
2013-11-05,18.75,18.75,18.65,18.65,2400,18.14
2013-11-04,18.60,18.95,18.30,18.30,1900,17.80
2013-11-01,18.60,18.60,18.50,18.55,2800,18.05
2013-10-31,18.55,18.55,18.49,18.54,1100,18.04
2013-10-30,18.70,18.70,18.50,18.57,1200,18.07
2013-10-29,18.70,19.20,18.70,18.97,800,18.45
2013-10-28,18.70,19.20,18.70,19.20,2000,18.68
2013-10-25,18.77,19.25,18.74,19.25,1300,18.73
2013-10-24,18.92,19.15,18.92,19.14,1500,18.62
2013-10-23,18.60,18.75,18.60,18.75,4200,18.24
2013-10-22,18.35,18.60,18.35,18.60,1400,18.09
2013-10-21,18.05,18.05,18.05,18.05,200,17.56
2013-10-18,18.09,18.29,18.09,18.29,2700,17.79
2013-10-17,18.30,18.30,18.30,18.30,800,17.80
2013-10-16,18.35,18.36,18.35,18.35,1200,17.85
2013-10-15,18.15,18.56,18.15,18.56,2000,18.06
2013-10-14,18.30,18.99,18.30,18.94,300,18.43
2013-10-11,19.94,19.94,18.00,19.00,9400,18.48
2013-10-10,18.40,18.40,18.25,18.25,700,17.75
2013-10-09,18.40,18.40,18.00,18.40,3200,17.78
2013-10-08,18.10,18.52,18.10,18.41,5000,17.78
2013-10-07,18.02,18.18,18.00,18.18,400,17.56
2013-10-04,18.20,18.21,18.20,18.21,900,17.59
2013-10-03,18.50,18.50,18.45,18.45,200,17.82
2013-10-02,18.20,18.84,17.99,18.40,17200,17.78
2013-10-01,18.15,18.25,18.15,18.18,3600,17.56
2013-09-30,18.20,18.20,18.10,18.10,2300,17.49
2013-09-27,18.11,18.89,18.08,18.23,8100,17.61
2013-09-26,18.07,18.25,18.00,18.10,10700,17.49
2013-09-25,18.07,18.24,17.78,17.83,14300,17.22
2013-09-24,19.19,19.19,17.95,18.10,9600,17.49
2013-09-23,18.45,18.49,17.76,17.77,5200,17.17
2013-09-20,18.10,18.51,17.75,18.00,7900,17.39
2013-09-19,18.51,18.98,17.51,17.83,15800,17.22
2013-09-18,18.50,19.00,18.50,19.00,6100,18.35
2013-09-17,19.00,19.44,18.75,18.75,3100,18.11
2013-09-16,19.22,19.81,18.83,18.83,7200,18.19
2013-09-13,20.23,20.23,19.52,19.55,3900,18.89
2013-09-12,21.50,21.50,20.01,20.10,4800,19.42
2013-09-11,21.20,21.35,20.11,20.75,17600,20.05
2013-09-10,21.50,21.60,21.22,21.41,1300,20.56
2013-09-09,21.55,21.58,21.16,21.16,2100,20.32
2013-09-06,21.15,21.50,21.15,21.50,1800,20.65
2013-09-05,21.66,21.66,21.66,21.66,100,20.80
2013-09-04,21.38,21.54,21.12,21.54,800,20.68
2013-09-03,21.62,21.63,21.55,21.55,1300,20.69
2013-08-30,21.65,21.65,21.65,21.65,300,20.79
2013-08-29,21.63,21.75,21.62,21.62,1700,20.76
2013-08-28,21.62,21.64,21.62,21.64,2900,20.78
2013-08-27,21.77,21.77,21.60,21.60,200,20.74
2013-08-26,21.21,22.37,21.16,21.59,4800,20.73
2013-08-23,21.60,21.60,21.06,21.06,4800,20.22
2013-08-22,21.84,21.88,21.51,21.51,2900,20.66
2013-08-21,21.70,22.06,21.52,22.06,1500,21.18
2013-08-20,20.97,21.56,20.97,21.56,300,20.70
2013-08-19,22.50,22.50,21.72,22.25,1900,21.37
2013-08-16,21.98,22.20,20.98,21.55,2400,20.69
2013-08-15,20.99,21.46,20.27,21.46,5500,20.61
2013-08-14,22.02,22.10,20.80,20.80,17200,19.97
2013-08-13,22.50,22.52,21.81,22.01,14000,21.14
2013-08-12,23.90,23.90,22.52,22.54,2200,21.52
2013-08-09,22.75,23.26,22.51,22.55,13200,21.53
2013-08-08,22.55,23.00,22.55,22.85,5600,21.82
2013-08-07,23.79,23.79,22.93,22.93,7300,21.89
2013-08-06,23.80,23.80,23.70,23.70,8900,22.63
2013-08-05,23.60,23.77,23.30,23.70,3000,22.63
2013-08-02,23.72,23.72,23.72,23.72,100,22.65
2013-08-01,23.50,23.60,23.50,23.60,5300,22.53
2013-07-31,23.51,23.60,23.51,23.60,3500,22.53
2013-07-30,23.80,23.80,23.80,23.80,000,22.72
2013-07-29,23.80,23.80,23.80,23.80,000,22.72
2013-07-26,23.70,23.80,23.50,23.80,11900,22.72
2013-07-25,23.51,23.60,23.50,23.51,10700,22.45
2013-07-24,23.79,23.79,23.50,23.51,1700,22.45
2013-07-23,23.50,23.53,23.50,23.51,4000,22.45
2013-07-22,23.50,23.70,23.46,23.62,6200,22.55
2013-07-19,22.71,23.49,22.71,23.49,1200,22.43
2013-07-18,22.81,23.22,22.56,23.01,6500,21.97
2013-07-17,23.38,23.38,23.38,23.38,000,22.32
2013-07-16,23.26,23.40,22.60,23.38,7100,22.32
2013-07-15,22.49,23.44,22.46,23.11,5500,22.07
2013-07-12,22.49,22.49,22.49,22.49,400,21.47
2013-07-11,22.52,22.52,22.50,22.50,1500,21.48
2013-07-10,22.39,22.39,22.39,22.39,000,21.26
2013-07-09,22.49,22.50,22.39,22.39,1400,21.26
2013-07-08,22.65,22.98,22.45,22.55,5000,21.41
2013-07-05,22.51,22.56,22.40,22.44,3500,21.30
2013-07-03,23.00,23.00,23.00,23.00,000,21.84
2013-07-02,23.00,23.00,23.00,23.00,1000,21.84
2013-07-01,22.42,22.42,22.42,22.42,000,21.28
2013-06-28,22.01,23.00,22.01,22.42,7500,21.28
2013-06-27,23.00,23.00,23.00,23.00,300,21.84
2013-06-26,23.17,23.17,22.75,22.78,1400,21.63
2013-06-25,23.39,23.39,23.37,23.37,1000,22.19
2013-06-24,23.65,23.66,23.57,23.60,2800,22.40
2013-06-21,23.75,23.78,23.59,23.59,800,22.40
2013-06-20,23.42,23.42,23.37,23.37,4200,22.19
2013-06-19,23.80,23.80,23.80,23.80,000,22.59
2013-06-18,23.80,23.80,23.80,23.80,000,22.59
2013-06-17,23.80,23.80,23.80,23.80,000,22.59
2013-06-14,23.80,23.80,23.80,23.80,200,22.59
2013-06-13,24.00,24.00,24.00,24.00,000,22.78
2013-06-12,24.00,24.00,24.00,24.00,000,22.78
2013-06-11,23.98,24.00,23.92,24.00,1700,22.66
2013-06-10,24.00,24.00,23.90,23.90,1900,22.57
2013-06-07,24.00,24.00,23.78,23.90,4000,22.57
2013-06-06,23.90,24.00,23.90,24.00,500,22.66
2013-06-05,23.85,23.99,23.85,23.94,1800,22.61
2013-06-04,23.98,23.98,23.55,23.90,4600,22.57
2013-06-03,23.99,24.00,23.75,23.81,18500,22.48
2013-05-31,23.98,24.00,23.85,24.00,25600,22.66
