Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.40,14.46,13.40,14.45,174800,14.45
2014-02-21,13.38,13.52,13.31,13.32,44100,13.32
2014-02-20,13.41,13.55,13.14,13.40,23400,13.40
2014-02-19,13.79,13.95,13.32,13.33,26500,13.33
2014-02-18,13.70,13.98,13.70,13.83,16200,13.83
2014-02-14,13.99,13.99,13.66,13.74,14800,13.74
2014-02-13,13.75,14.03,13.67,13.98,13100,13.98
2014-02-12,14.09,14.27,13.60,13.85,25100,13.85
2014-02-11,13.88,14.21,13.88,14.09,17300,14.03
2014-02-10,13.77,13.89,13.35,13.58,30200,13.52
2014-02-07,13.91,14.09,13.70,13.75,22600,13.69
2014-02-06,13.46,13.88,13.46,13.83,24800,13.77
2014-02-05,13.43,13.59,13.33,13.47,19800,13.41
2014-02-04,13.47,13.63,13.38,13.51,16400,13.45
2014-02-03,14.11,14.22,13.10,13.38,58500,13.32
2014-01-31,14.33,14.55,14.02,14.10,36500,14.04
2014-01-30,14.32,14.74,14.20,14.62,25800,14.56
2014-01-29,14.01,14.29,13.97,14.14,20700,14.08
2014-01-28,14.29,14.33,13.99,14.26,24500,14.20
2014-01-27,13.88,14.61,13.88,14.29,13700,14.23
2014-01-24,14.73,14.84,14.00,14.08,21800,14.02
2014-01-23,14.79,15.00,14.47,14.86,29900,14.80
2014-01-22,14.57,15.00,14.41,14.83,13600,14.77
2014-01-21,14.33,14.55,14.30,14.55,15200,14.49
2014-01-17,14.43,14.49,14.25,14.33,12600,14.27
2014-01-16,14.03,14.39,14.03,14.39,9800,14.33
2014-01-15,14.17,14.21,13.87,14.12,9200,14.06
2014-01-14,13.68,14.18,13.68,14.18,22700,14.12
2014-01-13,14.21,14.21,13.64,13.79,21700,13.73
2014-01-10,14.38,14.63,14.13,14.22,13500,14.16
2014-01-09,14.69,14.69,14.31,14.38,18100,14.32
2014-01-08,14.98,14.98,14.52,14.58,14300,14.52
2014-01-07,15.08,15.08,14.92,15.00,18700,14.94
2014-01-06,15.30,15.54,14.98,14.98,27400,14.92
2014-01-03,14.87,15.31,14.85,15.18,14500,15.12
2014-01-02,15.27,15.47,14.78,14.80,11600,14.74
2013-12-31,15.56,15.68,15.24,15.28,13100,15.21
2013-12-30,15.94,15.99,15.33,15.58,33500,15.51
2013-12-27,16.02,16.31,15.88,16.01,21300,15.94
2013-12-26,16.24,16.26,15.88,16.05,29500,15.98
2013-12-24,16.07,16.25,16.07,16.19,5800,16.12
2013-12-23,16.10,16.19,16.03,16.09,16300,16.02
2013-12-20,15.91,16.14,15.84,16.06,64400,15.99
2013-12-19,15.68,15.90,15.68,15.83,16800,15.76
2013-12-18,15.54,16.10,15.21,16.05,40800,15.98
2013-12-17,15.05,15.65,15.03,15.55,21800,15.48
2013-12-16,14.93,15.11,14.81,15.01,19700,14.95
2013-12-13,14.75,14.85,14.65,14.80,12600,14.74
2013-12-12,14.85,14.85,14.64,14.72,16100,14.66
2013-12-11,14.33,14.70,14.12,14.59,56800,14.53
2013-12-10,14.77,14.77,13.99,14.26,59800,14.20
2013-12-09,15.18,15.30,14.72,14.75,18800,14.69
2013-12-06,15.04,15.45,15.00,15.18,17600,15.12
2013-12-05,15.00,15.07,14.77,15.03,23000,14.77
2013-12-04,14.81,15.22,14.56,14.95,35500,14.69
2013-12-03,15.07,15.30,14.72,14.93,21800,14.67
2013-12-02,15.81,15.84,15.12,15.14,26400,14.87
2013-11-29,15.99,15.99,15.71,15.77,9700,15.49
2013-11-27,15.26,15.94,15.26,15.86,32800,15.58
2013-11-26,14.91,16.04,14.91,15.20,97500,14.93
2013-11-25,14.73,14.85,14.73,14.84,15600,14.58
2013-11-22,14.99,14.99,14.67,14.73,45800,14.47
2013-11-21,13.90,14.95,13.90,14.90,51800,14.64
2013-11-20,13.56,14.07,13.44,13.82,49000,13.58
2013-11-19,13.36,13.48,13.27,13.47,54200,13.23
2013-11-18,13.21,13.38,13.16,13.32,106200,13.09
2013-11-15,13.14,13.30,13.14,13.21,18200,12.98
2013-11-14,13.28,13.41,13.17,13.18,12500,12.95
2013-11-13,13.16,13.37,13.14,13.34,33000,13.11
2013-11-12,13.49,13.60,13.34,13.40,11600,13.11
2013-11-11,13.68,13.77,13.50,13.51,35900,13.21
2013-11-08,13.25,14.23,13.10,13.68,21100,13.38
2013-11-07,13.53,13.68,13.22,13.26,38600,12.97
2013-11-06,13.44,13.68,13.42,13.53,30400,13.23
2013-11-05,13.23,13.51,12.98,13.30,62700,13.01
2013-11-04,13.51,13.77,13.33,13.36,35400,13.07
2013-11-01,14.02,14.13,13.41,13.74,94200,13.44
2013-10-31,14.05,14.12,13.78,14.00,51700,13.69
2013-10-30,14.97,14.97,14.03,14.13,28200,13.82
2013-10-29,14.85,14.99,14.66,14.87,23400,14.54
2013-10-28,15.30,15.37,14.80,14.83,21700,14.51
2013-10-25,14.91,15.38,14.65,15.31,51600,14.97
2013-10-24,14.93,14.99,14.75,14.87,18000,14.54
2013-10-23,14.75,15.07,14.75,14.89,31600,14.56
2013-10-22,14.74,15.08,14.72,14.83,38000,14.51
2013-10-21,14.72,14.78,14.52,14.65,58700,14.33
