Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,12.17,12.40,12.17,12.18,1200,12.18
2014-02-21,12.30,12.48,12.27,12.47,22900,12.47
2014-02-20,12.34,12.34,12.34,12.34,200,12.34
2014-02-19,12.43,12.43,12.35,12.35,1000,12.35
2014-02-18,12.00,12.55,12.00,12.55,5300,12.55
2014-02-14,12.25,12.81,12.17,12.17,6100,12.17
2014-02-13,12.05,12.40,11.99,12.19,41400,12.19
2014-02-12,12.00,12.00,12.00,12.00,1100,12.00
2014-02-11,12.00,12.00,11.83,12.00,44200,12.00
2014-02-10,12.03,12.03,11.96,11.96,3000,11.96
2014-02-07,12.00,12.00,11.84,11.98,2300,11.98
2014-02-06,12.01,12.01,12.00,12.00,2600,12.00
2014-02-05,12.00,12.00,12.00,12.00,1700,11.93
2014-02-04,12.14,12.14,11.99,12.00,2800,11.93
2014-02-03,12.00,12.30,11.97,12.00,55800,11.93
2014-01-31,12.18,12.30,11.85,12.00,10200,11.93
2014-01-30,12.30,12.30,11.79,12.20,22500,12.13
2014-01-29,12.59,12.59,12.30,12.30,600,12.23
2014-01-28,12.55,12.60,12.01,12.39,2500,12.32
2014-01-27,12.56,12.56,12.18,12.48,57000,12.41
2014-01-24,12.05,12.64,11.90,12.59,27300,12.52
2014-01-23,11.82,12.31,11.69,11.88,13200,11.81
2014-01-22,11.70,12.00,11.29,11.85,86300,11.78
2014-01-21,11.70,11.70,11.27,11.66,12300,11.59
2014-01-17,12.04,12.05,11.51,11.75,48500,11.68
2014-01-16,12.29,12.49,12.20,12.30,7900,12.23
2014-01-15,12.24,12.40,12.02,12.40,8700,12.33
2014-01-14,12.53,12.53,12.01,12.24,1600,12.17
2014-01-13,12.60,12.60,12.30,12.40,2100,12.33
2014-01-10,12.50,12.55,12.49,12.49,7600,12.42
2014-01-09,13.05,13.07,12.31,12.34,9600,12.27
2014-01-08,12.98,12.98,12.90,12.95,3000,12.87
2014-01-07,12.77,12.99,12.66,12.80,900,12.73
2014-01-06,13.00,13.00,12.80,12.85,12600,12.78
2014-01-03,13.30,13.30,12.65,13.00,2800,12.92
2014-01-02,13.01,13.22,12.75,13.00,10100,12.92
2013-12-31,13.12,13.20,12.95,13.02,2500,12.94
2013-12-30,13.48,13.55,13.00,13.20,26400,13.12
2013-12-27,13.50,13.50,13.10,13.50,7100,13.42
2013-12-26,13.36,13.65,12.76,13.65,6700,13.57
2013-12-24,13.10,13.55,12.40,13.21,10400,13.13
2013-12-23,13.99,13.99,13.20,13.20,12200,13.12
2013-12-20,13.25,13.80,13.20,13.69,78100,13.61
2013-12-19,13.30,13.40,13.25,13.30,5700,13.22
2013-12-18,13.29,13.30,13.20,13.29,5000,13.21
2013-12-17,13.00,14.00,12.00,13.20,25300,13.12
2013-12-16,12.75,12.75,12.10,12.50,26100,12.43
2013-12-13,13.00,13.00,12.17,12.20,2300,12.13
2013-12-12,12.30,12.43,12.00,12.20,24900,12.13
2013-12-11,12.50,12.50,12.25,12.25,4000,12.18
2013-12-10,11.97,12.61,11.86,12.43,10200,12.36
2013-12-09,11.80,11.85,11.80,11.85,2300,11.78
2013-12-06,11.75,11.75,11.60,11.60,4800,11.53
2013-12-05,11.71,11.83,11.50,11.50,3000,11.43
2013-12-04,11.87,11.87,11.50,11.74,2900,11.67
2013-12-03,11.49,11.75,11.40,11.75,5700,11.68
2013-12-02,11.43,11.55,11.25,11.25,6100,11.18
2013-11-29,11.25,11.25,11.25,11.25,100,11.18
2013-11-27,11.25,11.25,11.25,11.25,100,11.18
2013-11-26,11.25,11.39,11.24,11.26,6400,11.19
2013-11-25,11.01,11.01,11.00,11.00,1300,10.94
2013-11-22,11.00,11.20,11.00,11.20,4500,11.13
2013-11-21,11.15,11.15,11.15,11.15,3000,11.08
2013-11-20,11.25,11.25,11.15,11.15,22100,11.08
2013-11-19,11.23,11.23,11.23,11.23,400,11.16
2013-11-18,11.25,11.25,11.22,11.22,3000,11.15
2013-11-15,11.10,11.25,11.10,11.25,3600,11.18
2013-11-14,11.10,11.10,11.05,11.05,1800,10.99
2013-11-13,10.82,11.05,10.82,11.05,2600,10.99
2013-11-12,10.82,11.05,10.82,11.05,1900,10.99
2013-11-11,10.99,10.99,10.94,10.98,3200,10.92
2013-11-08,11.00,11.00,10.90,10.91,900,10.85
2013-11-07,11.00,11.00,10.85,10.85,700,10.79
2013-11-06,10.53,10.90,10.53,10.90,1900,10.84
2013-11-05,10.38,10.99,10.38,10.99,1200,10.93
2013-11-04,11.08,11.08,11.08,11.08,000,11.02
