Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,14.02,14.04,13.97,13.97,5251100,13.97
2014-02-21,14.01,14.03,13.98,13.98,1575300,13.98
2014-02-20,14.15,14.19,14.00,14.01,3076400,14.01
2014-02-19,14.00,14.24,13.98,14.17,5027700,14.17
2014-02-18,14.00,14.05,13.97,13.97,3847600,13.97
2014-02-14,13.98,14.02,13.98,14.00,2274500,14.00
2014-02-13,13.99,14.04,13.97,14.04,4288900,14.04
2014-02-12,14.00,14.04,13.97,13.98,12040900,13.98
2014-02-11,13.98,14.03,13.96,14.00,82665300,14.00
2014-02-10,11.06,11.14,10.82,11.07,456800,11.07
2014-02-07,11.14,11.17,10.74,11.05,704300,11.05
2014-02-06,11.19,11.43,10.69,11.05,865900,11.05
2014-02-05,10.69,10.76,10.19,10.65,746900,10.65
2014-02-04,10.90,11.22,10.66,10.72,747800,10.72
2014-02-03,10.99,11.19,10.52,10.81,672000,10.81
2014-01-31,11.09,11.39,10.74,10.98,679800,10.98
2014-01-30,11.08,11.46,10.81,11.29,556100,11.29
2014-01-29,11.21,11.21,10.80,10.92,532100,10.92
2014-01-28,11.00,11.43,10.85,11.35,792300,11.35
2014-01-27,11.05,11.25,10.54,10.74,814800,10.74
2014-01-24,11.54,11.59,10.68,11.16,1092300,11.16
2014-01-23,11.38,11.80,11.03,11.60,852300,11.60
2014-01-22,12.33,12.35,11.44,11.46,1425700,11.46
2014-01-21,11.85,12.69,11.85,12.35,1447100,12.35
2014-01-17,11.73,11.86,11.60,11.73,538100,11.73
2014-01-16,11.40,11.86,11.31,11.75,617200,11.75
2014-01-15,11.55,11.61,11.28,11.44,735900,11.44
2014-01-14,11.67,11.75,11.35,11.56,662500,11.56
2014-01-13,10.91,11.92,10.40,11.63,1791700,11.63
2014-01-10,9.90,10.40,9.55,10.29,1079800,10.29
2014-01-09,9.65,10.43,9.60,10.28,1238700,10.28
2014-01-08,9.38,9.63,9.33,9.60,540100,9.60
2014-01-07,9.10,9.69,9.06,9.34,921200,9.34
2014-01-06,9.05,9.23,8.79,9.04,1186900,9.04
2014-01-03,8.99,9.25,8.97,9.03,505500,9.03
2014-01-02,9.05,9.15,8.79,9.02,436700,9.02
2013-12-31,9.19,9.21,8.98,9.05,478400,9.05
2013-12-30,8.90,9.41,8.76,9.19,570200,9.19
2013-12-27,9.17,9.26,8.77,8.86,509700,8.86
2013-12-26,9.24,9.42,9.11,9.13,331300,9.13
2013-12-24,9.32,9.45,9.11,9.22,221000,9.22
2013-12-23,9.47,9.50,9.28,9.35,688900,9.35
2013-12-20,9.21,9.48,9.20,9.31,2858000,9.31
2013-12-19,9.52,9.57,9.15,9.21,703100,9.21
2013-12-18,8.97,9.25,8.69,9.11,580900,9.11
2013-12-17,9.12,9.25,8.91,8.93,482800,8.93
2013-12-16,8.76,9.25,8.73,9.10,722400,9.10
2013-12-13,9.38,9.50,8.94,8.97,491700,8.97
2013-12-12,8.89,9.46,8.87,9.32,700200,9.32
2013-12-11,9.26,9.31,8.79,8.87,1013600,8.87
2013-12-10,9.53,9.57,9.04,9.28,908900,9.28
2013-12-09,9.65,9.88,9.54,9.55,866600,9.55
2013-12-06,9.70,9.70,9.50,9.53,812800,9.53
2013-12-05,9.70,9.70,9.55,9.60,932800,9.60
2013-12-04,9.87,10.00,9.34,9.70,1568400,9.70
2013-12-03,9.44,10.09,9.34,10.01,2469600,10.01
2013-12-02,9.16,9.54,9.02,9.43,1373000,9.43
2013-11-29,9.01,9.29,8.97,9.02,339300,9.02
2013-11-27,8.71,9.14,8.67,8.93,586000,8.93
2013-11-26,8.48,8.71,8.45,8.67,736100,8.67
2013-11-25,8.64,8.79,8.43,8.51,821900,8.51
2013-11-22,8.34,8.86,8.26,8.51,980200,8.51
2013-11-21,8.24,8.41,8.15,8.31,929400,8.31
2013-11-20,8.18,8.35,8.12,8.16,807800,8.16
2013-11-19,8.08,8.54,8.00,8.19,1747400,8.19
2013-11-18,7.60,8.15,7.13,8.00,1751400,8.00
2013-11-15,7.00,9.39,7.00,7.88,8513800,7.88
2013-11-14,5.60,6.07,5.26,5.88,1036000,5.88
2013-11-13,5.63,5.68,5.52,5.62,188900,5.62
2013-11-12,5.66,5.79,5.50,5.66,167700,5.66
2013-11-11,5.76,5.79,5.56,5.67,231700,5.67
2013-11-08,5.22,5.82,5.21,5.76,443900,5.76
2013-11-07,4.83,5.28,4.82,5.19,341600,5.19
2013-11-06,5.00,5.11,4.74,4.77,482300,4.77
2013-11-05,4.93,5.05,4.88,4.96,149300,4.96
2013-11-04,4.99,5.03,4.87,4.93,273600,4.93
2013-11-01,4.92,4.99,4.86,4.95,274800,4.95
2013-10-31,5.05,5.11,4.86,4.93,298400,4.93
2013-10-30,5.12,5.17,5.06,5.06,278100,5.06
2013-10-29,5.14,5.18,5.06,5.10,224400,5.10
2013-10-28,5.29,5.29,5.08,5.14,368600,5.14
2013-10-25,5.19,5.37,5.13,5.27,232500,5.27
2013-10-24,5.11,5.40,5.00,5.16,571500,5.16
2013-10-23,5.25,5.25,5.07,5.12,683400,5.12
2013-10-22,5.59,5.78,5.27,5.28,635800,5.28
2013-10-21,5.81,5.81,5.47,5.58,383700,5.58
2013-10-18,6.06,6.06,5.74,5.78,406600,5.78
2013-10-17,5.83,6.01,5.82,5.96,504400,5.96
2013-10-16,5.76,5.88,5.68,5.88,173200,5.88
2013-10-15,5.85,5.86,5.55,5.71,242700,5.71
