Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.37,53.49,52.11,52.85,88000,52.85
2014-02-21,52.98,53.12,52.29,52.45,100300,52.45
2014-02-20,52.07,53.15,51.69,52.66,84200,52.66
2014-02-19,52.08,52.81,51.81,52.01,77900,52.01
2014-02-18,51.85,52.68,51.69,52.39,79900,52.39
2014-02-14,51.50,52.20,51.20,51.83,45300,51.83
2014-02-13,50.39,51.80,50.24,51.41,72400,51.41
2014-02-12,50.91,51.39,50.30,50.76,57400,50.76
2014-02-11,50.18,51.53,49.96,51.01,73000,51.01
2014-02-10,49.90,50.45,49.62,50.28,61200,50.28
2014-02-07,49.95,50.44,49.51,50.05,76500,50.05
2014-02-06,49.99,50.74,49.69,50.06,71700,50.06
2014-02-05,49.55,50.32,48.90,49.85,99900,49.85
2014-02-04,49.52,50.35,49.52,49.91,101100,49.91
2014-02-03,50.09,51.79,49.20,49.47,201800,49.47
2014-01-31,49.34,50.82,48.90,50.38,213400,50.38
2014-01-30,49.86,50.80,49.60,50.30,51700,50.30
2014-01-29,50.00,50.21,49.24,49.42,114000,49.42
2014-01-28,51.06,51.13,50.46,50.64,89900,50.64
2014-01-27,51.36,51.70,51.00,51.00,114700,51.00
2014-01-24,52.36,52.36,51.40,51.47,88900,51.11
2014-01-23,53.21,53.26,52.38,52.61,91600,52.24
2014-01-22,53.53,53.73,52.98,53.29,92400,52.92
2014-01-21,53.26,53.64,52.96,53.36,82500,52.99
2014-01-17,53.33,54.01,52.99,53.13,70400,52.76
2014-01-16,53.65,54.17,53.01,53.16,112500,52.79
2014-01-15,54.10,54.25,53.43,53.53,80700,53.15
2014-01-14,53.99,54.43,52.00,54.14,101900,53.76
2014-01-13,55.11,55.57,53.55,53.99,129200,53.61
2014-01-10,55.26,56.13,55.01,55.42,69200,55.03
2014-01-09,56.16,56.16,54.70,55.05,122000,54.66
2014-01-08,56.58,57.04,55.53,55.83,110900,55.44
2014-01-07,57.32,57.32,56.65,56.80,60400,56.40
2014-01-06,58.09,58.09,56.91,56.98,85900,56.58
2014-01-03,57.25,58.01,56.27,57.87,122900,57.46
2014-01-02,59.95,60.14,56.20,57.40,125000,57.00
2013-12-31,60.47,61.30,60.09,60.23,68500,59.81
2013-12-30,60.50,61.33,60.03,60.37,102500,59.95
2013-12-27,60.38,60.60,60.00,60.25,87400,59.83
2013-12-26,60.75,61.34,60.32,60.61,73500,60.18
2013-12-24,59.96,61.26,59.64,60.37,92900,59.95
2013-12-23,56.94,60.16,56.93,60.09,140400,59.67
2013-12-20,53.58,56.69,53.58,56.56,196600,56.16
2013-12-19,54.53,54.61,53.16,53.34,73100,52.97
2013-12-18,54.31,54.96,53.60,54.74,70900,54.36
2013-12-17,54.55,54.91,53.73,54.18,83800,53.80
2013-12-16,55.06,55.30,54.24,54.72,85400,54.34
2013-12-13,54.72,55.29,54.41,54.79,61600,54.41
2013-12-12,54.50,55.01,54.45,54.59,55400,54.21
2013-12-11,54.87,55.42,54.52,54.63,59600,54.25
2013-12-10,55.93,55.93,54.69,54.83,67100,54.45
2013-12-09,56.07,56.35,55.44,56.11,70000,55.72
2013-12-06,55.43,56.53,54.46,56.11,55200,55.72
2013-12-05,55.01,55.59,54.71,54.94,38400,54.55
2013-12-04,55.08,55.87,54.59,55.06,57300,54.67
2013-12-03,54.85,55.60,54.76,55.31,45300,54.92
2013-12-02,55.10,55.57,54.76,55.04,60500,54.65
2013-11-29,55.00,55.62,54.74,54.95,46800,54.56
2013-11-27,54.50,55.00,53.83,54.93,70800,54.54
2013-11-26,53.37,54.85,53.37,54.46,66700,54.08
2013-11-25,53.88,53.99,53.05,53.43,64900,53.06
2013-11-22,53.10,53.86,52.80,53.55,36000,53.17
2013-11-21,52.25,53.02,51.90,52.86,36600,52.49
2013-11-20,52.02,52.31,51.55,51.92,23600,51.56
2013-11-19,51.83,52.33,51.75,52.01,41300,51.65
2013-11-18,51.61,52.49,51.25,51.82,48800,51.46
2013-11-15,51.69,51.88,50.89,51.65,60200,51.29
2013-11-14,51.58,52.11,51.34,51.77,26000,51.41
2013-11-13,51.46,51.87,51.01,51.75,63800,51.39
2013-11-12,52.00,52.44,50.97,51.94,52000,51.58
2013-11-11,52.15,52.56,51.72,52.26,71000,51.89
2013-11-08,51.32,52.40,51.32,52.09,45600,51.72
2013-11-07,52.19,52.46,51.29,51.38,55300,51.02
2013-11-06,52.04,52.99,52.04,52.21,89000,51.84
2013-11-05,50.97,51.99,50.54,51.82,45400,51.46
2013-11-04,50.18,51.34,50.18,51.13,89500,50.77
2013-11-01,50.57,50.95,49.77,50.04,111800,49.69
2013-10-31,51.51,51.99,49.90,50.73,135100,50.37
2013-10-30,52.22,52.30,51.35,51.57,39800,51.21
2013-10-29,52.31,52.49,52.04,52.18,39500,51.81
2013-10-28,52.75,52.91,51.78,52.38,78200,52.01
2013-10-25,52.10,52.75,51.64,52.75,70700,52.31
2013-10-24,51.78,52.05,51.00,51.97,69800,51.54
2013-10-23,51.46,51.87,51.01,51.63,61700,51.20
2013-10-22,51.75,52.09,51.43,51.78,61300,51.35
2013-10-21,51.75,51.75,51.18,51.49,41700,51.06
2013-10-18,51.76,51.78,51.17,51.70,51400,51.27
2013-10-17,51.15,51.74,51.15,51.56,69600,51.13
2013-10-16,51.13,51.61,50.75,51.23,80200,50.81
2013-10-15,50.91,51.23,50.68,50.89,73500,50.47
2013-10-14,50.74,51.35,50.63,51.30,33100,50.87
2013-10-11,49.99,50.99,49.87,50.91,92100,50.49
2013-10-10,49.76,50.24,48.98,50.19,111800,49.77
2013-10-09,48.98,50.12,48.96,49.33,74600,48.92
2013-10-08,48.73,49.20,48.45,48.97,102500,48.56
2013-10-07,48.50,48.93,48.34,48.59,103400,48.19
2013-10-04,48.02,49.18,47.97,48.91,67300,48.50
2013-10-03,47.56,48.35,47.47,48.14,100700,47.74
2013-10-02,48.04,48.25,47.53,47.75,52800,47.35
2013-10-01,48.00,48.49,47.37,48.37,87700,47.97
2013-09-30,48.81,48.81,47.00,48.07,151600,47.67
2013-09-27,49.20,49.40,48.53,48.91,55900,48.50
2013-09-26,49.34,49.45,48.78,49.45,47300,49.04
2013-09-25,48.87,49.32,48.60,49.23,50400,48.82
2013-09-24,48.48,49.20,48.25,48.69,49300,48.29
2013-09-23,48.20,48.53,47.76,48.31,42800,47.91
2013-09-20,48.09,48.25,47.17,47.75,176200,47.35
2013-09-19,48.21,48.22,47.48,48.13,16000,47.73
2013-09-18,47.61,48.18,46.83,48.00,34000,47.60
2013-09-17,47.39,47.78,47.22,47.46,34300,47.07
2013-09-16,47.69,47.69,47.05,47.20,26100,46.81
2013-09-13,46.73,47.69,46.55,47.22,42400,46.83
2013-09-12,46.66,46.75,45.80,46.53,42200,46.14
2013-09-11,46.48,46.75,45.73,46.63,66900,46.24
2013-09-10,47.35,47.80,46.16,46.55,65900,46.16
2013-09-09,46.23,47.50,46.01,47.36,54600,46.97
2013-09-06,46.72,46.72,45.43,45.95,45300,45.57
2013-09-05,46.04,46.69,46.00,46.41,37200,46.03
2013-09-04,43.65,46.39,43.65,46.03,69800,45.65
2013-09-03,45.91,46.27,45.45,45.83,24500,45.45
2013-08-30,46.00,46.72,45.20,45.63,34900,45.25
2013-08-29,45.49,46.38,45.49,46.00,20900,45.62
2013-08-28,45.46,46.13,45.07,45.47,24900,45.09
2013-08-27,46.38,46.42,45.52,45.55,30100,45.17
2013-08-26,47.05,47.19,46.25,46.57,29600,46.18
2013-08-23,47.01,47.15,46.40,46.85,29000,46.46
2013-08-22,46.44,47.62,46.14,47.08,23900,46.69
2013-08-21,47.52,47.56,46.38,46.41,42300,46.03
2013-08-20,47.28,47.66,47.26,47.52,50900,47.13
2013-08-19,47.33,47.95,47.01,47.12,27300,46.73
2013-08-16,47.60,48.03,47.36,47.47,36600,47.08
2013-08-15,48.10,48.10,46.87,47.87,77200,47.47
2013-08-14,49.33,49.33,48.30,48.35,41000,47.95
2013-08-13,49.50,50.06,48.94,49.26,22200,48.85
2013-08-12,48.99,49.53,48.22,49.32,28000,48.91
2013-08-09,49.42,49.82,48.87,49.08,29400,48.67
2013-08-08,50.23,50.40,49.21,49.34,42900,48.93
2013-08-07,50.34,50.57,49.68,49.92,32400,49.51
2013-08-06,50.32,50.86,49.84,50.58,69100,50.16
2013-08-05,50.18,50.56,49.96,50.51,33700,50.09
2013-08-02,49.10,50.12,48.70,50.08,52700,49.66
2013-08-01,50.93,50.93,48.94,49.15,123300,48.74
2013-07-31,51.44,51.50,50.61,50.68,68700,50.26
2013-07-30,51.79,51.99,50.99,51.55,67800,51.12
2013-07-29,51.24,52.00,51.05,51.50,77600,51.07
2013-07-26,51.05,51.42,50.46,51.05,48900,50.63
2013-07-25,50.36,51.23,49.55,51.19,62700,50.77
2013-07-24,51.90,52.43,50.34,50.36,60000,49.94
2013-07-23,52.14,52.14,50.83,51.82,39200,51.39
2013-07-22,51.48,52.17,51.38,51.88,64500,51.45
2013-07-19,51.02,51.84,49.91,51.74,68700,51.31
2013-07-18,50.69,51.25,50.45,50.90,57700,50.48
2013-07-17,50.55,50.95,50.24,50.45,45600,50.03
2013-07-16,50.23,50.50,50.00,50.22,59700,49.80
2013-07-15,49.53,50.39,49.46,50.18,48700,49.76
2013-07-12,49.81,49.89,48.95,49.63,48900,49.22
2013-07-11,50.00,50.02,49.21,49.70,42500,49.29
2013-07-10,49.78,49.98,49.57,49.74,28400,49.33
2013-07-09,49.00,49.84,48.87,49.71,57800,49.30
2013-07-08,48.29,49.00,48.29,48.87,44900,48.46
2013-07-05,47.89,48.30,46.92,48.29,39600,47.89
2013-07-03,47.28,47.60,46.87,47.35,26800,46.96
2013-07-02,47.28,47.79,46.82,47.58,39800,47.19
2013-07-01,46.81,47.90,46.65,47.36,54600,46.97
2013-06-28,47.53,47.74,46.45,46.51,136500,46.12
2013-06-27,46.13,47.67,45.89,47.47,83500,47.08
2013-06-26,46.61,46.86,45.73,45.80,71400,45.42
2013-06-25,46.67,46.75,46.05,46.20,34700,45.82
2013-06-24,46.44,46.90,46.04,46.31,49200,45.93
2013-06-21,45.81,46.94,45.79,46.78,113800,46.39
2013-06-20,45.89,46.49,45.20,45.63,53200,45.25
2013-06-19,47.20,47.27,46.11,46.18,27900,45.80
2013-06-18,46.45,47.46,46.14,47.10,47800,46.71
2013-06-17,46.68,46.88,46.11,46.31,40300,45.93
2013-06-14,46.73,46.75,46.02,46.31,25700,45.93
2013-06-13,46.42,46.81,46.25,46.62,56700,46.23
2013-06-12,46.95,46.95,46.27,46.45,63100,46.06
2013-06-11,46.61,46.93,46.05,46.54,88600,46.15
2013-06-10,45.43,46.39,45.34,46.31,81700,45.93
2013-06-07,45.18,45.63,44.94,45.21,56700,44.84
2013-06-06,44.85,45.21,44.31,44.87,74800,44.50
2013-06-05,45.10,45.10,44.55,44.70,59400,44.33
2013-06-04,45.10,45.43,44.22,45.00,345300,44.63
2013-06-03,43.96,45.34,43.96,44.92,191200,44.55
2013-05-31,44.68,45.10,44.68,44.74,78300,44.37
2013-05-30,44.55,45.02,44.55,44.83,55000,44.46
2013-05-29,45.10,45.35,44.26,44.50,43800,44.13
2013-05-28,45.08,45.39,44.66,45.05,47200,44.68
2013-05-24,44.31,44.85,44.14,44.65,34000,44.28
2013-05-23,43.64,44.72,43.62,44.26,89700,43.89
2013-05-22,44.62,44.94,43.60,43.79,66700,43.43
2013-05-21,43.97,44.84,43.71,44.65,101000,44.28
