Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.09,10.16,10.08,10.12,24900,10.12
2014-02-21,10.07,10.18,10.00,10.11,21900,10.11
2014-02-20,10.20,10.29,10.00,10.16,21700,10.16
2014-02-19,10.12,10.12,9.96,9.96,2200,9.96
2014-02-18,10.49,10.49,10.49,10.49,100,10.49
2014-02-14,11.10,11.10,11.10,11.10,100,11.10
2014-02-13,10.03,10.03,10.03,10.03,000,10.03
2014-02-12,10.02,10.05,10.02,10.03,7600,10.03
2014-02-11,10.05,10.05,10.00,10.00,700,10.00
2014-02-10,10.04,10.05,10.04,10.05,800,10.05
2014-02-07,10.04,10.04,10.04,10.04,000,10.04
2014-02-06,10.04,10.04,10.04,10.04,000,10.04
2014-02-05,10.03,10.04,9.99,10.04,32500,10.04
2014-02-04,10.01,10.03,10.00,10.01,15200,10.01
2014-02-03,10.01,10.04,9.99,10.02,162100,10.02
2014-01-31,10.03,10.04,10.00,10.00,3900,10.00
2014-01-30,10.05,10.05,9.99,10.00,4600,10.00
2014-01-29,10.00,10.05,10.00,10.00,1000,10.00
2014-01-28,9.99,10.05,9.99,10.01,84100,10.01
2014-01-27,9.99,10.00,9.98,9.98,30200,9.98
2014-01-24,10.00,10.05,9.97,9.97,35400,9.97
2014-01-23,10.05,10.05,10.05,10.05,5200,10.05
2014-01-22,10.00,10.01,10.00,10.01,1300,10.01
2014-01-21,10.01,10.01,10.00,10.00,101800,10.00
2014-01-17,10.01,10.01,10.01,10.01,700,10.01
2014-01-16,10.01,10.01,10.01,10.01,300,10.01
2014-01-15,10.01,10.01,10.01,10.01,600,10.01
2014-01-14,10.00,10.05,10.00,10.05,1800,10.05
2014-01-13,10.00,10.00,10.00,10.00,500,10.00
2014-01-10,10.07,10.07,10.01,10.01,900,10.01
2014-01-09,10.07,10.07,10.00,10.00,3500,10.00
2014-01-08,10.08,10.08,10.05,10.07,300,10.07
2014-01-07,10.04,10.10,10.04,10.07,24100,10.07
2014-01-06,10.04,10.04,10.00,10.04,12200,10.04
2014-01-03,10.02,10.02,10.00,10.02,4500,10.02
2014-01-02,10.04,10.04,9.99,10.00,28700,10.00
2013-12-31,10.00,10.01,10.00,10.01,13700,10.01
2013-12-30,10.05,10.05,10.01,10.01,500,10.01
2013-12-27,10.00,10.04,10.00,10.04,7500,10.04
2013-12-26,10.00,10.04,10.00,10.04,4800,10.04
2013-12-24,10.00,10.00,10.00,10.00,100,10.00
2013-12-23,10.00,10.04,10.00,10.00,2700,10.00
