Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.63,2.69,2.50,2.68,15800,2.68
2014-02-21,3.10,3.10,2.62,2.83,6100,2.83
2014-02-20,2.91,3.20,2.91,2.91,14900,2.91
2014-02-19,3.27,3.27,2.55,3.12,38000,3.12
2014-02-18,6.00,6.00,3.01,3.98,54100,3.98
2014-02-14,7.07,8.89,6.00,6.00,55100,6.00
2014-02-13,11.00,13.66,5.81,8.94,87700,8.94
2014-02-12,12.00,30.60,5.50,11.16,97900,11.16
2014-02-11,3.62,5.40,3.40,5.30,15300,5.30
2014-02-10,2.00,6.42,1.51,3.00,42800,3.00
2014-02-07,1.79,2.02,1.00,1.42,13500,1.42
2014-02-06,1.17,1.20,1.17,1.20,900,1.20
2014-02-05,0.81,1.17,0.81,1.14,1800,1.14
2014-02-04,0.82,0.82,0.59,0.76,3400,0.76
2014-02-03,1.48,2.03,1.01,1.07,3300,1.07
2014-01-31,0.93,1.12,0.91,1.12,2400,1.12
2014-01-30,0.66,0.66,0.66,0.66,000,0.66
2014-01-29,0.66,0.66,0.66,0.66,000,0.66
2014-01-28,0.65,0.66,0.65,0.66,3200,0.66
2014-01-27,0.93,0.93,0.93,0.93,000,0.93
2014-01-24,0.41,0.93,0.41,0.93,8600,0.93
2014-01-23,0.68,0.71,0.38,0.71,6700,0.71
2014-01-22,0.50,0.50,0.50,0.50,600,0.50
2014-01-21,0.68,0.69,0.68,0.69,1000,0.69
2014-01-17,0.51,0.51,0.51,0.51,500,0.51
2014-01-16,0.53,0.53,0.53,0.53,000,0.53
2014-01-15,0.59,0.59,0.50,0.53,500,0.53
2014-01-14,0.54,0.54,0.53,0.53,600,0.53
2014-01-13,0.64,0.64,0.64,0.64,300,0.64
2014-01-10,0.61,0.61,0.61,0.61,200,0.61
2014-01-09,0.68,0.68,0.68,0.68,200,0.68
2014-01-08,0.68,0.68,0.68,0.68,000,0.68
2014-01-07,0.68,0.68,0.68,0.68,100,0.68
2014-01-06,0.61,0.61,0.61,0.61,500,0.61
2014-01-03,0.61,0.61,0.61,0.61,000,0.61
2014-01-02,0.61,0.61,0.61,0.61,500,0.61
2013-12-31,0.61,0.61,0.61,0.61,300,0.61
2013-12-30,0.60,0.60,0.60,0.60,300,0.60
2013-12-27,0.60,0.60,0.60,0.60,000,0.60
2013-12-26,0.60,0.60,0.60,0.60,000,0.60
2013-12-24,0.60,0.60,0.60,0.60,000,0.60
2013-12-23,0.60,0.60,0.60,0.60,000,0.60
2013-12-20,0.62,0.65,0.60,0.60,2600,0.60
2013-12-19,0.65,0.65,0.65,0.65,000,0.65
2013-12-18,0.65,0.65,0.65,0.65,000,0.65
2013-12-17,0.65,0.65,0.65,0.65,200,0.65
2013-12-16,0.68,0.68,0.68,0.68,000,0.68
2013-12-13,0.68,0.68,0.68,0.68,100,0.68
2013-12-12,0.90,0.90,0.90,0.90,000,0.90
2013-12-11,0.90,0.90,0.90,0.90,000,0.90
2013-12-10,0.94,0.94,0.90,0.90,500,0.90
2013-12-09,0.65,0.96,0.65,0.96,9900,0.96
2013-12-06,1.00,1.00,1.00,1.00,300,1.00
2013-12-05,1.07,1.29,0.79,0.97,19800,0.97
2013-12-04,0.72,0.88,0.50,0.60,18600,0.60
2013-12-03,1.10,2.06,0.65,0.89,20900,0.89
2013-12-02,1.22,1.22,0.87,0.87,1100,0.87
2013-11-29,0.37,0.37,0.37,0.37,000,0.37
2013-11-27,0.80,1.02,0.37,0.37,900,0.37
2013-11-26,0.91,0.91,0.86,0.86,600,0.86
2013-11-25,1.01,1.04,1.01,1.01,600,1.01
2013-11-22,1.37,1.60,1.37,1.40,1400,1.40
2013-11-21,0.70,2.74,0.70,1.28,29300,1.28
2013-11-20,0.70,0.70,0.70,0.70,200,0.70
2013-11-19,0.50,0.74,0.50,0.74,700,0.74
2013-11-18,0.22,0.22,0.22,0.22,400,0.22
2013-11-15,1.01,1.01,0.94,0.99,1400,0.99
2013-11-14,0.87,1.01,0.87,1.01,400,1.01
2013-11-13,0.69,0.98,0.69,0.71,2300,0.71
2013-11-12,0.54,0.54,0.54,0.54,000,0.54
2013-11-11,0.53,0.54,0.53,0.54,900,0.54
2013-11-08,0.34,0.34,0.34,0.34,000,0.34
2013-11-07,0.34,0.34,0.34,0.34,3000,0.34
