Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.00,7.01,6.88,6.93,44600,6.93
2014-02-21,6.93,7.00,6.88,6.95,26500,6.95
2014-02-20,7.05,7.05,6.85,6.90,38500,6.90
2014-02-19,6.82,7.05,6.76,7.04,29300,7.04
2014-02-18,6.89,7.00,6.77,6.77,51400,6.77
2014-02-14,6.71,7.00,6.71,6.90,33400,6.90
2014-02-13,6.59,6.81,6.53,6.67,46000,6.67
2014-02-12,6.65,6.81,6.61,6.62,30500,6.62
2014-02-11,6.80,6.89,6.65,6.69,21700,6.69
2014-02-10,6.76,6.98,6.74,6.76,65100,6.76
2014-02-07,6.64,6.79,6.45,6.79,41000,6.79
2014-02-06,6.57,6.77,6.51,6.61,23100,6.61
2014-02-05,6.54,6.60,6.39,6.58,41100,6.58
2014-02-04,6.66,6.70,6.52,6.52,22300,6.52
2014-02-03,6.70,6.72,6.51,6.61,25100,6.61
2014-01-31,6.60,6.72,6.52,6.70,30700,6.70
2014-01-30,6.64,6.70,6.59,6.65,13300,6.65
2014-01-29,6.65,6.65,6.37,6.61,38300,6.61
2014-01-28,6.61,6.71,6.60,6.67,13600,6.67
2014-01-27,6.86,6.89,6.59,6.66,50800,6.66
2014-01-24,6.83,6.94,6.75,6.88,30500,6.88
2014-01-23,6.98,6.98,6.74,6.85,49100,6.85
2014-01-22,7.03,7.03,6.92,6.97,27300,6.97
2014-01-21,7.06,7.07,6.97,7.00,22200,7.00
2014-01-17,6.94,7.14,6.89,7.08,109100,7.08
2014-01-16,6.84,6.93,6.77,6.93,51300,6.93
2014-01-15,6.78,6.91,6.70,6.87,21600,6.87
2014-01-14,6.84,6.93,6.70,6.78,31800,6.78
2014-01-13,6.82,6.95,6.74,6.83,144600,6.83
2014-01-10,6.60,6.82,6.58,6.79,223500,6.79
2014-01-09,6.54,6.61,6.54,6.59,67400,6.59
2014-01-08,6.63,6.65,6.53,6.56,40400,6.56
2014-01-07,6.68,6.68,6.57,6.66,22500,6.66
2014-01-06,6.62,6.75,6.60,6.65,136800,6.65
2014-01-03,6.59,6.62,6.55,6.60,42900,6.60
2014-01-02,6.60,6.68,6.51,6.62,38300,6.62
2013-12-31,6.59,6.61,6.48,6.61,45400,6.61
2013-12-30,6.49,6.62,6.49,6.57,49200,6.57
2013-12-27,6.55,6.62,6.51,6.54,157300,6.54
2013-12-26,6.56,6.64,6.54,6.61,47200,6.61
2013-12-24,6.68,6.71,6.50,6.54,28000,6.54
2013-12-23,6.62,6.67,6.56,6.64,51600,6.64
2013-12-20,6.49,6.63,6.44,6.61,218000,6.61
2013-12-19,6.43,6.48,6.43,6.45,37600,6.45
2013-12-18,6.40,6.47,6.36,6.47,56500,6.47
2013-12-17,6.40,6.49,6.39,6.40,29900,6.40
2013-12-16,6.41,6.64,6.37,6.43,91200,6.43
2013-12-13,6.37,6.55,6.37,6.43,27700,6.43
2013-12-12,6.53,6.53,6.35,6.38,52900,6.38
2013-12-11,6.60,6.70,6.51,6.59,17900,6.59
2013-12-10,6.63,6.70,6.51,6.60,41800,6.60
2013-12-09,6.82,6.82,6.50,6.67,137700,6.67
2013-12-06,6.91,7.00,6.76,6.81,80100,6.81
2013-12-05,6.90,7.00,6.87,6.91,51000,6.91
2013-12-04,6.95,6.95,6.87,6.90,22900,6.90
2013-12-03,6.93,6.95,6.86,6.94,53200,6.94
2013-12-02,6.43,6.93,6.40,6.84,116800,6.84
2013-11-29,6.33,6.50,6.24,6.43,94800,6.43
2013-11-27,6.32,6.32,6.15,6.31,39900,6.31
2013-11-26,6.31,6.42,6.24,6.28,91700,6.28
2013-11-25,6.35,6.40,6.29,6.33,32600,6.33
2013-11-22,6.40,6.43,6.34,6.34,27200,6.34
2013-11-21,6.32,6.44,6.32,6.40,58200,6.40
2013-11-20,6.46,6.46,6.20,6.33,112300,6.33
2013-11-19,6.30,6.50,6.12,6.47,120600,6.47
2013-11-18,6.70,6.70,6.29,6.34,99400,6.34
2013-11-15,6.67,6.76,6.56,6.70,78900,6.70
2013-11-14,6.70,6.79,6.60,6.69,44100,6.69
2013-11-13,6.79,6.84,6.73,6.73,29300,6.73
2013-11-12,6.87,6.90,6.80,6.80,18600,6.80
2013-11-11,6.69,6.92,6.69,6.72,32900,6.72
2013-11-08,6.60,6.80,6.30,6.67,50300,6.67
2013-11-07,6.90,6.91,6.32,6.63,175400,6.63
2013-11-06,7.10,7.10,6.91,6.93,25300,6.93
2013-11-05,6.98,7.22,6.96,7.09,46300,7.09
2013-11-04,7.10,7.25,7.08,7.24,43200,7.24
2013-11-01,7.11,7.20,7.07,7.08,15400,7.08
2013-10-31,7.28,7.31,7.17,7.20,37300,7.20
2013-10-30,7.26,7.31,7.11,7.19,53800,7.19
2013-10-29,7.24,7.34,7.24,7.27,38300,7.27
2013-10-28,7.20,7.25,7.18,7.23,39900,7.23
2013-10-25,7.30,7.33,7.19,7.25,51800,7.25
2013-10-24,7.23,7.30,7.12,7.26,61800,7.26
2013-10-23,7.09,7.19,6.93,7.19,39100,7.19
2013-10-22,7.08,7.24,7.08,7.10,28500,7.10
2013-10-21,7.13,7.13,6.96,7.05,55400,7.05
2013-10-18,7.19,7.20,7.10,7.14,32600,7.14
2013-10-17,7.22,7.22,7.07,7.17,40300,7.17
2013-10-16,7.04,7.18,7.04,7.16,22900,7.16
2013-10-15,7.00,7.19,6.89,7.01,49400,7.01
2013-10-14,7.01,7.03,6.88,7.00,53800,7.00
2013-10-11,7.09,7.22,7.02,7.02,22900,7.02
2013-10-10,7.03,7.24,6.88,7.09,70700,7.09
2013-10-09,7.12,7.12,6.68,7.03,115500,7.03
2013-10-08,7.19,7.25,7.09,7.12,35000,7.12
2013-10-07,7.17,7.33,7.14,7.16,43900,7.16
2013-10-04,7.21,7.28,7.10,7.14,35700,7.14
2013-10-03,7.16,7.36,7.15,7.21,94100,7.21
2013-10-02,7.24,7.25,7.14,7.14,41300,7.14
2013-10-01,7.15,7.28,7.14,7.24,77400,7.24
2013-09-30,7.33,7.34,7.21,7.27,54300,7.27
2013-09-27,7.31,7.51,7.12,7.38,107300,7.38
2013-09-26,7.49,7.52,7.17,7.33,257900,7.33
2013-09-25,7.50,7.55,7.32,7.55,268700,7.55
2013-09-24,7.38,7.55,7.31,7.50,50500,7.50
2013-09-23,7.56,7.56,7.25,7.42,85800,7.42
2013-09-20,7.51,7.58,7.41,7.56,112300,7.56
2013-09-19,7.50,7.57,7.45,7.52,72600,7.52
2013-09-18,7.51,7.58,7.25,7.45,126700,7.45
2013-09-17,7.69,7.69,7.16,7.54,206900,7.54
2013-09-16,7.76,7.76,7.56,7.69,187400,7.69
2013-09-13,7.70,7.74,7.53,7.72,68300,7.72
2013-09-12,8.27,8.27,7.04,7.71,443700,7.71
2013-09-11,8.30,8.33,8.23,8.28,46800,8.28
2013-09-10,8.25,8.29,8.17,8.26,47200,8.26
2013-09-09,8.11,8.37,8.11,8.25,93700,8.25
