Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,6.71,6.71,6.42,6.42,6400,6.42
2014-02-21,6.50,6.68,6.35,6.68,21500,6.68
2014-02-20,6.51,6.60,6.29,6.40,23000,6.40
2014-02-19,6.51,6.51,6.50,6.50,300,6.50
2014-02-18,6.96,6.96,6.50,6.65,23600,6.65
2014-02-14,6.50,6.78,6.45,6.66,18200,6.66
2014-02-13,6.50,6.62,6.40,6.47,11900,6.47
2014-02-12,6.61,6.69,6.40,6.40,16500,6.40
2014-02-11,6.50,6.68,6.50,6.53,10600,6.53
2014-02-10,6.20,6.74,6.20,6.49,51100,6.49
2014-02-07,6.11,6.38,6.02,6.10,16900,6.10
2014-02-06,6.20,6.22,6.07,6.07,23300,6.07
2014-02-05,6.54,6.54,6.22,6.25,10100,6.25
2014-02-04,6.51,6.69,6.51,6.66,9100,6.66
2014-02-03,6.94,6.94,6.70,6.73,9500,6.73
2014-01-31,6.89,6.99,6.88,6.98,8400,6.98
2014-01-30,7.17,7.17,6.90,6.93,42000,6.93
2014-01-29,7.30,7.50,7.17,7.20,11600,7.20
2014-01-28,7.51,7.51,7.26,7.37,5100,7.37
2014-01-27,7.51,7.70,7.50,7.51,11500,7.51
2014-01-24,7.67,7.72,7.50,7.54,12100,7.54
2014-01-23,7.67,7.83,7.41,7.79,13200,7.79
2014-01-22,7.77,8.16,7.60,7.74,36500,7.74
2014-01-21,7.31,7.79,7.31,7.69,30200,7.69
2014-01-17,7.48,7.48,7.11,7.20,8000,7.20
2014-01-16,7.26,7.48,7.24,7.48,18800,7.48
2014-01-15,7.15,7.27,7.09,7.20,25500,7.20
2014-01-14,7.32,7.32,7.01,7.12,19600,7.12
2014-01-13,7.38,7.47,7.20,7.25,21000,7.25
2014-01-10,7.60,7.63,7.41,7.45,19700,7.45
2014-01-09,7.95,7.95,7.70,7.73,14000,7.73
2014-01-08,8.24,8.24,7.40,7.95,52400,7.95
2014-01-07,8.16,8.38,8.16,8.32,24200,8.32
2014-01-06,8.03,8.45,8.03,8.13,24500,8.13
2014-01-03,7.19,8.20,7.19,7.84,35600,7.84
2014-01-02,7.45,7.45,7.06,7.37,22900,7.37
2013-12-31,7.77,7.92,7.38,7.45,30400,7.45
2013-12-30,8.21,8.28,7.70,7.80,29700,7.80
2013-12-27,8.15,8.20,8.15,8.16,4000,8.16
