Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,8.67,8.72,8.53,8.59,50300,8.59
2014-02-21,8.67,8.75,8.62,8.67,52200,8.67
2014-02-20,8.60,8.65,8.52,8.64,71200,8.64
2014-02-19,8.60,8.60,8.60,8.60,000,8.60
2014-02-18,8.63,8.65,8.50,8.60,56000,8.60
2014-02-14,8.46,8.71,8.46,8.60,72200,8.60
2014-02-13,8.40,8.52,8.28,8.42,115400,8.42
2014-02-12,8.46,8.46,8.36,8.43,58400,8.43
2014-02-11,8.52,8.61,8.34,8.43,70700,8.43
2014-02-10,8.50,8.61,8.45,8.49,79400,8.49
2014-02-07,8.45,8.52,8.42,8.51,70700,8.51
2014-02-06,8.39,8.48,8.29,8.45,98100,8.45
2014-02-05,8.49,8.63,8.38,8.41,99600,8.41
2014-02-04,8.46,8.55,8.35,8.53,184600,8.53
2014-02-03,8.55,8.62,8.21,8.41,115100,8.41
2014-01-31,8.38,8.54,8.33,8.48,93200,8.48
2014-01-30,8.50,8.50,8.27,8.44,136500,8.44
2014-01-29,8.41,8.50,8.41,8.48,94900,8.48
2014-01-28,8.44,8.47,8.10,8.31,65000,8.31
2014-01-27,8.15,8.50,7.89,8.44,119600,8.44
2014-01-24,8.29,8.41,8.07,8.23,61500,8.23
2014-01-23,8.35,8.40,8.30,8.40,35800,8.40
2014-01-22,8.18,8.39,8.18,8.34,80500,8.34
2014-01-21,7.99,8.27,7.99,8.14,85100,8.14
2014-01-17,8.00,8.00,7.88,7.98,19600,7.98
2014-01-16,7.96,8.13,7.86,7.96,44900,7.96
2014-01-15,7.85,8.04,7.84,7.89,28900,7.89
2014-01-14,7.82,7.98,7.82,7.86,22000,7.86
2014-01-13,7.94,8.10,7.77,7.79,26500,7.79
2014-01-10,7.95,8.00,7.81,7.94,44000,7.94
2014-01-09,7.95,8.05,7.94,7.99,16300,7.99
2014-01-08,8.10,8.14,7.88,7.94,34900,7.94
2014-01-07,8.14,8.20,8.05,8.13,59100,8.13
2014-01-06,8.03,8.33,8.00,8.16,47000,8.16
2014-01-03,8.10,8.16,8.06,8.06,11100,8.06
2014-01-02,8.11,8.17,8.04,8.14,24800,8.14
2013-12-31,8.07,8.32,8.07,8.17,113500,8.17
2013-12-30,7.98,8.23,7.98,8.06,72100,8.06
2013-12-27,7.96,8.01,7.95,8.01,44800,8.01
2013-12-26,7.84,8.00,7.84,7.92,52300,7.92
2013-12-24,7.82,7.85,7.80,7.84,22000,7.84
2013-12-23,7.77,7.84,7.75,7.82,43400,7.82
2013-12-20,7.53,7.77,7.53,7.76,36600,7.76
2013-12-19,7.61,7.65,7.53,7.58,39600,7.58
2013-12-18,7.80,7.85,7.55,7.67,72300,7.67
2013-12-17,7.80,7.86,7.69,7.76,32600,7.76
2013-12-16,7.77,7.87,7.64,7.83,38500,7.83
2013-12-13,7.75,7.83,7.70,7.77,43200,7.77
2013-12-12,7.73,7.89,7.71,7.71,21500,7.71
2013-12-11,7.75,7.90,7.70,7.72,42600,7.72
2013-12-10,7.90,7.96,7.82,7.90,48500,7.78
2013-12-09,7.61,7.89,7.57,7.87,98600,7.75
2013-12-06,7.52,7.60,7.44,7.60,16700,7.48
2013-12-05,7.54,7.63,7.39,7.50,20000,7.39
2013-12-04,7.70,7.70,7.44,7.53,50200,7.42
2013-12-03,7.44,7.72,7.42,7.69,35200,7.57
2013-12-02,7.53,7.65,7.47,7.48,13500,7.37
2013-11-29,7.50,7.60,7.50,7.55,4100,7.44
2013-11-27,7.61,7.69,7.50,7.53,19200,7.42
2013-11-26,7.52,7.64,7.48,7.58,12900,7.46
2013-11-25,7.62,7.74,7.47,7.55,33500,7.44
2013-11-22,7.59,7.76,7.59,7.63,13300,7.51
2013-11-21,7.74,7.78,7.57,7.64,37200,7.52
2013-11-20,7.38,7.99,7.16,7.70,153500,7.58
2013-11-19,7.34,7.45,7.33,7.38,11400,7.27
2013-11-18,7.36,7.47,7.21,7.37,40000,7.26
2013-11-15,7.62,7.62,7.34,7.34,45100,7.23
2013-11-14,7.60,7.66,7.49,7.58,28900,7.46
2013-11-13,7.44,7.58,7.44,7.58,24400,7.46
2013-11-12,7.38,7.58,7.35,7.46,33600,7.35
2013-11-11,7.38,7.42,7.32,7.36,24100,7.25
2013-11-08,7.42,7.45,7.37,7.42,17200,7.31
2013-11-07,7.41,7.45,7.28,7.44,29500,7.33
2013-11-06,7.36,7.41,7.27,7.41,33000,7.30
2013-11-05,7.20,7.37,7.20,7.37,45400,7.26
2013-11-04,7.26,7.31,7.19,7.27,95200,7.16
2013-11-01,7.35,7.36,7.22,7.26,72200,7.15
2013-10-31,7.40,7.45,7.26,7.37,82000,7.26
2013-10-30,7.65,7.70,7.25,7.42,140300,7.31
2013-10-29,7.37,7.49,7.30,7.38,60700,7.27
2013-10-28,7.25,7.50,7.25,7.38,62000,7.27
2013-10-25,7.30,7.39,7.25,7.27,39400,7.16
2013-10-24,7.29,7.29,7.15,7.29,38800,7.18
2013-10-23,7.24,7.38,7.10,7.32,54000,7.21
2013-10-22,7.29,7.30,7.09,7.27,31500,7.16
2013-10-21,7.25,7.28,7.07,7.28,50400,7.17
2013-10-18,7.17,7.30,7.09,7.28,60200,7.17
2013-10-17,6.88,7.23,6.88,7.17,36200,7.06
2013-10-16,7.17,7.17,6.88,6.95,59100,6.84
2013-10-15,7.14,7.29,7.14,7.15,33000,7.04
2013-10-14,7.07,7.20,6.92,7.14,33200,7.03
2013-10-11,7.00,7.20,6.88,7.11,29600,7.00
2013-10-10,6.91,7.17,6.87,7.01,46900,6.90
2013-10-09,6.95,7.05,6.75,6.82,165900,6.72
2013-10-08,7.05,7.05,6.76,6.90,69000,6.80
2013-10-07,6.70,7.10,6.66,7.02,82600,6.91
2013-10-04,7.12,7.15,6.55,6.78,190600,6.68
2013-10-03,7.10,7.24,7.00,7.16,87100,7.05
2013-10-02,7.30,7.33,7.05,7.17,60000,7.06
2013-10-01,7.25,7.42,7.19,7.32,68400,7.21
2013-09-30,7.02,7.37,6.81,7.22,90400,7.11
2013-09-27,7.26,7.29,7.08,7.08,84200,6.97
2013-09-26,7.38,7.51,7.27,7.33,71800,7.22
2013-09-25,7.43,7.56,7.37,7.40,64800,7.29
2013-09-24,7.45,7.62,7.36,7.44,37600,7.33
2013-09-23,7.46,7.53,7.37,7.47,52100,7.36
2013-09-20,7.52,7.70,7.42,7.51,66300,7.40
2013-09-19,7.56,7.73,7.42,7.52,51400,7.41
2013-09-18,7.78,7.86,7.50,7.60,30200,7.48
2013-09-17,7.53,7.85,7.39,7.77,51600,7.65
2013-09-16,7.89,7.89,7.46,7.55,73700,7.44
2013-09-13,7.92,7.95,7.71,7.83,35500,7.71
2013-09-12,7.84,8.10,7.78,7.91,79000,7.79
2013-09-11,7.70,7.88,7.69,7.85,56600,7.61
2013-09-10,7.82,7.90,7.76,7.76,44500,7.53
2013-09-09,7.72,7.81,7.52,7.74,56000,7.51
2013-09-06,7.63,7.77,7.60,7.71,36900,7.48
2013-09-05,7.86,7.90,7.62,7.62,79500,7.39
2013-09-04,7.69,7.90,7.68,7.86,78800,7.62
2013-09-03,7.76,7.90,7.62,7.74,76800,7.51
2013-08-30,7.99,7.99,7.62,7.66,72400,7.43
2013-08-29,7.59,8.15,7.56,7.97,143100,7.73
2013-08-28,8.40,8.50,7.56,7.68,409000,7.45
2013-08-27,8.73,8.80,8.25,8.61,249800,8.35
2013-08-26,8.80,8.95,8.75,8.88,279800,8.61
