Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,24.61,25.06,24.56,24.64,120600,24.64
2014-02-21,24.64,24.72,24.52,24.65,162500,24.65
2014-02-20,24.64,24.96,24.60,24.76,257700,24.72
2014-02-19,24.56,25.14,24.56,24.70,278700,24.66
2014-02-18,24.24,24.95,24.00,24.66,313700,24.62
2014-02-14,23.15,24.93,23.01,24.31,475400,24.27
2014-02-13,23.85,24.86,23.11,24.84,406200,24.80
2014-02-12,23.15,23.94,22.82,23.67,395700,23.63
2014-02-11,23.13,23.46,22.94,23.08,285900,23.04
2014-02-10,23.56,23.62,23.13,23.14,220400,23.10
2014-02-07,23.42,23.68,23.23,23.55,193400,23.51
2014-02-06,23.31,23.67,23.11,23.40,362700,23.36
2014-02-05,23.32,23.42,23.09,23.30,207000,23.26
2014-02-04,23.20,23.58,22.95,23.37,230800,23.33
2014-02-03,23.67,23.77,22.72,23.08,298900,23.04
2014-01-31,23.36,24.04,23.29,23.67,141300,23.63
2014-01-30,23.07,23.59,23.07,23.57,117300,23.53
2014-01-29,23.39,23.54,22.83,22.98,509500,22.94
2014-01-28,23.43,23.76,23.14,23.70,207200,23.66
2014-01-27,23.65,24.44,23.22,23.30,237700,23.26
2014-01-24,24.23,24.23,23.55,23.62,173200,23.58
2014-01-23,24.49,24.54,24.17,24.35,382500,24.31
2014-01-22,24.86,25.16,24.41,24.50,391400,24.46
2014-01-21,24.62,24.91,24.29,24.80,319700,24.76
2014-01-17,24.34,24.51,24.16,24.44,252600,24.40
2014-01-16,24.44,24.55,24.25,24.47,361000,24.43
2014-01-15,24.43,24.53,24.27,24.46,403100,24.42
2014-01-14,24.75,24.97,24.41,24.48,581000,24.44
2014-01-13,24.77,25.58,24.63,24.69,569600,24.65
2014-01-10,24.40,25.01,24.40,24.88,569400,24.84
2014-01-09,24.10,24.50,24.02,24.50,453400,24.46
2014-01-08,23.90,24.22,23.86,23.98,582500,23.94
2014-01-07,23.76,24.20,23.62,23.98,419000,23.94
2014-01-06,23.49,23.96,22.81,23.75,666600,23.71
2014-01-03,23.48,23.62,23.20,23.37,485000,23.33
2014-01-02,23.36,23.70,23.14,23.38,538900,23.34
2013-12-31,23.35,23.56,22.94,23.36,379100,23.32
2013-12-30,22.91,23.34,22.85,23.22,543800,23.18
2013-12-27,22.98,23.20,22.66,23.00,465800,22.96
2013-12-26,22.64,23.09,22.61,22.90,359500,22.86
2013-12-24,22.38,22.76,22.30,22.62,453100,22.58
2013-12-23,22.44,22.54,22.04,22.29,620700,22.25
2013-12-20,22.01,22.44,21.99,22.37,1035000,22.33
2013-12-19,22.33,22.43,22.04,22.06,355200,22.02
2013-12-18,22.13,22.45,21.96,22.39,826900,22.35
2013-12-17,22.35,22.44,22.04,22.15,604000,22.11
2013-12-16,22.26,22.60,21.92,22.45,314600,22.41
2013-12-13,22.48,22.83,22.02,22.25,504600,22.21
2013-12-12,22.25,22.76,22.21,22.55,816900,22.51
2013-12-11,22.52,22.55,22.05,22.35,488300,22.31
2013-12-10,22.48,22.58,22.25,22.49,324200,22.45
2013-12-09,22.56,22.65,22.47,22.62,262000,22.58
2013-12-06,22.63,22.75,22.36,22.59,415100,22.55
2013-12-05,22.78,22.92,22.21,22.51,369200,22.47
2013-12-04,22.35,23.00,22.15,22.90,618200,22.86
2013-12-03,22.30,22.56,22.23,22.46,194400,22.42
2013-12-02,22.22,22.59,22.06,22.46,445700,22.42
2013-11-29,22.25,22.34,22.01,22.30,216000,22.26
2013-11-27,22.19,22.47,21.78,22.20,244700,22.16
2013-11-26,22.32,22.48,22.04,22.21,336400,22.17
2013-11-25,22.54,22.98,22.26,22.30,542400,22.26
2013-11-22,22.01,22.43,21.85,22.17,405000,22.13
2013-11-21,21.68,22.37,21.41,21.99,432800,21.95
2013-11-20,21.22,21.95,21.11,21.73,388600,21.69
2013-11-19,21.24,21.49,21.10,21.26,326700,21.22
2013-11-18,21.52,21.90,21.00,21.32,546600,21.28
2013-11-15,20.65,21.70,20.50,21.58,718600,21.54
2013-11-14,21.02,21.46,20.61,20.66,6958500,20.62
2013-11-13,20.72,21.23,20.55,20.79,930900,20.75
2013-11-12,21.59,21.65,20.70,21.09,478600,21.01
2013-11-11,22.39,22.39,21.61,21.72,172300,21.64
2013-11-08,22.96,23.06,22.54,22.95,554400,22.86
2013-11-07,22.96,23.24,22.62,22.98,301400,22.89
2013-11-06,23.00,23.25,22.80,22.99,113100,22.90
2013-11-05,22.76,23.35,22.63,23.00,173600,22.91
2013-11-04,21.80,23.04,21.70,22.94,216000,22.85
2013-11-01,23.00,23.56,21.90,22.05,304900,21.97
2013-10-31,22.00,22.24,21.31,21.99,150000,21.91
2013-10-30,21.92,22.18,21.08,22.10,170200,22.02
2013-10-29,22.17,22.36,21.76,21.95,68200,21.87
2013-10-28,22.26,22.47,21.84,22.05,121700,21.97
2013-10-25,22.00,22.65,21.49,22.15,163800,22.07
2013-10-24,22.70,22.70,21.20,22.01,237200,21.93
2013-10-23,22.72,23.10,21.71,22.72,126400,22.63
2013-10-22,22.58,22.91,22.02,22.80,46800,22.71
2013-10-21,22.99,23.13,22.50,22.56,40700,22.47
2013-10-18,22.80,23.15,22.57,22.99,94000,22.90
2013-10-17,22.56,23.07,22.14,22.78,100700,22.69
2013-10-16,22.70,22.91,22.36,22.67,74400,22.58
2013-10-15,22.79,22.91,22.51,22.65,77600,22.56
2013-10-14,22.94,22.95,22.52,22.78,91100,22.69
