Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,12.05,12.17,12.02,12.10,954300,12.10
2014-02-21,12.04,12.05,11.93,12.01,1062500,12.01
2014-02-20,12.01,12.05,11.87,11.99,1216300,11.99
2014-02-19,12.10,12.14,11.91,11.99,2575000,11.99
2014-02-18,12.14,12.14,11.99,12.10,868300,12.10
2014-02-14,12.08,12.09,11.97,12.08,812800,12.08
2014-02-13,11.97,12.06,11.94,12.05,984800,12.05
2014-02-12,12.07,12.15,11.94,12.00,1235100,12.00
2014-02-11,12.04,12.12,12.00,12.04,1129600,12.04
2014-02-10,12.27,12.43,11.98,12.02,1598200,12.02
2014-02-07,11.82,11.94,11.78,11.93,1151500,11.93
2014-02-06,11.87,11.94,11.79,11.83,1164200,11.83
2014-02-05,11.83,11.90,11.78,11.84,994800,11.84
2014-02-04,11.91,11.97,11.80,11.91,960000,11.83
2014-02-03,11.97,12.03,11.82,11.86,1937700,11.79
2014-01-31,11.92,12.46,11.92,11.97,1441100,11.89
2014-01-30,12.23,12.23,11.97,12.06,755400,11.98
2014-01-29,12.08,12.28,12.05,12.10,1882200,12.02
2014-01-28,12.22,12.26,12.08,12.11,1583000,12.03
2014-01-27,12.10,12.28,12.05,12.22,1218300,12.14
2014-01-24,12.11,12.17,12.04,12.11,695300,12.03
2014-01-23,12.24,12.28,12.18,12.18,390100,12.10
2014-01-22,12.37,12.44,12.29,12.31,868500,12.23
2014-01-21,12.12,12.38,12.11,12.32,1194400,12.24
2014-01-17,12.03,12.09,11.92,12.05,691300,11.97
2014-01-16,12.05,12.09,11.94,12.00,2154400,11.92
2014-01-15,12.03,12.08,11.99,12.08,1991800,12.00
2014-01-14,12.00,12.03,11.90,12.02,2093400,11.94
2014-01-13,11.86,11.95,11.81,11.95,932200,11.87
2014-01-10,11.95,11.95,11.84,11.87,2610200,11.80
2014-01-09,11.98,12.01,11.91,11.93,1098300,11.85
2014-01-08,11.89,11.97,11.89,11.94,1293500,11.86
2014-01-07,11.94,12.01,11.90,11.93,1310100,11.85
2014-01-06,12.01,12.20,11.92,11.92,1446100,11.84
2014-01-03,12.03,12.07,11.97,11.99,1364800,11.91
2014-01-02,12.07,12.12,11.95,12.03,691100,11.95
2013-12-31,12.09,12.14,12.07,12.11,513700,12.03
2013-12-30,12.14,12.14,12.06,12.09,447900,12.01
2013-12-27,12.15,12.15,12.05,12.11,627200,12.03
2013-12-26,12.16,12.17,12.09,12.10,527900,12.02
2013-12-24,12.15,12.18,12.11,12.12,697600,12.04
2013-12-23,12.21,12.21,12.09,12.14,916400,12.06
2013-12-20,12.30,12.30,12.09,12.13,3691200,12.05
2013-12-19,12.32,12.37,12.25,12.27,765000,12.19
2013-12-18,12.24,12.35,12.13,12.31,961600,12.23
2013-12-17,12.40,12.53,12.29,12.50,1124500,12.17
2013-12-16,12.17,12.38,12.13,12.38,721400,12.06
2013-12-13,12.12,12.25,12.10,12.15,801700,11.83
2013-12-12,12.03,12.18,11.97,12.09,656800,11.77
2013-12-11,12.05,12.09,11.95,12.02,912500,11.71
2013-12-10,12.14,12.23,12.06,12.06,1093500,11.74
2013-12-09,12.16,12.20,12.08,12.19,685600,11.87
2013-12-06,12.06,12.17,12.03,12.12,901900,11.80
2013-12-05,11.80,11.95,11.77,11.92,569500,11.61
2013-12-04,11.85,11.88,11.69,11.81,1340600,11.50
2013-12-03,11.88,11.97,11.81,11.88,705500,11.57
2013-12-02,12.07,12.07,11.89,11.90,1379200,11.59
2013-11-29,12.07,12.13,12.02,12.06,574300,11.74
2013-11-27,12.07,12.16,11.99,12.00,1403300,11.69
2013-11-26,12.04,12.20,12.00,12.04,1672400,11.72
2013-11-25,12.10,12.19,12.00,12.04,634500,11.72
2013-11-22,12.10,12.10,11.94,12.07,425600,11.75
2013-11-21,11.98,12.16,11.94,12.06,433000,11.74
2013-11-20,11.97,12.02,11.89,11.94,550900,11.63
2013-11-19,12.10,12.23,12.10,12.15,548300,11.66
2013-11-18,12.31,12.34,12.13,12.13,672300,11.64
2013-11-15,12.30,12.32,12.25,12.30,472600,11.80
2013-11-14,12.26,12.34,12.24,12.32,450200,11.82
2013-11-13,12.21,12.33,12.18,12.30,436100,11.80
2013-11-12,12.35,12.39,12.21,12.25,720700,11.75
2013-11-11,12.37,12.45,12.32,12.37,474100,11.87
2013-11-08,12.18,12.43,12.18,12.40,4301600,11.90
2013-11-07,12.54,12.61,12.18,12.21,1795400,11.71
2013-11-06,12.47,12.59,12.42,12.52,522600,12.01
2013-11-05,12.43,12.48,12.37,12.42,980800,11.92
2013-11-04,12.51,12.57,12.45,12.50,763900,11.99
2013-11-01,12.64,12.65,12.50,12.52,922000,12.01
2013-10-31,12.81,12.84,12.66,12.67,826800,12.16
