Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,28.45,28.75,28.30,28.70,8400,28.70
2014-02-21,29.41,29.85,28.24,28.57,8700,28.57
2014-02-20,28.80,29.38,28.60,29.26,4300,29.26
2014-02-19,29.81,31.35,28.26,28.92,6700,28.92
2014-02-18,29.04,30.84,28.14,29.93,4400,29.93
2014-02-14,29.54,29.54,28.44,28.81,5500,28.81
2014-02-13,29.36,29.55,29.29,29.48,3800,29.48
2014-02-12,28.36,29.35,28.05,29.35,7800,29.35
2014-02-11,28.78,28.78,27.63,28.69,5600,28.69
2014-02-10,29.24,29.79,28.60,28.60,4800,28.60
2014-02-07,28.36,29.21,28.17,29.21,2500,29.21
2014-02-06,27.78,28.65,27.40,28.44,18900,28.44
2014-02-05,29.69,30.10,27.60,27.88,17700,27.88
2014-02-04,31.89,31.89,29.50,29.96,8500,29.96
2014-02-03,33.43,33.43,31.00,31.23,10500,31.23
2014-01-31,34.16,34.16,33.02,33.66,11800,33.66
2014-01-30,34.70,35.10,34.70,34.99,7700,34.99
2014-01-29,34.05,35.10,34.05,34.23,3900,34.23
2014-01-28,34.78,35.00,34.78,34.93,3600,34.93
2014-01-27,34.81,35.24,34.57,34.66,1800,34.66
2014-01-24,34.80,35.30,34.66,34.84,3900,34.84
2014-01-23,35.18,35.41,34.92,35.06,3600,35.06
2014-01-22,35.05,35.90,34.52,35.20,8700,35.20
2014-01-21,34.70,35.21,33.75,35.21,11500,35.21
2014-01-17,34.31,34.71,33.70,34.50,1700,34.50
2014-01-16,34.00,35.10,33.94,34.23,4900,34.23
2014-01-15,33.82,34.59,33.74,34.16,8700,34.16
2014-01-14,33.83,33.99,33.40,33.90,2800,33.90
2014-01-13,33.63,33.79,33.14,33.67,9400,33.67
2014-01-10,33.15,33.60,33.09,33.36,5700,33.36
2014-01-09,32.86,33.57,32.80,33.09,8600,33.09
2014-01-08,34.10,34.10,32.65,32.65,1900,32.65
2014-01-07,32.94,33.67,32.94,33.67,3200,33.67
2014-01-06,33.26,33.67,32.82,32.90,4900,32.90
2014-01-03,33.13,34.06,32.90,33.20,4300,33.20
2014-01-02,33.88,33.88,33.06,33.06,7200,33.06
2013-12-31,33.38,34.25,33.36,34.17,32200,34.17
2013-12-30,33.50,34.10,32.51,33.37,8400,33.37
