Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,27.16,27.58,27.16,27.30,44800,27.30
2014-02-21,27.25,27.49,27.22,27.38,37800,27.38
2014-02-20,27.50,27.73,27.05,27.24,67900,27.24
2014-02-19,27.80,27.84,27.51,27.59,77100,27.59
2014-02-18,28.00,28.01,27.66,27.76,83400,27.76
2014-02-14,28.20,28.43,28.14,28.22,44500,28.22
2014-02-13,28.30,28.50,28.27,28.27,21600,28.27
2014-02-12,29.00,29.00,28.28,28.30,72100,28.30
2014-02-11,28.93,29.00,28.92,28.99,7700,28.99
2014-02-10,29.00,29.00,28.77,28.95,10800,28.95
2014-02-07,28.85,28.85,28.81,28.85,12000,28.85
2014-02-06,28.82,28.85,28.72,28.78,16100,28.78
2014-02-05,28.71,28.80,28.70,28.79,10800,28.79
2014-02-04,28.79,28.80,28.75,28.80,12700,28.80
2014-02-03,28.67,28.79,28.67,28.70,14500,28.70
2014-01-31,28.80,28.80,28.65,28.67,5500,28.67
2014-01-30,28.68,28.80,28.60,28.79,25000,28.79
2014-01-29,28.75,28.85,28.70,28.83,4600,28.83
2014-01-28,28.60,28.75,28.60,28.75,10000,28.75
2014-01-27,28.61,28.72,28.61,28.63,10200,28.63
2014-01-24,28.80,28.80,28.61,28.61,6600,28.61
2014-01-23,28.75,28.77,28.58,28.66,13200,28.66
2014-01-22,28.72,28.72,28.56,28.58,8200,28.58
2014-01-21,28.75,28.75,28.55,28.57,8800,28.57
2014-01-17,28.61,28.65,28.50,28.50,37400,28.50
2014-01-16,28.40,28.65,28.36,28.65,19300,28.65
2014-01-15,28.31,28.59,28.31,28.40,10300,28.40
2014-01-14,28.47,28.70,28.40,28.44,18700,28.44
2014-01-13,28.40,28.59,28.40,28.47,9200,28.47
2014-01-10,28.30,28.64,28.28,28.34,32900,28.34
2014-01-09,28.34,28.38,28.20,28.23,39400,28.23
2014-01-08,28.30,28.35,28.25,28.25,13700,28.25
2014-01-07,28.34,28.37,28.24,28.30,19000,28.30
2014-01-06,28.36,28.36,28.23,28.26,19000,28.26
2014-01-03,28.36,28.36,28.15,28.22,22600,28.22
2014-01-02,28.34,28.60,28.20,28.25,47200,28.25
2013-12-31,28.88,28.88,28.37,28.47,9100,28.47
2013-12-30,28.25,28.89,28.23,28.89,16300,28.89
2013-12-27,28.25,28.45,28.25,28.25,12000,28.25
2013-12-26,28.36,28.54,28.35,28.35,14400,28.35
2013-12-24,28.50,29.00,28.35,28.35,13400,28.35
2013-12-23,28.50,28.60,28.36,28.45,10300,28.45
2013-12-20,28.80,28.80,28.45,28.45,27900,28.45
2013-12-19,28.50,28.62,28.50,28.60,17900,28.60
2013-12-18,28.55,28.55,28.45,28.45,9600,28.45
2013-12-17,28.66,28.66,28.43,28.48,17400,28.48
2013-12-16,28.58,28.67,28.20,28.64,27500,28.64
2013-12-13,28.70,28.70,28.10,28.58,32100,28.58
2013-12-12,28.36,28.36,28.15,28.20,64400,28.20
2013-12-11,28.66,28.84,28.50,28.72,40900,28.23
2013-12-10,28.66,28.78,28.66,28.75,11100,28.26
2013-12-09,28.65,28.80,28.55,28.57,29800,28.08
2013-12-06,28.65,28.65,28.44,28.60,12200,28.11
2013-12-05,28.68,28.68,28.46,28.49,25000,28.00
2013-12-04,28.50,28.64,28.39,28.52,35200,28.03
2013-12-03,28.66,28.66,28.50,28.50,24000,28.01
2013-12-02,28.74,28.74,28.60,28.60,22100,28.11
2013-11-29,28.65,28.65,28.65,28.65,400,28.16
2013-11-27,28.70,28.83,28.60,28.69,15800,28.20
2013-11-26,28.75,28.87,28.70,28.75,10900,28.26
2013-11-25,28.98,28.98,28.34,28.50,57000,28.01
2013-11-22,28.57,28.83,28.30,28.83,74600,28.34
2013-11-21,28.43,28.50,28.40,28.50,10200,28.01
2013-11-20,28.55,28.55,28.40,28.45,30500,27.96
2013-11-19,28.32,28.50,28.32,28.49,16600,28.00
2013-11-18,28.64,28.64,28.31,28.40,108200,27.91
2013-11-15,28.31,28.45,28.30,28.38,30000,27.89
2013-11-14,28.50,28.50,28.35,28.48,11800,27.99
2013-11-13,28.25,28.40,28.20,28.38,27500,27.89
2013-11-12,28.22,28.33,28.10,28.33,20600,27.84
2013-11-11,28.35,28.45,28.16,28.25,21200,27.77
2013-11-08,28.30,28.30,28.12,28.21,26700,27.73
2013-11-07,28.25,28.39,28.25,28.32,22800,27.83
2013-11-06,28.49,28.49,28.25,28.30,33800,27.82
2013-11-05,28.56,28.56,28.25,28.29,15900,27.81
2013-11-04,28.36,28.40,28.25,28.25,54800,27.77
2013-11-01,28.94,28.94,28.35,28.38,77300,27.89
2013-10-31,28.20,28.85,28.20,28.61,88800,28.12
2013-10-30,28.40,28.40,28.20,28.29,24900,27.81
2013-10-29,28.30,28.30,28.22,28.28,49700,27.80
2013-10-28,28.45,28.45,28.11,28.30,18300,27.82
2013-10-25,28.03,28.25,27.85,28.20,50300,27.72
2013-10-24,28.25,28.35,28.02,28.10,43000,27.62
2013-10-23,28.10,28.26,28.05,28.25,50800,27.77
2013-10-22,28.24,28.24,27.60,28.01,141000,27.53
2013-10-21,28.14,28.15,27.84,27.96,216500,27.48
2013-10-18,28.21,28.33,28.06,28.14,905300,27.66
2013-10-17,28.35,28.35,28.18,28.21,142300,27.73
2013-10-16,28.40,28.55,28.09,28.28,555500,27.80
2013-10-15,28.40,28.49,28.30,28.49,333900,28.00
2013-10-14,28.21,28.43,28.21,28.40,66600,27.91
2013-10-11,28.15,28.40,28.13,28.40,117200,27.91
2013-10-10,28.08,28.15,28.00,28.15,107400,27.67
2013-10-09,28.00,28.15,27.90,27.96,191000,27.48
2013-10-08,28.44,28.44,27.98,28.05,180500,27.57
2013-10-07,27.55,28.39,27.55,28.10,336600,27.62
2013-10-04,27.50,27.57,27.50,27.54,148700,27.07
2013-10-03,27.50,27.50,27.41,27.48,192100,27.01
2013-10-02,27.50,27.51,27.40,27.49,242800,27.02
2013-10-01,27.50,27.50,27.31,27.46,194200,26.99
2013-09-30,27.50,27.60,27.10,27.44,227500,26.97
2013-09-27,27.00,28.48,27.00,27.59,440600,27.12
2013-09-26,26.20,26.59,25.45,26.46,336800,26.01
2013-09-25,26.00,26.30,24.99,26.13,448000,25.68
2013-09-24,26.00,26.50,25.70,26.00,716400,25.55
2013-09-23,25.01,26.70,24.40,26.10,720200,25.65
