Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,28.75,28.75,28.00,28.14,42600,28.14
2014-02-21,28.74,28.90,28.61,28.65,14800,28.65
2014-02-20,28.77,29.13,28.60,28.95,12500,28.95
2014-02-19,29.10,29.13,28.77,28.87,22700,28.87
2014-02-18,29.19,29.19,29.10,29.10,22800,29.10
2014-02-14,29.25,29.30,29.15,29.16,10500,29.16
2014-02-13,29.20,29.30,29.16,29.20,10200,29.20
2014-02-12,29.29,29.40,29.16,29.29,17900,29.29
2014-02-11,29.30,29.45,29.30,29.38,7200,29.38
2014-02-10,29.29,29.29,29.26,29.26,2200,29.26
2014-02-07,29.30,29.30,29.26,29.30,3000,29.30
2014-02-06,29.18,29.35,29.18,29.34,3800,29.34
2014-02-05,29.15,29.35,29.12,29.34,13400,29.34
2014-02-04,29.11,29.28,29.11,29.26,5400,29.26
2014-02-03,29.27,29.35,29.12,29.17,14200,29.17
2014-01-31,29.18,29.27,29.11,29.27,6200,29.27
2014-01-30,29.10,29.25,29.10,29.20,4000,29.20
2014-01-29,29.15,29.15,29.10,29.10,3700,29.10
2014-01-28,29.10,29.41,29.03,29.21,8500,29.21
2014-01-27,29.10,29.29,29.10,29.26,12900,29.26
2014-01-24,29.11,29.29,29.00,29.11,10600,29.11
2014-01-23,29.21,29.25,29.12,29.15,4300,29.15
2014-01-22,29.10,29.30,29.10,29.12,9800,29.12
2014-01-21,29.01,29.10,29.00,29.00,14600,29.00
2014-01-17,29.15,29.44,29.08,29.08,35300,29.08
2014-01-16,29.39,29.44,29.19,29.30,3400,29.30
2014-01-15,29.16,29.45,29.16,29.16,7300,29.16
2014-01-14,29.15,29.44,29.13,29.23,13600,29.23
2014-01-13,29.42,29.42,29.13,29.15,9700,29.15
2014-01-10,29.32,29.38,29.12,29.25,12800,29.25
2014-01-09,29.00,29.47,29.00,29.12,6900,29.12
2014-01-08,29.00,29.23,29.00,29.02,7000,29.02
2014-01-07,29.19,29.38,29.00,29.00,11200,29.00
2014-01-06,29.24,29.25,29.00,29.00,50300,29.00
2014-01-03,29.28,29.50,29.25,29.27,11300,29.27
2014-01-02,29.25,29.74,29.21,29.44,9900,29.44
2013-12-31,28.99,29.40,28.70,29.22,27200,29.22
2013-12-30,28.57,28.80,28.57,28.60,17200,28.60
2013-12-27,28.65,28.85,28.60,28.60,12900,28.60
2013-12-26,28.57,28.89,28.57,28.62,20100,28.62
2013-12-24,28.79,29.43,28.57,28.59,19300,28.59
2013-12-23,28.89,29.25,28.79,28.92,22600,28.92
2013-12-20,29.10,29.10,28.91,28.92,5900,28.92
2013-12-19,29.03,29.67,28.97,29.02,4700,29.02
2013-12-18,29.06,29.25,28.90,28.90,13600,28.90
2013-12-17,29.74,29.74,29.09,29.10,12500,29.10
2013-12-16,29.56,29.65,29.23,29.65,14800,29.65
2013-12-13,29.67,29.74,28.92,29.74,25900,29.74
2013-12-12,29.58,29.58,28.80,28.95,29600,28.95
2013-12-11,29.74,29.74,29.54,29.74,9100,29.74
2013-12-10,29.50,29.74,29.50,29.74,13200,29.74
2013-12-09,29.70,29.74,29.50,29.72,19400,29.72
2013-12-06,29.70,29.70,29.41,29.66,8200,29.66
2013-12-05,29.70,29.70,29.61,29.61,4100,29.61
2013-12-04,29.69,29.70,29.41,29.62,29100,29.62
2013-12-03,29.55,29.55,29.40,29.55,10600,29.55
2013-12-02,29.49,29.65,29.45,29.60,12700,29.60
2013-11-29,29.43,29.69,29.43,29.69,700,29.69
2013-11-27,29.58,29.67,29.50,29.61,18000,29.61
2013-11-26,29.67,29.70,29.50,29.60,9600,29.60
2013-11-25,29.53,29.70,29.50,29.50,6800,29.50
2013-11-22,29.55,29.71,29.35,29.45,17000,29.45
2013-11-21,29.47,29.55,29.30,29.49,7800,29.49
2013-11-20,29.63,29.69,29.50,29.58,4000,29.58
2013-11-19,29.70,29.70,29.51,29.59,4700,29.59
2013-11-18,29.50,29.69,29.50,29.58,5600,29.58
2013-11-15,29.50,29.73,29.26,29.54,14600,29.54
2013-11-14,29.40,29.73,29.30,29.42,11600,29.42
2013-11-13,29.50,29.69,29.40,29.47,8700,29.47
2013-11-12,29.61,29.74,29.46,29.48,11100,29.48
2013-11-11,29.53,29.74,29.40,29.69,10300,29.69
2013-11-08,29.67,29.73,29.30,29.35,4900,29.35
2013-11-07,29.24,29.60,29.22,29.57,6300,29.57
2013-11-06,29.64,29.65,29.22,29.23,20200,29.23
2013-11-05,29.74,29.74,29.48,29.55,15400,29.55
2013-11-04,29.64,29.74,29.50,29.50,11000,29.50
2013-11-01,29.66,29.70,29.60,29.60,8200,29.60
2013-10-31,29.78,29.93,29.55,29.60,3800,29.60
2013-10-30,29.75,29.84,29.55,29.65,8500,29.65
2013-10-29,29.51,29.83,29.50,29.61,5200,29.61
2013-10-28,29.66,29.88,29.57,29.61,7800,29.61
2013-10-25,29.65,29.89,29.50,29.66,10400,29.66
2013-10-24,29.86,29.90,29.42,29.42,18800,29.42
2013-10-23,29.45,29.80,29.45,29.65,14900,29.65
2013-10-22,29.95,29.95,29.47,29.60,18900,29.60
2013-10-21,29.89,29.93,29.50,29.60,16500,29.60
2013-10-18,29.55,29.75,29.52,29.65,13400,29.65
2013-10-17,29.56,29.57,29.45,29.45,7000,29.45
2013-10-16,29.66,29.66,29.45,29.45,6100,29.45
2013-10-15,29.80,29.90,29.49,29.52,25600,29.52
2013-10-14,29.25,29.98,29.25,29.55,8300,29.55
2013-10-11,29.50,29.64,29.20,29.30,15200,29.30
2013-10-10,29.13,29.89,29.13,29.50,6200,29.50
2013-10-09,29.16,29.39,29.11,29.14,9400,29.14
2013-10-08,29.24,29.79,29.08,29.14,4400,29.14
2013-10-07,29.56,29.71,29.05,29.08,17200,29.08
