Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,46.77,47.03,46.63,46.65,632400,46.65
2014-02-21,46.93,46.97,46.50,46.75,489300,46.75
2014-02-20,46.66,46.86,46.32,46.79,483000,46.79
2014-02-19,46.96,47.10,46.51,46.56,753400,46.56
2014-02-18,46.88,47.30,46.83,47.17,642100,47.17
2014-02-14,46.75,47.00,46.61,47.00,611400,47.00
2014-02-13,46.15,46.93,46.01,46.92,698700,46.92
2014-02-12,46.47,46.67,46.25,46.51,710400,46.51
2014-02-11,45.80,46.48,45.69,46.32,852700,46.32
2014-02-10,45.63,45.78,45.22,45.78,945600,45.78
2014-02-07,45.23,45.73,44.90,45.73,1376000,45.73
2014-02-06,46.50,46.68,45.08,45.21,1464400,45.21
2014-02-05,47.07,47.43,46.94,47.10,791200,47.10
2014-02-04,47.69,47.82,47.07,47.25,1142800,47.25
2014-02-03,48.55,48.70,47.48,47.61,989400,47.61
2014-01-31,48.32,48.85,47.96,48.45,913900,48.45
2014-01-30,49.03,49.26,48.79,49.23,408700,49.23
2014-01-29,48.83,49.14,48.58,48.61,533100,48.61
2014-01-28,48.82,49.31,48.78,49.26,630700,49.26
2014-01-27,48.60,49.14,47.52,48.77,893000,48.77
2014-01-24,49.70,49.84,48.80,48.81,900000,48.81
2014-01-23,50.54,50.75,49.97,50.14,930200,50.14
2014-01-22,50.69,50.79,50.42,50.70,676800,50.70
2014-01-21,50.90,50.99,50.25,50.48,890700,50.48
2014-01-17,50.48,50.60,50.21,50.52,1408100,50.52
2014-01-16,50.59,50.75,50.35,50.51,528000,50.51
2014-01-15,51.06,51.12,50.62,50.87,510800,50.87
2014-01-14,50.54,50.89,50.46,50.80,342400,50.80
2014-01-13,50.99,51.24,50.40,50.51,804400,50.51
2014-01-10,51.41,51.49,51.04,51.15,543600,51.15
2014-01-09,50.90,51.18,50.83,51.11,569700,51.11
2014-01-08,51.07,51.07,50.64,50.89,1036600,50.89
2014-01-07,51.02,51.31,50.92,51.05,530400,51.05
2014-01-06,51.18,51.39,50.85,51.00,554100,51.00
2014-01-03,51.50,51.67,51.01,51.13,415500,51.13
2014-01-02,52.15,52.19,51.25,51.45,541000,51.45
2013-12-31,52.43,52.50,52.20,52.37,331500,52.37
2013-12-30,51.96,52.30,51.90,52.25,399200,52.25
2013-12-27,52.32,52.47,51.96,51.98,344300,51.98
2013-12-26,53.74,53.74,52.20,52.38,362800,52.38
2013-12-24,52.08,52.26,51.97,52.22,263100,52.22
2013-12-23,52.16,52.52,52.02,52.05,764300,52.05
2013-12-20,51.52,52.07,51.44,52.01,1118900,52.01
2013-12-19,51.35,51.53,51.19,51.40,446000,51.40
2013-12-18,50.73,51.53,50.37,51.52,757900,51.52
2013-12-17,50.72,50.87,50.51,50.67,455600,50.67
2013-12-16,51.02,51.10,50.72,50.83,568100,50.83
2013-12-13,51.47,51.74,51.20,51.22,407900,51.22
2013-12-12,51.30,51.53,51.23,51.33,413300,51.33
2013-12-11,51.95,52.25,51.32,51.39,468400,51.39
2013-12-10,52.20,52.30,51.82,52.02,553400,52.02
2013-12-09,52.35,52.53,51.98,52.24,572600,52.24
2013-12-06,51.99,52.28,51.71,52.28,516900,52.28
2013-12-05,51.75,51.86,51.18,51.39,438700,51.39
2013-12-04,51.59,52.06,51.14,51.68,445400,51.68
2013-12-03,51.88,52.11,51.33,51.86,852900,51.86
2013-12-02,52.41,52.48,51.99,52.15,638400,52.15
2013-11-29,52.98,53.09,52.35,52.41,295000,52.41
2013-11-27,52.79,53.14,52.61,52.95,567000,52.95
2013-11-26,52.61,52.93,52.61,52.69,687800,52.69
2013-11-25,52.60,53.00,52.50,52.66,559100,52.66
2013-11-22,51.95,52.47,51.76,52.41,610400,52.41
2013-11-21,51.20,51.98,50.95,51.91,567700,51.91
2013-11-20,51.26,51.50,50.89,50.94,521500,50.94
2013-11-19,51.03,51.36,50.76,51.13,675500,51.13
2013-11-18,51.16,51.25,50.76,50.90,429100,50.90
2013-11-15,50.95,51.09,50.58,51.08,643300,51.08
2013-11-14,50.73,50.96,50.40,50.89,408500,50.89
2013-11-13,49.84,50.55,49.77,50.52,382600,50.52
2013-11-12,50.40,50.46,49.86,50.12,455600,50.12
2013-11-11,50.50,50.74,50.43,50.59,265000,50.59
2013-11-08,49.73,50.58,49.61,50.57,446500,50.57
2013-11-07,50.47,50.51,49.59,49.62,551100,49.62
2013-11-06,49.95,50.26,49.84,50.24,489300,50.24
2013-11-05,49.76,49.93,49.55,49.67,468400,49.67
2013-11-04,50.11,50.27,49.77,49.91,468200,49.91
2013-11-01,50.12,50.13,49.80,50.00,529000,50.00
2013-10-31,50.55,50.55,50.00,50.05,816400,50.05
2013-10-30,50.70,50.78,50.33,50.56,515600,50.56
2013-10-29,50.49,50.64,50.33,50.63,479600,50.63
2013-10-28,50.27,50.48,50.04,50.30,496300,50.30
2013-10-25,50.45,50.48,49.60,50.18,593700,50.18
2013-10-24,50.08,50.47,50.03,50.32,582900,50.32
2013-10-23,50.13,50.27,49.74,50.13,625600,50.13
2013-10-22,50.04,50.48,50.00,50.33,584500,50.33
2013-10-21,50.03,50.08,49.80,49.95,342100,49.95
2013-10-18,49.93,50.06,49.56,49.99,2091000,49.99
2013-10-17,49.16,49.94,49.03,49.86,429500,49.86
2013-10-16,48.93,49.49,48.82,49.46,541200,49.46
2013-10-15,49.00,49.16,48.56,48.67,546000,48.67
2013-10-14,48.39,49.03,48.26,48.99,530400,48.99
2013-10-11,48.40,48.91,48.24,48.56,723200,48.56
2013-10-10,47.68,48.47,47.51,48.46,526200,48.46
2013-10-09,47.20,47.35,46.84,47.11,463600,47.11
2013-10-08,47.42,47.58,47.13,47.13,706900,47.13
2013-10-07,47.30,47.67,47.14,47.50,548300,47.50
2013-10-04,47.01,47.67,46.61,47.63,611100,47.63
2013-10-03,47.35,47.44,46.70,47.06,759000,47.06
2013-10-02,47.01,47.55,46.91,47.55,676000,47.55
2013-10-01,47.17,47.45,47.06,47.30,416700,47.30
2013-09-30,47.22,47.35,46.90,47.16,659900,47.16
2013-09-27,47.16,47.51,46.84,47.46,668700,47.46
2013-09-26,47.23,47.52,47.00,47.25,355100,47.25
2013-09-25,46.98,47.28,46.73,47.14,474500,47.14
2013-09-24,47.16,47.41,46.85,47.01,431100,47.01
2013-09-23,47.36,47.36,46.99,47.02,549800,47.02
2013-09-20,47.37,47.80,47.05,47.44,1044800,47.44
2013-09-19,47.31,47.66,47.31,47.38,841100,47.38
2013-09-18,46.70,47.23,46.58,47.20,703200,47.20
2013-09-17,46.87,46.91,46.65,46.75,494000,46.75
2013-09-16,46.77,46.88,46.46,46.77,520600,46.77
2013-09-13,43.62,46.56,43.62,46.56,562100,46.14
2013-09-12,46.56,46.71,46.23,46.30,357600,45.88
2013-09-11,46.52,46.76,46.25,46.50,528900,46.08
2013-09-10,46.63,46.74,46.32,46.62,1525500,46.20
2013-09-09,45.72,46.31,45.65,46.25,1249000,45.83
2013-09-06,46.22,46.37,45.16,45.59,1392900,45.18
2013-09-05,45.95,46.17,45.79,46.02,265900,45.60
2013-09-04,45.79,46.20,45.57,46.00,620100,45.59
2013-09-03,46.26,46.56,45.35,45.80,654600,45.39
2013-08-30,46.25,46.42,45.50,45.68,655100,45.27
2013-08-29,45.89,46.38,45.74,46.20,265400,45.78
2013-08-28,46.28,46.35,45.91,45.98,385000,45.57
2013-08-27,46.48,46.63,46.13,46.26,482400,45.84
2013-08-26,47.33,47.46,46.86,46.91,414000,46.49
2013-08-23,47.64,47.64,47.18,47.38,254200,46.95
2013-08-22,47.27,47.61,47.12,47.53,184900,47.10
2013-08-21,47.33,47.54,46.87,47.10,344300,46.68
2013-08-20,47.26,47.65,46.99,47.49,406800,47.06
2013-08-19,47.77,47.90,47.18,47.19,327400,46.76
2013-08-16,47.60,48.05,47.48,47.76,468700,47.33
2013-08-15,48.36,48.50,47.59,47.75,479500,47.32
2013-08-14,48.63,48.94,48.51,48.90,335300,48.46
2013-08-13,48.39,48.92,48.17,48.75,465700,48.31
2013-08-12,48.33,48.79,48.04,48.53,222800,48.09
2013-08-09,48.69,48.89,48.34,48.66,296400,48.22
2013-08-08,48.70,48.88,48.41,48.73,305000,48.29
2013-08-07,48.61,48.69,48.22,48.55,354400,48.11
2013-08-06,49.10,49.23,48.52,48.75,693800,48.31
2013-08-05,49.63,49.67,48.97,49.12,538200,48.68
2013-08-02,49.83,49.91,49.54,49.74,470800,49.29
2013-08-01,49.32,49.98,49.32,49.92,509500,49.47
2013-07-31,49.16,49.24,48.77,49.01,603600,48.57
2013-07-30,49.47,49.53,48.80,48.93,475200,48.49
2013-07-29,49.10,49.23,48.88,49.10,487200,48.66
2013-07-26,48.94,49.31,48.46,49.12,575600,48.68
2013-07-25,48.43,48.93,48.30,48.89,470500,48.45
2013-07-24,49.61,49.74,48.53,48.68,635700,48.24
2013-07-23,50.00,50.00,49.32,49.52,776500,49.07
2013-07-22,49.43,50.01,49.40,50.00,566700,49.55
2013-07-19,49.62,49.71,49.28,49.55,2933800,49.10
2013-07-18,49.16,49.66,49.14,49.62,546100,49.17
2013-07-17,49.23,49.52,48.90,49.04,495100,48.60
2013-07-16,49.57,49.62,48.79,48.98,766000,48.54
2013-07-15,49.48,49.48,49.12,49.40,632700,48.95
2013-07-12,48.67,49.22,48.62,49.18,646500,48.74
2013-07-11,49.08,49.13,48.70,48.83,741700,48.39
2013-07-10,48.12,48.55,47.93,48.51,1270600,48.07
2013-07-09,47.84,48.17,47.47,48.10,631000,47.67
2013-07-08,46.90,47.47,46.46,47.40,877400,46.97
2013-07-05,46.66,46.74,46.28,46.64,730100,46.22
2013-07-03,45.47,46.40,45.47,46.32,218700,45.90
2013-07-02,46.50,46.76,46.22,46.33,640000,45.91
2013-07-01,46.24,46.61,46.04,46.54,850700,46.12
2013-06-28,46.11,46.34,45.78,45.92,1704100,45.51
2013-06-27,45.74,46.38,45.74,46.26,339200,45.84
2013-06-26,45.36,45.93,45.33,45.64,590700,45.23
2013-06-25,45.22,45.31,44.79,45.05,798600,44.64
2013-06-24,45.14,45.16,44.53,44.77,895700,44.37
2013-06-21,45.65,45.76,45.09,45.40,955200,44.99
