Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,9.70,9.70,9.70,9.70,000,9.70
2014-02-21,9.70,9.70,9.70,9.70,000,9.70
2014-02-20,9.70,9.70,9.70,9.70,000,9.70
2014-02-19,9.70,9.70,9.70,9.70,000,9.70
2014-02-18,9.70,9.70,9.70,9.70,750000,9.70
2014-02-14,9.69,9.70,9.69,9.70,200200,9.70
2014-02-13,9.69,9.70,9.69,9.70,200,9.70
2014-02-12,9.66,9.66,9.66,9.66,100,9.66
2014-02-11,9.70,9.70,9.70,9.70,000,9.70
2014-02-10,9.70,9.70,9.70,9.70,000,9.70
2014-02-07,9.70,9.70,9.70,9.70,000,9.70
2014-02-06,9.65,9.70,9.65,9.70,1300,9.70
2014-02-05,9.70,9.70,9.67,9.69,700,9.69
2014-02-04,9.70,9.70,9.70,9.70,100,9.70
2014-02-03,9.69,9.72,9.67,9.69,123700,9.69
2014-01-31,9.69,9.69,9.65,9.67,2000,9.67
2014-01-30,9.70,9.70,9.70,9.70,000,9.70
2014-01-29,9.70,9.70,9.70,9.70,000,9.70
2014-01-28,9.74,9.74,9.70,9.70,2900,9.70
2014-01-27,9.69,9.70,9.69,9.69,5100,9.69
2014-01-24,9.69,9.69,9.69,9.69,000,9.69
2014-01-23,9.69,9.69,9.69,9.69,000,9.69
2014-01-22,9.69,9.69,9.69,9.69,100,9.69
2014-01-21,9.65,9.65,9.65,9.65,100,9.65
2014-01-17,9.70,9.70,9.70,9.70,000,9.70
2014-01-16,9.70,9.70,9.70,9.70,000,9.70
2014-01-15,9.70,9.70,9.70,9.70,6000,9.70
2014-01-14,9.62,9.62,9.62,9.62,000,9.62
2014-01-13,9.62,9.62,9.62,9.62,000,9.62
2014-01-10,9.62,9.62,9.62,9.62,000,9.62
2014-01-09,9.62,9.62,9.62,9.62,000,9.62
2014-01-08,9.62,9.62,9.62,9.62,000,9.62
2014-01-07,9.62,9.62,9.62,9.62,000,9.62
2014-01-06,9.62,9.62,9.62,9.62,000,9.62
2014-01-03,9.62,9.62,9.62,9.62,000,9.62
2014-01-02,9.62,9.62,9.62,9.62,000,9.62
2013-12-31,9.62,9.62,9.62,9.62,000,9.62
2013-12-30,9.62,9.62,9.62,9.62,000,9.62
2013-12-27,9.62,9.62,9.62,9.62,000,9.62
2013-12-26,9.65,9.65,9.62,9.62,25000,9.62
2013-12-24,9.65,9.65,9.65,9.65,000,9.65
2013-12-23,9.65,9.65,9.65,9.65,000,9.65
2013-12-20,9.65,9.65,9.65,9.65,000,9.65
2013-12-19,9.65,9.65,9.65,9.65,000,9.65
2013-12-18,9.65,9.65,9.65,9.65,000,9.65
2013-12-17,9.65,9.65,9.65,9.65,000,9.65
2013-12-16,9.65,9.65,9.65,9.65,000,9.65
2013-12-13,9.70,9.70,9.65,9.65,200,9.65
2013-12-12,9.74,9.74,9.74,9.74,000,9.74
2013-12-11,9.75,9.75,9.64,9.74,1600,9.74
2013-12-10,9.75,9.75,9.75,9.75,300,9.75
2013-12-09,9.64,9.64,9.64,9.64,000,9.64
2013-12-06,9.64,9.64,9.64,9.64,000,9.64
2013-12-05,9.64,9.64,9.64,9.64,000,9.64
2013-12-04,9.64,9.64,9.64,9.64,000,9.64
2013-12-03,9.64,9.64,9.64,9.64,10000,9.64
2013-12-02,9.64,9.64,9.64,9.64,000,9.64
2013-11-29,9.64,9.64,9.64,9.64,000,9.64
2013-11-27,9.64,9.64,9.64,9.64,000,9.64
2013-11-26,9.64,9.64,9.64,9.64,000,9.64
2013-11-25,9.64,9.64,9.64,9.64,000,9.64
2013-11-22,9.64,9.64,9.64,9.64,000,9.64
2013-11-21,9.64,9.64,9.64,9.64,000,9.64
2013-11-20,9.64,9.64,9.64,9.64,000,9.64
2013-11-19,9.64,9.64,9.64,9.64,000,9.64
2013-11-18,9.64,9.64,9.64,9.64,000,9.64
2013-11-15,9.64,9.64,9.64,9.64,000,9.64
2013-11-14,9.64,9.64,9.64,9.64,000,9.64
2013-11-13,9.64,9.64,9.64,9.64,000,9.64
2013-11-12,9.64,9.64,9.64,9.64,000,9.64
2013-11-11,9.64,9.64,9.64,9.64,000,9.64
2013-11-08,9.64,9.64,9.64,9.64,000,9.64
2013-11-07,9.64,9.64,9.64,9.64,000,9.64
2013-11-06,9.64,9.64,9.64,9.64,000,9.64
2013-11-05,9.64,9.64,9.64,9.64,000,9.64
2013-11-04,9.65,9.65,9.64,9.64,3400,9.64
2013-11-01,9.64,9.64,9.64,9.64,000,9.64
2013-10-31,9.64,9.64,9.64,9.64,000,9.64
2013-10-30,9.64,9.64,9.64,9.64,000,9.64
2013-10-29,9.64,9.64,9.64,9.64,000,9.64
2013-10-28,9.64,9.64,9.64,9.64,000,9.64
2013-10-25,9.64,9.64,9.64,9.64,5000,9.64
2013-10-24,9.67,9.67,9.67,9.67,000,9.67
2013-10-23,9.67,9.67,9.67,9.67,000,9.67
2013-10-22,9.66,9.67,9.65,9.67,257200,9.67
2013-10-21,9.70,9.70,9.70,9.70,100,9.70
2013-10-18,9.70,9.70,9.70,9.70,000,9.70
2013-10-17,9.70,9.70,9.70,9.70,000,9.70
2013-10-16,9.70,9.70,9.70,9.70,000,9.70
2013-10-15,9.70,9.70,9.70,9.70,000,9.70
2013-10-14,9.70,9.70,9.70,9.70,11000,9.70
2013-10-11,9.66,9.66,9.66,9.66,100,9.66
2013-10-10,9.60,9.61,9.55,9.61,5000,9.61
2013-10-09,9.70,9.70,9.70,9.70,000,9.70
2013-10-08,9.70,9.70,9.70,9.70,000,9.70
2013-10-07,9.70,9.70,9.70,9.70,000,9.70
2013-10-04,9.70,9.70,9.70,9.70,000,9.70
2013-10-03,9.70,9.70,9.70,9.70,000,9.70
