Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,3.83,3.92,3.75,3.75,1558700,3.75
2014-02-21,3.62,3.67,3.57,3.62,122000,3.62
2014-02-20,3.67,3.67,3.57,3.63,374800,3.63
2014-02-19,3.77,3.77,3.62,3.64,435600,3.64
2014-02-18,3.74,3.82,3.70,3.74,273600,3.74
2014-02-14,3.77,3.82,3.73,3.76,338800,3.76
2014-02-13,3.67,3.75,3.63,3.73,205100,3.73
2014-02-12,3.65,3.72,3.64,3.67,103300,3.67
2014-02-11,3.73,3.78,3.65,3.66,195500,3.66
2014-02-10,3.69,3.75,3.60,3.74,230600,3.74
2014-02-07,3.67,3.70,3.61,3.66,132600,3.66
2014-02-06,3.72,3.74,3.59,3.64,265300,3.64
2014-02-05,3.54,3.69,3.48,3.68,632500,3.68
2014-02-04,3.59,3.65,3.54,3.54,430500,3.54
2014-02-03,3.70,3.74,3.57,3.59,459000,3.59
2014-01-31,3.75,3.77,3.69,3.71,326700,3.71
2014-01-30,3.80,3.86,3.75,3.76,323300,3.76
2014-01-29,3.76,3.85,3.70,3.81,313400,3.81
2014-01-28,3.79,3.82,3.66,3.76,393600,3.76
2014-01-27,4.00,4.03,3.65,3.76,1948400,3.76
2014-01-24,3.90,3.90,3.75,3.83,467700,3.83
2014-01-23,3.83,3.91,3.76,3.91,515400,3.91
2014-01-22,3.88,3.90,3.80,3.85,211600,3.85
2014-01-21,3.96,3.98,3.78,3.86,577000,3.86
2014-01-17,3.98,3.98,3.90,3.96,478500,3.96
2014-01-16,4.00,4.05,3.89,3.99,798900,3.99
2014-01-15,4.09,4.10,3.98,4.00,1271500,4.00
2014-01-14,4.25,4.25,4.02,4.10,507700,4.10
2014-01-13,4.69,4.73,4.15,4.24,765100,4.24
2014-01-10,4.36,4.74,4.22,4.57,1201100,4.57
2014-01-09,4.16,4.18,4.01,4.05,206200,4.05
2014-01-08,3.98,4.22,3.97,4.16,638600,4.16
2014-01-07,3.98,3.99,3.90,3.98,183000,3.98
2014-01-06,3.94,4.00,3.86,3.93,226400,3.93
