Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.48,5.48,5.05,5.19,19100,5.19
2014-02-21,5.33,5.33,5.20,5.31,10800,5.31
2014-02-20,5.26,5.48,5.11,5.36,31700,5.36
2014-02-19,5.56,5.68,5.20,5.29,46300,5.29
2014-02-18,5.02,5.79,5.02,5.70,225700,5.70
2014-02-14,5.00,5.10,4.83,5.06,25100,5.06
2014-02-13,4.94,5.20,4.80,5.06,152400,5.06
2014-02-12,4.53,4.87,4.50,4.86,15600,4.86
2014-02-11,4.59,4.63,4.44,4.57,13500,4.57
2014-02-10,4.70,4.70,4.45,4.55,8200,4.55
2014-02-07,4.31,4.50,4.31,4.50,1900,4.50
2014-02-06,4.59,4.74,4.42,4.42,9600,4.42
2014-02-05,4.51,4.74,4.28,4.74,6700,4.74
2014-02-04,4.37,4.57,4.34,4.57,10900,4.57
2014-02-03,4.72,4.72,4.37,4.39,15400,4.39
2014-01-31,4.50,4.86,4.50,4.60,11600,4.60
2014-01-30,4.52,4.80,4.52,4.61,19100,4.61
2014-01-29,4.32,5.03,4.25,4.65,205600,4.65
2014-01-28,4.16,4.63,4.16,4.30,25500,4.30
2014-01-27,4.46,4.46,4.03,4.09,19000,4.09
2014-01-24,4.38,4.54,4.38,4.51,1300,4.51
2014-01-23,4.50,4.61,4.47,4.59,13400,4.59
2014-01-22,4.80,4.80,4.65,4.65,2200,4.65
2014-01-21,4.63,4.71,4.55,4.67,10200,4.67
2014-01-17,4.53,4.99,4.48,4.50,50300,4.50
2014-01-16,4.43,5.18,4.40,4.40,80000,4.40
2014-01-15,4.56,4.62,4.19,4.48,33300,4.48
2014-01-14,4.60,4.60,4.40,4.46,6400,4.46
2014-01-13,4.88,4.95,4.48,4.62,20200,4.62
2014-01-10,4.85,4.97,4.62,4.75,54800,4.75
2014-01-09,5.05,5.09,4.82,4.88,16800,4.88
2014-01-08,4.97,5.26,4.90,5.08,39300,5.08
2014-01-07,5.23,5.38,4.87,5.10,46300,5.10
