Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.99,16.30,15.80,15.91,10900,15.91
2014-02-21,16.09,16.50,15.65,16.09,63800,16.09
2014-02-20,15.60,17.04,15.60,16.05,33600,16.05
2014-02-19,15.57,15.90,15.50,15.85,47300,15.85
2014-02-18,15.98,15.99,15.32,15.57,45600,15.57
2014-02-14,15.99,15.99,15.22,15.48,44700,15.48
2014-02-13,15.50,15.90,15.43,15.70,39900,15.70
2014-02-12,16.24,16.24,15.56,15.65,81100,15.65
2014-02-11,15.78,16.10,15.78,15.86,29300,15.86
2014-02-10,15.90,16.24,15.70,15.85,39400,15.85
2014-02-07,15.55,16.39,15.50,15.95,100700,15.95
2014-02-06,15.30,16.79,15.25,15.81,232900,15.81
