Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,31.50,31.95,31.48,31.71,94600,31.71
2014-02-21,31.89,31.99,31.35,31.51,93000,31.51
2014-02-20,31.45,31.89,31.29,31.73,62900,31.73
2014-02-19,31.46,31.70,31.34,31.40,87700,31.40
2014-02-18,31.44,32.19,31.44,31.51,109800,31.51
2014-02-14,31.42,31.51,30.90,31.38,117500,31.38
2014-02-13,30.61,31.70,30.42,31.38,123300,31.38
2014-02-12,30.78,31.15,30.43,30.71,125600,30.71
2014-02-11,30.11,30.96,29.87,30.68,94100,30.68
2014-02-10,30.01,30.51,29.93,30.01,192900,30.01
2014-02-07,30.46,30.66,29.68,30.04,172900,30.04
2014-02-06,30.08,30.50,29.27,30.29,71800,30.29
2014-02-05,30.06,30.24,29.77,30.00,96000,30.00
2014-02-04,30.16,30.36,30.01,30.10,115100,30.10
2014-02-03,30.37,30.44,29.92,30.12,133900,30.12
2014-01-31,30.37,30.98,30.33,30.42,184300,30.42
2014-01-30,31.03,31.14,30.40,30.76,57500,30.76
2014-01-29,30.70,31.02,30.64,30.72,90300,30.72
2014-01-28,31.10,31.10,30.73,30.79,141300,30.79
2014-01-27,31.16,31.46,30.91,30.97,102300,30.97
2014-01-24,31.61,31.73,30.70,31.10,191300,31.10
2014-01-23,31.92,32.07,31.51,31.70,135400,31.70
2014-01-22,32.26,32.35,31.92,31.97,107500,31.97
2014-01-21,32.09,32.43,31.74,32.16,119300,32.16
2014-01-17,32.36,32.36,31.72,31.80,91500,31.80
2014-01-16,32.15,32.75,31.86,32.31,314100,32.31
2014-01-15,32.25,32.53,32.04,32.25,132800,32.25
2014-01-14,32.43,32.72,32.17,32.37,186300,32.07
2014-01-13,32.18,32.65,32.14,32.29,122100,31.99
2014-01-10,32.00,32.58,31.74,32.23,262800,31.93
2014-01-09,31.76,31.96,31.28,31.85,482100,31.55
2014-01-08,31.60,31.65,31.17,31.58,356000,31.29
2014-01-07,31.43,31.75,31.31,31.66,256200,31.37
2014-01-06,31.65,31.73,31.21,31.37,153900,31.08
2014-01-03,31.41,31.79,31.16,31.52,193700,31.23
