Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.15,25.88,25.15,25.70,171300,25.70
2014-02-21,25.18,25.33,24.99,25.18,286800,25.18
2014-02-20,25.02,25.21,24.75,25.05,254800,25.05
2014-02-19,25.91,26.00,24.87,24.94,292100,24.94
2014-02-18,25.72,26.13,25.59,25.96,173600,25.96
2014-02-14,25.71,25.95,25.50,25.67,144100,25.67
2014-02-13,25.40,25.72,25.12,25.71,245100,25.71
2014-02-12,25.75,26.09,25.42,25.54,153500,25.54
2014-02-11,25.38,25.94,25.38,25.77,110300,25.77
2014-02-10,25.50,25.66,25.10,25.34,154900,25.34
2014-02-07,25.52,25.64,25.17,25.52,196500,25.52
2014-02-06,25.06,25.43,24.96,25.43,150000,25.43
2014-02-05,25.20,25.37,24.96,25.03,191600,25.03
2014-02-04,25.36,25.78,25.00,25.27,189300,25.27
2014-02-03,26.97,27.37,25.20,25.22,327500,25.22
2014-01-31,26.13,26.80,26.04,26.11,229400,25.99
2014-01-30,26.40,26.74,26.06,26.51,183300,26.39
2014-01-29,26.65,26.89,26.16,26.20,231200,26.08
2014-01-28,27.10,27.19,26.69,26.85,247800,26.73
2014-01-27,28.18,28.31,26.97,26.99,259100,26.87
2014-01-24,28.12,28.23,27.62,28.01,469100,27.88
2014-01-23,28.54,28.56,27.12,28.16,292900,28.03
2014-01-22,28.17,28.45,27.77,28.34,233500,28.21
2014-01-21,27.55,28.20,27.38,28.08,297200,27.95
2014-01-17,27.05,27.48,26.98,27.39,228600,27.26
2014-01-16,27.10,27.23,26.90,27.00,250600,26.88
2014-01-15,27.12,27.36,27.07,27.23,249300,27.10
2014-01-14,26.95,27.06,26.61,27.06,265500,26.94
2014-01-13,26.76,26.96,26.61,26.93,290300,26.81
2014-01-10,26.67,26.92,26.21,26.89,258600,26.77
2014-01-09,26.73,26.90,26.45,26.64,327300,26.52
2014-01-08,26.91,26.97,26.52,26.70,375600,26.58
2014-01-07,27.16,27.43,26.78,26.97,309200,26.85
2014-01-06,27.15,27.31,26.85,26.98,226700,26.86
2014-01-03,27.24,27.40,26.92,27.00,132000,26.88
2014-01-02,27.49,27.49,27.12,27.20,405100,27.07
2013-12-31,27.55,27.86,27.42,27.49,171800,27.36
2013-12-30,27.87,27.88,27.55,27.58,127000,27.45
2013-12-27,28.22,28.22,27.75,27.91,166400,27.78
2013-12-26,28.20,28.29,27.36,28.19,203800,28.06
2013-12-24,28.22,28.37,27.91,28.02,51600,27.89
2013-12-23,27.65,28.26,27.58,28.26,239900,28.13
2013-12-20,26.94,27.60,26.94,27.41,720000,27.28
2013-12-19,26.96,27.02,26.65,26.81,221400,26.69
2013-12-18,26.52,27.10,26.06,27.08,371500,26.96
2013-12-17,26.63,26.74,26.15,26.51,209700,26.39
2013-12-16,26.12,26.77,26.10,26.71,146800,26.59
2013-12-13,26.24,26.36,25.90,26.09,132600,25.97
2013-12-12,26.02,26.51,26.02,26.26,108400,26.14
2013-12-11,26.40,26.55,26.00,26.08,123200,25.96
2013-12-10,26.79,26.95,26.39,26.41,127400,26.29
2013-12-09,26.94,26.96,26.64,26.91,206700,26.79
2013-12-06,26.74,27.42,26.74,26.94,163300,26.82
2013-12-05,26.65,26.82,26.56,26.65,127500,26.53
2013-12-04,26.66,27.13,26.50,26.72,131800,26.60
2013-12-03,26.94,27.22,26.26,26.69,251500,26.57
2013-12-02,27.73,27.82,27.00,27.05,237100,26.93
2013-11-29,27.94,27.95,27.59,27.72,70900,27.59
2013-11-27,27.56,27.89,27.42,27.77,104100,27.64
2013-11-26,27.45,27.57,27.09,27.49,143700,27.36
2013-11-25,27.31,27.51,27.09,27.40,103200,27.27
2013-11-22,27.08,27.27,26.93,27.17,155800,27.05
2013-11-21,26.47,27.02,26.31,26.99,167700,26.87
2013-11-20,26.50,26.50,26.07,26.31,114700,26.19
2013-11-19,26.54,26.65,26.20,26.42,121200,26.30
2013-11-18,26.63,26.80,26.41,26.55,114500,26.43
2013-11-15,26.75,26.75,26.36,26.61,167300,26.49
2013-11-14,26.73,26.77,26.42,26.70,127300,26.58
2013-11-13,26.42,26.70,26.24,26.69,204600,26.57
2013-11-12,26.48,26.55,26.23,26.45,93900,26.33
2013-11-11,26.75,26.75,26.37,26.54,140600,26.42
2013-11-08,25.85,26.87,25.71,26.72,268800,26.60
2013-11-07,26.25,26.25,25.78,25.88,208400,25.76
2013-11-06,26.03,26.23,25.99,26.15,132800,26.03
2013-11-05,25.78,26.18,25.67,25.94,364200,25.82
2013-11-04,25.87,25.90,25.48,25.90,230700,25.78
2013-11-01,25.61,25.90,25.28,25.80,271500,25.57
2013-10-31,25.95,25.97,25.67,25.69,248900,25.46
2013-10-30,26.16,26.19,25.91,25.95,155300,25.72
2013-10-29,25.98,26.17,25.71,26.11,92500,25.88
2013-10-28,25.92,26.12,25.86,25.98,272700,25.75
2013-10-25,25.75,26.01,25.71,25.99,255500,25.76
2013-10-24,25.45,25.63,24.98,25.57,200500,25.34
2013-10-23,25.29,25.46,25.04,25.36,171500,25.14
2013-10-22,25.40,25.48,25.26,25.39,150200,25.17
2013-10-21,25.31,25.51,25.26,25.35,141400,25.13
2013-10-18,25.50,25.60,25.09,25.34,316300,25.12
2013-10-17,25.00,25.32,24.92,25.29,286200,25.07
2013-10-16,25.10,25.32,24.95,25.15,178800,24.93
2013-10-15,24.94,25.15,24.76,24.90,136200,24.68
2013-10-14,24.99,25.06,24.89,25.05,185800,24.83
2013-10-11,24.53,25.09,24.46,25.08,335200,24.86
2013-10-10,23.98,24.74,23.91,24.65,481300,24.43
2013-10-09,23.69,23.96,23.66,23.73,420700,23.52
2013-10-08,24.00,24.13,23.53,23.68,524800,23.47
2013-10-07,24.22,24.24,23.93,23.96,353700,23.75
2013-10-04,24.35,24.46,24.32,24.40,200200,24.18
2013-10-03,24.70,24.78,24.37,24.41,137400,24.19
2013-10-02,24.67,24.80,24.48,24.75,133000,24.53
2013-10-01,24.72,24.86,24.58,24.79,307800,24.57
2013-09-30,24.56,24.80,24.28,24.70,359200,24.48
2013-09-27,24.66,24.94,24.61,24.72,176700,24.50
2013-09-26,24.89,25.01,24.63,24.85,137900,24.63
2013-09-25,24.90,25.05,24.63,24.86,262500,24.64
2013-09-24,24.77,25.00,24.65,24.90,318500,24.68
2013-09-23,24.88,25.08,24.54,24.82,332400,24.60
2013-09-20,24.50,25.11,24.34,24.86,1209000,24.64
2013-09-19,24.67,24.76,24.08,24.25,374800,24.04
2013-09-18,24.48,24.87,24.30,24.66,396800,24.44
2013-09-17,24.13,24.47,24.00,24.44,142900,24.22
2013-09-16,24.40,24.40,24.04,24.14,166800,23.93
2013-09-13,24.10,24.20,23.95,24.13,126300,23.92
2013-09-12,24.06,24.19,23.96,24.01,169300,23.80
2013-09-11,24.26,24.26,23.93,24.06,150400,23.85
2013-09-10,23.93,24.28,23.82,24.27,140500,24.06
2013-09-09,23.63,23.85,23.43,23.80,122800,23.59
2013-09-06,23.89,23.96,23.18,23.59,156500,23.38
2013-09-05,23.66,23.84,23.59,23.75,114400,23.54
2013-09-04,23.50,23.78,23.45,23.61,155200,23.40
2013-09-03,23.42,23.91,23.38,23.53,212200,23.32
2013-08-30,23.66,23.66,23.17,23.20,130200,22.99
2013-08-29,23.55,23.87,23.49,23.69,125800,23.48
2013-08-28,23.44,23.73,23.42,23.56,113900,23.35
2013-08-27,23.63,23.76,23.19,23.50,325400,23.29
2013-08-26,24.06,24.17,23.85,23.93,116100,23.72
2013-08-23,24.12,24.17,23.78,24.07,113200,23.86
2013-08-22,23.80,24.31,23.70,24.17,95700,23.96
