Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.05,23.05,22.04,22.92,960800,22.92
2014-02-21,23.50,24.38,21.82,21.92,2770900,21.92
2014-02-20,18.98,19.21,18.63,18.97,1034100,18.97
2014-02-19,18.94,19.17,18.76,18.94,110800,18.94
2014-02-18,18.84,19.10,18.83,19.02,286000,19.02
2014-02-14,18.71,19.00,18.70,18.81,220600,18.81
2014-02-13,18.41,18.91,18.34,18.77,192600,18.77
2014-02-12,18.86,19.34,18.52,18.60,172800,18.60
2014-02-11,18.54,18.99,18.28,18.89,372300,18.89
2014-02-10,18.16,18.90,18.16,18.58,412700,18.58
2014-02-07,18.28,18.70,18.09,18.21,292700,18.21
2014-02-06,18.48,18.71,18.20,18.46,555200,18.46
2014-02-05,18.26,18.66,17.94,18.50,789000,18.50
2014-02-04,18.08,18.58,17.81,18.26,345700,18.26
2014-02-03,17.93,18.77,17.65,18.00,941800,18.00
2014-01-31,17.30,18.03,17.13,17.93,719000,17.93
2014-01-30,17.57,17.57,17.20,17.51,409800,17.51
2014-01-29,17.49,17.77,17.08,17.34,375500,17.34
2014-01-28,17.41,18.05,17.14,17.61,365200,17.61
2014-01-27,17.96,17.96,16.86,17.31,493200,17.31
2014-01-24,17.74,18.01,17.50,17.81,373500,17.81
2014-01-23,18.19,18.49,17.78,17.88,192800,17.88
2014-01-22,18.23,18.44,18.14,18.37,428400,18.37
2014-01-21,18.32,18.50,18.12,18.25,249700,18.25
2014-01-17,18.44,18.55,18.19,18.30,164100,18.30
2014-01-16,18.31,18.71,18.25,18.68,388200,18.68
2014-01-15,18.00,18.49,17.78,18.43,242500,18.43
2014-01-14,18.29,18.29,17.73,17.96,261200,17.96
2014-01-13,18.88,18.88,18.35,18.35,162200,18.35
2014-01-10,18.95,19.14,18.39,18.67,481500,18.67
2014-01-09,19.00,19.24,18.86,18.93,706600,18.93
2014-01-08,18.74,19.10,18.74,18.99,322200,18.99
2014-01-07,19.25,19.26,18.72,19.03,403900,19.03
2014-01-06,19.35,19.64,19.19,19.30,2170900,19.30
2014-01-03,18.92,19.31,18.84,19.19,846800,19.19
2014-01-02,18.77,18.89,18.48,18.77,415700,18.77
2013-12-31,18.57,19.02,18.52,18.93,327100,18.93
2013-12-30,18.19,18.56,18.00,18.48,276600,18.48
2013-12-27,18.01,18.31,17.95,18.28,350300,18.28
2013-12-26,18.00,18.13,17.73,18.10,148800,18.10
2013-12-24,17.93,18.13,17.69,18.03,171800,18.03
2013-12-23,17.84,18.15,17.47,18.05,352500,18.05
2013-12-20,17.45,18.05,17.15,17.84,4762200,17.84
2013-12-19,17.65,17.80,17.22,17.49,430400,17.49
2013-12-18,17.68,17.84,17.15,17.80,560600,17.80
2013-12-17,17.72,17.86,17.43,17.68,595700,17.68
2013-12-16,17.48,17.91,17.40,17.59,796300,17.59
2013-12-13,17.36,17.58,17.12,17.40,413500,17.40
2013-12-12,17.46,17.46,17.27,17.33,332600,17.33
2013-12-11,17.35,17.55,17.30,17.36,815000,17.36
2013-12-10,17.34,17.45,17.07,17.37,532800,17.37
2013-12-09,17.05,17.46,17.05,17.35,484500,17.35
2013-12-06,16.80,17.20,16.78,17.05,872300,17.05
2013-12-05,16.74,17.25,16.73,16.81,438100,16.81
2013-12-04,17.35,17.40,16.72,17.02,1192300,17.02
2013-11-29,16.20,16.21,15.85,16.09,159900,16.09
2013-11-27,15.47,16.19,15.47,16.19,409200,16.19
2013-11-26,15.40,15.67,15.16,15.46,147700,15.46
2013-11-25,15.50,15.50,15.33,15.44,133900,15.44
2013-11-22,15.17,15.56,15.10,15.50,240800,15.50
2013-11-21,15.20,15.48,15.04,15.18,71800,15.18
2013-11-20,15.21,15.31,15.09,15.13,523400,15.13
2013-11-19,15.26,15.40,15.00,15.34,140300,15.34
2013-11-18,15.72,15.75,15.57,15.67,116700,15.67
2013-11-15,15.86,15.87,15.56,15.79,218100,15.79
2013-11-14,15.89,15.98,15.41,15.80,513300,15.80
2013-11-13,15.59,15.90,15.35,15.82,306400,15.82
2013-11-12,16.04,16.17,15.59,15.75,241600,15.75
2013-11-11,15.10,16.22,15.09,16.14,433900,16.14
2013-11-08,14.95,15.30,14.86,15.27,249000,15.27
2013-11-07,14.90,15.14,14.78,14.97,589100,14.97
2013-11-06,15.00,15.09,14.78,15.00,1002300,15.00
2013-11-05,15.03,15.40,14.85,15.01,721700,15.01
2013-11-04,15.83,15.85,15.13,15.29,530000,15.29
2013-11-01,15.44,15.83,15.20,15.58,2311700,15.58
2013-10-31,15.54,15.54,14.85,15.28,506700,15.28
2013-10-30,15.23,15.60,15.00,15.43,1549100,15.43
2013-10-29,14.84,15.25,14.81,15.25,1190900,15.25
2013-10-28,14.82,15.02,14.77,14.88,1480100,14.88
