Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,0.52,0.55,0.52,0.54,322000,0.54
2014-02-21,0.53,0.55,0.52,0.53,246600,0.53
2014-02-20,0.53,0.55,0.53,0.55,60100,0.55
2014-02-19,0.55,0.55,0.54,0.54,136400,0.54
2014-02-18,0.55,0.55,0.54,0.55,105400,0.55
2014-02-14,0.56,0.56,0.54,0.55,231400,0.55
2014-02-13,0.53,0.56,0.53,0.55,108300,0.55
2014-02-12,0.53,0.54,0.53,0.53,162800,0.53
2014-02-11,0.55,0.55,0.54,0.54,122900,0.54
2014-02-10,0.54,0.56,0.53,0.56,67000,0.56
2014-02-07,0.55,0.55,0.52,0.54,273100,0.54
2014-02-06,0.56,0.56,0.54,0.55,96900,0.55
2014-02-05,0.55,0.55,0.54,0.54,104700,0.54
2014-02-04,0.54,0.55,0.54,0.55,213600,0.55
2014-02-03,0.53,0.55,0.53,0.55,105800,0.55
2014-01-31,0.53,0.54,0.53,0.54,191200,0.54
2014-01-30,0.54,0.56,0.53,0.54,150900,0.54
2014-01-29,0.54,0.56,0.54,0.54,131700,0.54
2014-01-28,0.55,0.57,0.53,0.55,156200,0.55
2014-01-27,0.56,0.56,0.52,0.55,849200,0.55
2014-01-24,0.58,0.58,0.56,0.57,611400,0.57
2014-01-23,0.58,0.59,0.57,0.59,200000,0.59
2014-01-22,0.57,0.59,0.57,0.58,242200,0.58
2014-01-21,0.59,0.59,0.57,0.57,257300,0.57
2014-01-17,0.58,0.60,0.56,0.60,230800,0.60
2014-01-16,0.57,0.58,0.56,0.57,233200,0.57
2014-01-15,0.60,0.60,0.56,0.57,1577100,0.57
2014-01-14,0.73,0.76,0.69,0.72,1412900,0.72
2014-01-13,0.71,0.75,0.70,0.71,839600,0.71
2014-01-10,0.74,0.76,0.68,0.72,726200,0.72
2014-01-09,0.70,0.75,0.66,0.74,2455900,0.74
2014-01-08,0.56,0.68,0.56,0.66,1652900,0.66
2014-01-07,0.56,0.57,0.56,0.57,151900,0.57
2014-01-06,0.57,0.58,0.56,0.56,233000,0.56
2014-01-03,0.55,0.59,0.55,0.57,178200,0.57
2014-01-02,0.58,0.60,0.58,0.59,111200,0.59
2013-12-31,0.57,0.60,0.56,0.59,388100,0.59
2013-12-30,0.57,0.58,0.55,0.58,301200,0.58
2013-12-27,0.57,0.59,0.51,0.56,636500,0.56
2013-12-26,0.58,0.59,0.57,0.59,181400,0.59
2013-12-24,0.58,0.59,0.57,0.59,227400,0.59
2013-12-23,0.58,0.60,0.58,0.60,162400,0.60
2013-12-20,0.59,0.59,0.58,0.58,162600,0.58
2013-12-19,0.59,0.61,0.59,0.59,114100,0.59
2013-12-18,0.60,0.61,0.59,0.61,111700,0.61
2013-12-17,0.59,0.61,0.59,0.61,87200,0.61
2013-12-16,0.58,0.61,0.58,0.60,184400,0.60
2013-12-13,0.59,0.60,0.58,0.59,43700,0.59
